,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,7,16,33,33,35,38,38,38,38,38,38,38,38,38,38,38,38,38,67,129,163,198,238,264,287,307,335,355,377,400,418,428,451,488,519,552,577,610,633,664,691,722,745,759,796,814,835,864,890,916,919,970,993,1004,1024,1037,1117,1131,1160,1176,1200,1215,1243,1266,1284,1311,1336,1351,1371,1394,1420,1444,1466,1474,1480,1485,1496,1504,1532,1554,1579,1604,1625,1650,1675,1694,1722,1746,1769,1801,1826,1851,1874,1882,1898,1923,1946,1952,1964,1977
1,12,42,76,107,131,207,238,258,287,320,345,369,400,401,408,431,458,482,510,545,590,610,637,661,675,698,719,738,808,827,856,879,908,931,950,972,996,1009,1025,1050,1071,1094,1113,1130,1162,1186,1205,1237,1253,1259,1264,1278,1299,1319,1337,1363,1389,1413,1443,1463,1487,1515,1535,1556,1590,1621,1661,1686,1704,1729,1771,1797,1818,1866,1895,1921,1945,1979,2002,2026,2053,2075,2101,2127,2150,2174,2193,2216,2237,2257,2284,2306,2327,2348,2377,2399,2427,2452,2470,2470
2,9,26,47,67,93,119,141,163,180,204,280,312,342,365,400,421,446,469,471,475,482,500,518,532,551,575,596,619,651,678,707,724,753,758,771,776,780,785,795,813,836,861,890,922,943,964,979,999,1014,1032,1046,1062,1119,1146,1180,1209,1227,1250,1273,1305,1331,1358,1382,1406,1433,1445,1474,1502,1534,1563,1582,1611,1634,1660,1682,1705,1733,1756,1804,1832,1858,1880,1900,1924,1944,1964,2008,2033,2059,2095,2112,2139,2161,2180,2201,2219,2242,2261,2268,2286
3,7,30,67,96,126,154,180,209,229,250,263,286,307,332,354,382,407,427,452,472,495,518,545,570,597,625,645,665,695,722,731,749,769,781,793,815,835,863,890,912,932,991,1018,1034,1062,1103,1134,1159,1164,1189,1212,1242,1265,1268,1290,1311,1331,1352,1388,1413,1452,1481,1511,1539,1558,1579,1602,1615,1638,1656,1680,1708,1730,1763,1786,1810,1834,1856,1865,1905,1938,2004,2007,2083,2118,2146,2159,2180,2261,2288,2315,2338,2347,2373,2399,2426,2455,2478,2497,2519
4,7,29,77,114,146,187,208,239,262,293,318,341,378,400,425,488,516,541,558,579,600,628,654,682,703,740,763,796,819,844,877,905,923,953,983,1015,1049,1084,1106,1130,1158,1173,1202,1218,1246,1275,1323,1354,1375,1409,1430,1460,1468,1485,1510,1537,1558,1584,1608,1634,1649,1659,1666,1676,1700,1726,1746,1767,1800,1832,1857,1895,1922,1938,1954,1993,2017,2035,2065,2095,2135,2158,2189,2239,2269,2298,2311,2343,2364,2387,2415,2434,2459,2484,2508,2529,2556,2566,2587,2604
5,10,28,49,98,144,178,214,216,220,232,251,269,285,300,315,324,330,349,358,382,384,451,466,488,513,538,554,574,599,624,652,674,702,724,732,747,765,795,823,838,855,928,965,989,1014,1041,1057,1072,1096,1129,1149,1179,1196,1220,1245,1269,1299,1317,1341,1367,1390,1410,1417,1442,1465,1482,1510,1541,1549,1555,1572,1602,1638,1673,1704,1745,1770,1794,1828,1859,1879,1934,1963,1988,2018,2047,2075,2103,2131,2156,2180,2211,2239,2266,2293,2317,2337,2352,2375,2391
6,10,32,59,90,106,134,155,168,180,220,262,293,335,374,392,411,427,437,459,478,492,513,548,569,600,628,660,681,712,737,766,798,876,892,914,927,944,962,980,1000,1023,1052,1080,1108,1137,1158,1180,1197,1220,1241,1261,1284,1311,1334,1349,1368,1385,1397,1409,1409,1409,1409,1409,1409,1409,1409,1409,1417,1438,1460,1481,1508,1531,1551,1580,1600,1622,1633,1651,1669,1697,1721,1744,1763,1784,1805,1829,1839,1867,1894,1920,1942,1968,1983,2006,2028,2051,2077,2099,2120
7,9,27,49,76,100,125,159,181,210,236,263,292,325,350,374,401,418,437,469,501,522,547,573,601,619,648,680,703,733,747,763,825,836,854,892,923,946,971,1001,1021,1037,1075,1086,1104,1127,1153,1178,1201,1229,1250,1255,1277,1299,1319,1346,1371,1399,1423,1445,1470,1496,1528,1547,1571,1577,1602,1635,1650,1665,1690,1721,1752,1776,1808,1832,1855,1886,1908,1942,1970,1985,2004,2019,2038,2067,2082,2107,2130,2148,2173,2217,2236,2256,2278,2302,2322,2344,2373,2385,2405
8,10,33,54,62,80,110,135,160,176,190,216,243,268,298,335,372,400,433,471,516,533,555,558,576,612,654,690,722,759,791,830,862,893,916,935,964,987,1016,1077,1103,1137,1166,1188,1190,1193,1237,1265,1289,1317,1338,1355,1378,1406,1436,1454,1474,1493,1525,1561,1583,1600,1616,1636,1657,1676,1707,1733,1763,1786,1808,1830,1857,1875,1893,1919,1950,1981,2006,2026,2042,2047,2067,2094,2123,2151,2174,2196,2219,2243,2276,2318,2322,2329,2346,2372,2389,2415,2433,2447,2477
9,12,24,51,72,74,77,83,90,102,109,119,131,135,151,177,235,263,296,319,338,367,392,410,445,474,504,544,573,606,634,663,696,705,718,726,743,759,774,792,817,836,851,870,871,951,977,1001,1023,1051,1074,1104,1135,1160,1182,1208,1233,1269,1294,1313,1338,1365,1385,1407,1429,1448,1478,1495,1513,1539,1565,1589,1622,1652,1677,1698,1720,1749,1769,1793,1817,1844,1875,1963,1992,2009,2028,2050,2073,2092,2110,2202,2231,2252,2280,2314,2339,2359,2386,2409,2439
