,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,11,36,54,76,105,136,155,177,214,239,273,308,381,408,442,484,523,560,593,624,657,687,708,774,800,827,845,871,891,917,937,965,985,996,1012,1034,1060,1099,1130,1158,1176,1201,1224,1252,1288,1291,1310,1330,1351,1379,1401,1423,1449,1474,1496,1511,1535,1536,1551,1578,1605,1629,1663,1692,1715,1733,1737,1757,1779,1793,1811,1835,1861,1872,1886,1909,1928,1953,1977,1988,2009,2031,2058,2086,2116,2143,2162,2184,2226,2234,2265,2294,2319,2346,2365,2385,2411,2432,2454,2475
1,9,35,63,89,189,221,251,286,312,339,365,387,414,436,467,496,520,545,579,620,647,674,697,723,741,770,795,828,853,880,911,932,953,981,1012,1039,1071,1100,1127,1154,1185,1210,1228,1245,1262,1281,1310,1336,1354,1380,1404,1428,1473,1481,1512,1532,1558,1594,1627,1669,1699,1740,1778,1790,1810,1826,1848,1867,1895,1917,1943,1973,1999,2022,2052,2077,2101,2125,2151,2181,2215,2239,2263,2290,2314,2335,2364,2389,2412,2439,2463,2494,2511,2545,2572,2610,2638,2659,2686,2715
2,9,38,70,93,120,155,180,192,220,246,271,291,315,339,357,376,403,424,443,472,475,490,510,526,554,563,576,601,619,642,669,696,723,753,776,809,823,843,865,882,900,924,950,975,998,1017,1037,1059,1088,1107,1133,1157,1177,1206,1237,1267,1291,1305,1323,1344,1368,1395,1417,1436,1485,1503,1527,1555,1556,1572,1602,1651,1679,1699,1727,1762,1795,1816,1843,1863,1877,1899,1929,1954,1978,2008,2022,2044,2054,2054,2079,2104,2133,2153,2184,2209,2289,2309,2334,2371
3,15,41,68,133,170,217,217,237,255,280,313,341,374,410,440,464,496,528,544,575,593,623,643,668,693,719,751,773,797,820,838,865,873,903,926,949,969,1032,1060,1085,1097,1112,1130,1144,1170,1194,1227,1245,1273,1300,1321,1343,1344,1367,1381,1399,1422,1447,1471,1494,1523,1551,1580,1613,1621,1632,1652,1678,1692,1715,1746,1771,1798,1821,1840,1867,1892,1916,1941,1957,1978,2005,2032,2053,2079,2100,2134,2153,2179,2202,2236,2268,2286,2314,2330,2359,2375,2405,2432,2453
4,8,47,98,99,105,124,155,177,198,225,267,287,311,392,466,493,517,548,578,616,643,647,655,684,710,739,766,805,832,861,895,923,953,976,1011,1037,1063,1098,1117,1134,1163,1191,1197,1222,1250,1270,1295,1347,1373,1401,1435,1445,1462,1492,1517,1544,1567,1595,1623,1639,1664,1686,1711,1730,1750,1771,1789,1816,1842,1867,1886,1960,1982,2011,2032,2060,2085,2168,2192,2217,2245,2259,2282,2302,2323,2343,2373,2400,2419,2442,2462,2465,2493,2497,2519,2564,2597,2630,2662,2685
5,10,21,47,64,89,112,133,145,166,222,252,276,301,325,356,388,427,457,488,514,538,564,591,659,679,706,734,764,791,827,858,887,918,950,985,986,1004,1047,1071,1091,1119,1147,1165,1195,1221,1246,1274,1307,1338,1353,1379,1413,1446,1470,1504,1531,1555,1572,1600,1626,1658,1674,1700,1715,1743,1773,1813,1823,1844,1864,1883,1902,1926,1950,1974,2059,2088,2113,2146,2166,2211,2233,2254,2276,2304,2330,2362,2377,2400,2418,2440,2466,2497,2524,2549,2568,2607,2632,2651,2675
6,9,19,44,65,91,112,125,151,168,201,233,269,304,327,356,413,451,482,504,535,571,602,638,667,693,718,742,766,790,818,882,907,941,979,1007,1031,1060,1078,1110,1140,1156,1176,1208,1237,1253,1317,1362,1390,1415,1448,1468,1500,1522,1588,1615,1641,1671,1697,1728,1759,1774,1794,1814,1842,1865,1891,1918,1950,1963,1990,2015,2047,2067,2085,2108,2129,2147,2173,2187,2213,2234,2254,2262,2273,2303,2323,2349,2372,2381,2411,2443,2472,2563,2596,2627,2659,2685,2717,2754,2784
7,11,35,68,87,121,144,168,187,212,246,271,295,319,349,372,397,418,446,473,498,518,545,570,584,609,631,669,699,710,732,755,773,804,827,858,939,967,969,979,997,1020,1048,1114,1143,1169,1204,1234,1259,1286,1294,1320,1356,1393,1433,1464,1499,1528,1558,1586,1612,1643,1667,1691,1715,1737,1759,1784,1822,1844,1876,1902,1933,1961,1985,2016,2048,2079,2106,2132,2161,2195,2219,2253,2280,2298,2323,2346,2370,2388,2406,2428,2455,2480,2499,2526,2543,2564,2593,2619,2647
8,5,31,55,83,109,134,157,184,205,233,263,287,341,368,393,419,444,466,483,524,543,570,656,692,716,747,781,821,892,922,954,976,1006,1031,1080,1107,1134,1163,1187,1213,1233,1258,1285,1313,1342,1362,1387,1414,1447,1462,1490,1514,1583,1606,1636,1657,1678,1691,1713,1761,1840,1869,1888,1906,1945,1947,1959,1978,1998,2017,2034,2048,2064,2085,2104,2124,2198,2222,2237,2261,2284,2313,2334,2360,2392,2423,2454,2487,2519,2555,2585,2616,2649,2674,2699,2732,2756,2793,2818,2859
9,16,41,57,79,108,135,138,165,205,229,252,281,308,334,359,385,409,436,457,478,503,527,552,572,578,610,641,698,717,743,772,797,820,843,870,936,962,988,1070,1098,1109,1138,1165,1202,1245,1271,1298,1316,1343,1367,1399,1406,1442,1459,1482,1513,1562,1591,1624,1650,1676,1695,1718,1743,1772,1795,1821,1855,1876,1894,1956,1976,1998,2023,2046,2076,2104,2127,2149,2159,2176,2191,2210,2231,2248,2271,2291,2313,2346,2371,2400,2422,2454,2483,2496,2514,2523,2554,2573,2604
