,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,7,12,12,14,16,27,61,84,100,114,139,168,192,204,214,226,235,253,281,300,308,343,384,427,484,507,529,550,583,620,654,683,719,747,773,789,812,879,902,934,963,1002,1029,1061,1102,1132,1159,1182,1212,1244,1275,1303,1325,1345,1372,1412,1506,1522,1535,1588,1616,1641,1674,1707,1730,1755,1792,1823,1834,1853,1878,1897,1921,1942,1968,1998,2027,2061,2092,2117,2145,2168,2191,2212,2237,2264,2310,2333,2362,2375,2397,2410,2442,2465,2488,2508,2532,2565,2650,2678
1,10,35,61,82,102,141,175,200,300,328,362,371,398,423,445,518,528,546,573,599,625,649,719,749,766,784,797,817,847,872,894,918,956,981,1009,1033,1058,1078,1109,1140,1166,1180,1196,1217,1242,1266,1295,1299,1321,1355,1388,1425,1450,1465,1487,1518,1556,1570,1582,1597,1602,1615,1628,1649,1668,1687,1695,1715,1733,1759,1775,1797,1814,1835,1856,1881,1905,1930,1952,1979,2000,2027,2044,2059,2066,2094,2116,2131,2154,2179,2204,2229,2247,2272,2300,2323,2337,2367,2391,2422
2,8,25,48,72,100,124,148,150,170,199,221,257,288,321,357,384,389,392,400,448,479,508,533,562,589,593,621,645,671,706,735,776,810,828,872,906,935,956,976,1001,1019,1038,1064,1078,1091,1108,1114,1155,1183,1209,1235,1256,1285,1311,1347,1361,1387,1415,1445,1467,1503,1531,1552,1573,1597,1617,1637,1655,1698,1719,1741,1763,1788,1808,1831,1854,1872,1897,1923,1929,1951,1983,2015,2029,2046,2069,2096,2119,2145,2162,2174,2197,2235,2268,2300,2333,2356,2389,2413,2430
3,12,34,59,81,103,130,176,203,229,250,277,300,320,341,373,386,407,436,465,490,514,533,555,571,584,585,603,632,649,649,661,684,710,735,766,792,819,841,865,895,921,942,965,993,998,1011,1030,1057,1092,1124,1147,1180,1206,1235,1259,1294,1323,1345,1373,1380,1410,1449,1474,1493,1499,1524,1546,1571,1599,1626,1651,1671,1690,1694,1709,1733,1756,1776,1802,1836,1876,1876,1880,1902,1924,1953,1980,2013,2041,2069,2091,2128,2151,2172,2199,2229,2258,2280,2300,2330
4,9,28,43,70,97,123,149,170,201,234,262,297,333,371,399,425,453,478,488,522,541,559,583,655,679,768,802,827,856,882,897,933,957,982,1009,1040,1068,1143,1177,1201,1218,1239,1255,1330,1350,1378,1456,1492,1526,1555,1586,1618,1688,1724,1751,1761,1792,1825,1859,1889,1920,1983,2007,2031,2058,2078,2101,2129,2148,2148,2148,2148,2148,2148,2148,2148,2151,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2169,2197,2212,2234,2296,2325,2339
5,11,34,65,89,116,133,175,200,210,234,261,293,318,326,348,378,413,448,476,510,539,562,586,621,643,673,697,727,745,768,786,809,907,942,965,998,1029,1042,1059,1076,1095,1116,1133,1150,1174,1203,1227,1256,1284,1309,1334,1351,1374,1400,1424,1449,1483,1515,1516,1528,1553,1580,1615,1644,1671,1697,1715,1737,1764,1793,1826,1920,1941,1963,1983,1996,2019,2044,2070,2103,2131,2136,2164,2186,2207,2236,2255,2280,2330,2353,2382,2405,2425,2453,2475,2498,2552,2575,2601,2624
6,8,28,58,82,115,123,129,154,178,198,215,248,272,299,325,349,375,400,423,451,485,546,573,601,620,639,664,690,702,732,753,777,801,830,855,884,914,941,969,999,1022,1027,1032,1041,1056,1069,1072,1136,1165,1189,1217,1261,1292,1327,1344,1354,1377,1404,1412,1437,1468,1499,1527,1568,1601,1634,1673,1714,1779,1811,1843,1875,1898,1922,1948,1967,1988,2014,2034,2054,2139,2184,2188,2212,2238,2257,2281,2303,2328,2351,2367,2394,2412,2433,2456,2480,2506,2521,2592,2617
7,9,25,41,62,63,78,107,134,169,200,227,272,306,334,362,388,418,450,478,504,522,552,580,601,628,637,658,688,767,864,874,936,964,1008,1039,1070,1102,1133,1146,1189,1215,1226,1246,1254,1257,1265,1268,1276,1276,1286,1309,1333,1354,1372,1390,1411,1433,1455,1479,1504,1533,1561,1589,1619,1640,1664,1687,1714,1743,1774,1793,1815,1839,1889,1919,1953,1988,1995,2001,2011,2020,2030,2051,2075,2092,2117,2132,2153,2175,2193,2214,2236,2257,2284,2319,2343,2366,2395,2426,2452
8,10,27,50,80,118,148,173,194,275,308,344,382,418,446,480,513,537,563,594,622,653,678,711,742,763,788,812,838,859,876,896,920,947,965,990,1012,1020,1039,1052,1071,1113,1114,1132,1155,1178,1244,1267,1289,1314,1343,1366,1389,1412,1439,1464,1484,1496,1522,1553,1573,1598,1621,1650,1680,1714,1743,1782,1815,1822,1853,1884,1921,1938,1967,1998,2024,2058,2091,2121,2143,2166,2170,2194,2229,2255,2283,2304,2333,2352,2378,2402,2427,2460,2498,2528,2548,2573,2600,2630,2659
9,14,33,60,64,86,120,146,176,193,212,234,254,272,301,306,327,344,358,385,414,438,456,486,504,529,558,594,624,656,685,715,778,814,835,859,879,916,941,970,996,1073,1099,1127,1148,1168,1169,1183,1193,1208,1224,1250,1278,1298,1320,1338,1365,1381,1400,1423,1447,1472,1492,1517,1537,1559,1578,1591,1618,1648,1687,1716,1736,1758,1778,1797,1820,1843,1869,1895,1925,1952,1981,2004,2027,2057,2080,2102,2136,2165,2184,2187,2203,2243,2283,2323,2349,2382,2402,2428,2460
