,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,24,48,55,77,94,98,116,128,135,136,140,141,142,144,146,151,161,168,186,198,214,221,221,221,221,221,221,221,228,253,272,297,303,315,354,396,402,421,435,465,475,497,511,520,520,527,536,554,569,574,579,587,600,603,604,619,626,638,641,652,661,662,662,662,662,662,662,662,662,662,662,662,667,673,678,680,690,704,723,726,752,760,760,760,760,760,763,774,774,774,774,774,774,774,774,774,774,774,774,774
1,25,42,63,80,102,124,142,159,186,195,195,196,199,203,212,236,239,246,253,259,259,270,297,318,318,333,389,405,420,421,422,423,426,455,456,459,464,470,472,473,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,483,485,500,524,543,552,552,552,552,552,552,552,552,552,552,553,554,554,554,554,556,578,579,579,579,579,579,579,582,585,592,616,625,636,647,671,700,720,723,732,732
2,27,37,53,53,56,60,62,67,73,80,102,121,148,183,187,196,203,226,255,261,283,299,333,348,375,425,474,478,489,500,513,515,516,517,539,544,545,548,549,550,550,550,550,552,554,557,577,583,593,595,617,626,637,654,660,677,677,680,688,703,724,724,725,726,726,729,730,731,734,764,764,764,764,765,767,768,769,771,771,771,771,777,782,787,790,800,810,814,843,844,844,844,853,866,867,872,873,876,877,878
3,23,47,71,99,115,129,139,139,184,218,240,240,270,271,335,357,366,381,388,390,392,398,398,398,398,398,398,398,398,398,398,398,403,408,415,443,445,454,460,461,462,466,479,481,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,483,488,490,500,528,531,531,532,540,561,561,585,594,614,622,648,673,694,694,695,696,696,720,720,720,720,721,722,722,722,722
4,30,43,53,74,97,106,113,116,117,122,123,127,133,136,143,145,145,146,150,154,180,198,231,253,253,253,253,253,253,253,253,253,255,257,260,263,276,291,294,295,307,314,321,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,341,349,350,352,356,360,378,389,399,410,422,428,449,472,487,494,510,512,519,531,533,534,535,536,540,542,545,550,552,555,555,555,555,555,556,564,573,602
5,29,73,90,92,92,93,99,103,117,118,122,142,161,182,190,197,214,231,239,243,250,257,286,302,312,328,339,349,357,358,361,364,367,372,381,388,390,411,411,411,411,412,413,418,420,432,451,458,464,486,534,545,569,591,594,604,605,606,607,608,625,634,650,651,652,652,655,662,664,671,688,713,733,764,764,766,776,778,781,782,783,784,787,791,801,801,801,801,805,808,812,817,823,826,855,881,905,914,940,964
6,27,47,54,68,85,112,139,165,191,194,211,225,232,252,289,305,313,320,342,389,395,405,413,416,417,419,420,420,420,420,420,420,420,420,436,467,505,521,571,590,604,606,610,636,639,657,660,664,674,683,692,707,709,709,709,709,709,709,709,709,709,716,716,717,719,740,777,795,826,854,854,855,856,865,877,888,892,899,901,908,912,939,971,984,988,988,988,994,1001,1033,1036,1046,1068,1087,1102,1103,1103,1105,1107,1107
7,22,47,49,49,49,49,49,49,49,49,49,49,49,53,65,87,114,140,166,173,180,180,224,248,295,300,306,317,325,341,357,361,363,364,364,364,364,364,364,364,369,371,378,380,382,407,413,419,438,456,489,531,544,555,568,571,587,590,594,597,598,598,598,599,599,602,605,614,622,628,628,628,628,629,632,645,653,673,711,737,749,757,781,795,795,804,806,818,819,819,819,819,819,819,819,841,862,862,878,887
8,27,46,52,62,85,103,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,113,116,118,119,122,125,125,125,125,131,138,138,138,138,138,144,148,149,149,149,149,149,149,149,149,149,156,161,172,182,194,203,219,235,254,264,290,320,346,362,382,393,393,394,400,401,409,415,415,415,415,415,415,417,425,438,446,474,490,506,554,584,614,649,653,656,662,665,665,665,665,665,665,665,665,665,666,666
9,26,39,59,61,69,75,100,126,130,135,139,154,173,199,212,213,221,245,265,278,281,281,281,285,290,300,301,302,303,303,303,303,303,303,303,303,303,308,317,318,319,319,319,319,319,319,319,319,320,323,324,330,333,341,345,390,403,431,448,452,462,469,499,505,513,539,548,553,557,558,559,559,560,574,583,604,619,638,638,638,638,638,638,638,638,638,638,638,642,655,664,664,665,665,670,675,690,711,737,753
