,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,40,66,69,72,72,72,72,72,72,72,72,72,72,74,77,77,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,86,90,96,96,96,96,96,96,96,96,96,101,104,105,105,110,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,122,123,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,129,139,149,153,162,167,176,176,183,184,185,185
1,30,50,74,110,128,151,165,167,169,169,176,184,187,187,187,187,187,197,211,218,220,220,269,304,311,315,316,352,365,365,365,365,368,373,373,375,377,386,389,407,433,436,436,436,436,436,436,440,441,450,462,466,477,483,511,518,550,575,590,593,621,636,654,662,683,688,694,699,710,720,723,775,781,786,786,786,786,786,786,787,788,788,788,788,788,788,794,794,794,794,794,794,794,794,794,794,794,794,794,794
2,31,46,59,67,67,78,80,80,81,84,89,89,89,90,90,90,90,90,90,90,90,90,90,92,92,92,92,94,96,102,105,108,110,112,122,122,122,122,122,122,122,122,122,123,123,123,123,123,123,124,124,124,124,124,124,124,124,127,130,132,132,136,145,150,150,150,150,150,150,150,150,150,150,150,150,150,152,153,160,160,160,160,160,160,160,160,160,160,160,161,161,161,161,161,161,161,161,161,162,167
3,28,61,70,71,75,77,77,78,88,123,175,207,217,223,254,273,281,284,285,285,285,287,291,292,292,293,297,314,332,340,354,369,406,467,492,497,497,501,505,505,523,533,554,577,604,606,606,606,606,607,607,607,607,607,607,607,607,607,607,607,607,607,607,607,608,613,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,619,620,620,620,620,620,620,620,620,620,620,620,620
4,27,59,62,62,62,62,62,62,63,67,68,68,68,68,68,68,68,68,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,96,108,139,140,140,153,172,181,186,187,187,187,187,187,187,193,203,208,218,239,293,310,310,310,311,314,315,317,320,327,330,342,344,344,344,347,347,347,347,347,347,347,400,406,421,435,438,447,447,447,447,447,447,449,449,449,449,449,449,450,455,455
5,34,49,55,58,61,63,78,79,80,80,80,80,80,83,84,84,84,85,85,86,86,86,86,86,91,100,113,144,152,154,160,172,189,192,210,217,217,217,220,229,231,233,233,233,238,239,239,239,239,239,239,239,243,245,245,247,250,250,251,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,254,257,258,258,258,258,258,258,263,264,264,264,264,269,280,291,294,295,298,298,298,298
6,37,67,74,77,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,81,84,90,90,90,90,90,90,90,93,94,94,94,94,94,95,95,95,95,95,95,95,95,95,96,96,99,99,99,99,99,99,99,111,151,153,153,153,166,175,175,175,180,182,184,189,194,213,222,244,244,244,245,254,260,260,265,275,276,286,300,314,333,338,364,366,367,367,367,367,367,367,367
7,31,41,56,65,67,67,76,77,90,104,111,112,116,119,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,127,129,131,142,147,147,147,147,148,148,148,148,148,149,157,180,214,232,232,232,234,240,242,244,245,245,247,253,257,258,258,258,258,258,267,273,276,288,291,293,294,297,299,300,300,300,300,300,300,300,305,307,308,317,338,365,366,371,372,373,377,378,381,387,404,417,440,441,443,448,454
8,30,43,54,55,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,61,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,70,74,76,77,78,78,78,78,78,78,78,78,78,78,78,78,78,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83
9,28,56,72,107,118,128,135,136,136,136,137,138,139,139,140,140,152,152,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,158,163,163,170,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,175,176,177,177,177,177,177,180,180,180,180,181,183,189
10,21,48,67,83,118,140,160,189,213,240,260,275,276,276,278,278,278,278,279,284,290,294,294,294,294,301,303,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,308,316,319,327,337,345,348,348,348,348,348,348,348,348,348,348,348,352,353,353,353,353,353,353,353,353,353,353,353,355,360,362,363,363,363,366,371,373,382,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,387,387,387,387
11,30,57,82,84,90,92,92,92,92,92,92,92,92,92,92,92,105,122,127,131,141,161,164,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,170,171,171,171,171,171,171,173,173,173,177,177,177,177,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181
12,34,55,84,99,111,122,136,136,162,179,216,244,257,257,262,267,268,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,280,285,286,287,287,287,287,287,287,287,287,287,292,307,309,310,310,310,311,311,313,313,313,313,313,313,313,313,313,313,313,313,313,313,321,322,327,334,336,337,337,337,337,337,337,337,346,350,359,360,363,375,389,392,393,398,403,403,403,403,403,403,403,403,403,403,403,403
13,22,49,73,107,156,163,192,214,229,233,237,243,246,247,247,248,248,248,254,258,275,280,292,300,307,307,307,307,307,307,307,307,307,309,309,309,309,310,310,310,311,311,311,312,312,312,312,312,312,312,312,312,312,317,326,339,352,376,390,394,395,400,409,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,412,420,424,452,462,476,513,542,553,578,582,584,590,603,604
14,35,51,57,62,62,62,62,62,62,62,62,62,67,71,72,73,75,84,102,130,151,158,173,191,235,253,292,317,337,341,346,355,363,371,373,374,374,425,426,431,439,439,439,439,439,439,439,439,439,441,441,441,441,441,441,441,441,441,443,444,458,475,482,485,506,534,536,536,536,537,537,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,542,543,544,545,545,545,545,545,550,552,552,554,556
15,25,44,78,104,117,132,148,163,188,208,209,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,218,218,220,225,229,231,239,251,275,277,278,280,283,283,283,283,283,283,284,291,292,297,298,298,298,298,298,298,298,298,298,298,298,302,314,338,339,339,342,347,348,349,349,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,353,360,370,382,382,382,382,382,382,382,382,382
16,24,45,86,98,104,108,123,130,139,149,157,158,158,158,159,163,168,173,173,173,175,175,176,176,176,176,176,176,176,176,176,176,212,261,271,327,347,358,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,379,380,380,383,385,388,393,393,393,393,393,393,393,393,393,393,393,393,399,410,465,473,478,494,504,506,507,507,507,508,512,512,512,512,512,512,512,512,512,512,512,512
17,32,36,36,36,39,40,44,48,53,65,65,69,107,131,144,144,152,159,160,160,160,164,164,164,164,164,164,165,165,165,165,165,165,165,171,228,243,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,251,251,251,251,251,251,254,254,260,264,267,267,267,267,267,275,275,276,276,276,276,278,278,278,278,278,280,285,288,291,292,293,295,295,295,295,295,295,295,295,295,295,295,295,295,301,304
18,35,66,86,96,127,176,191,196,200,203,210,217,225,252,258,263,272,311,329,339,358,363,363,363,363,363,363,363,363,367,382,397,419,424,425,426,427,429,429,429,429,429,429,429,429,429,429,429,429,430,432,432,432,432,432,432,432,432,436,443,445,454,462,462,463,469,471,473,473,523,528,536,542,581,585,599,605,615,627,643,644,644,644,647,648,648,648,651,651,651,651,651,651,651,651,651,651,651,651,651
19,36,48,54,54,54,58,63,63,63,63,63,63,63,63,63,65,69,69,69,69,69,69,69,69,70,79,94,107,118,119,133,135,135,135,140,141,147,148,151,157,161,161,161,161,161,161,161,161,162,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,172,174,174,174,178,178,178,178,178,178,178,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,181,182
20,25,64,71,87,110,140,151,154,154,154,154,158,158,158,158,158,159,159,159,159,159,159,159,159,159,159,159,163,163,163,163,164,164,164,164,164,164,176,182,184,198,210,210,214,217,224,256,262,263,264,264,264,264,264,264,264,264,264,267,269,281,296,297,299,299,299,303,306,314,331,359,364,365,365,365,365,365,368,379,390,408,424,443,443,447,447,447,448,448,448,448,452,454,461,470,482,485,485,485,485
21,28,37,44,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,51,53,72,96,108,115,148,180,200,200,200,200,200,200,200,200,200,202,202,202,202,202,202,202,202,205,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,215,223,225,230,233,238,242,244,244,248,251,255,255,255,255,255,259,262,264
22,27,68,122,132,154,157,160,163,163,164,164,165,166,166,166,167,167,167,167,167,167,167,167,167,167,167,167,167,174,181,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,185,186,186,186,186,186,187,187,187,187,187,187,187,187,187,190,193,193,193,193,193,193,193,193,193,193,193,193,193,196,205,208,222,239,256,256,269,285,298,300,301,301,301,301,301,301,301,301,301
23,22,49,64,84,94,104,110,110,110,112,114,115,121,124,127,131,141,142,142,146,162,164,164,164,164,164,164,164,164,164,164,164,164,164,164,168,169,169,169,169,169,169,169,169,169,169,176,184,195,219,236,252,266,270,275,281,291,293,297,335,344,348,358,370,377,389,405,427,441,442,442,442,442,442,442,442,442,442,442,442,442,442,443,443,496,501,501,531,536,541,548,560,583,597,613,615,620,620,630,634
24,30,33,35,35,35,35,35,38,40,40,40,40,40,42,42,42,42,42,42,42,42,42,43,43,43,44,44,44,44,44,44,46,50,54,56,56,77,79,79,79,79,80,83,83,83,83,83,83,83,83,83,83,83,83,83,83,85,86,87,87,87,87,87,87,89,96,101,102,121,151,162,172,178,188,188,188,189,190,224,225,226,228,239,249,252,254,257,261,261,261,261,261,261,261,261,261,261,261,261,261
25,31,42,46,47,48,58,72,75,79,87,105,133,167,175,176,176,176,176,176,176,176,176,176,176,176,176,176,176,179,180,180,180,180,180,180,180,180,180,180,180,184,184,184,184,184,184,194,200,212,221,226,227,229,229,229,229,229,229,229,229,229,230,230,230,230,232,238,238,238,238,238,238,238,240,240,242,253,253,258,258,258,258,258,261,261,261,261,261,261,261,264,265,265,265,267,268,268,268,268,268
26,33,59,83,83,83,84,86,86,86,86,88,93,93,93,93,93,93,93,93,93,93,96,100,102,114,122,130,132,136,144,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,154,155,155,155,158,170,179,185,185,185,189,193,205,230,242,261,274,285,307,319,340,394,424,430,433,434,441,443,451,459,459,463,469,473,474,474,474,474
27,27,35,43,48,58,60,62,62,62,62,62,63,65,65,69,69,80,85,92,96,124,127,130,140,144,173,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,200,203,203,206,208,211,212,219,236,263,263,267,269,269,269,269,269,274,275,275,275,275,275,275,275,275,275,275,275,275,278,279,279,279,279,279,279,279,279,279,279,279,281,308,322,358,362,364,364,364,364,364,364,365,372,377,377,377
28,29,47,51,71,81,96,100,107,114,116,117,117,117,119,119,119,119,119,119,119,119,119,119,119,119,119,119,121,121,121,121,121,121,121,121,122,122,122,122,122,122,122,122,122,122,122,130,131,132,132,132,132,132,132,132,132,132,132,132,132,132,132,133,134,149,155,158,159,159,159,159,159,159,159,159,159,164,170,175,180,189,190,190,190,190,190,190,190,190,190,190,190,190,190,190,191,204,216,235,283
29,25,34,48,53,75,103,110,120,121,121,121,121,121,121,121,121,121,121,121,126,126,126,128,128,129,133,144,153,153,153,153,153,153,153,153,157,160,166,179,185,189,190,190,190,190,192,193,205,208,211,211,211,211,211,211,211,211,220,223,224,224,224,224,224,224,224,224,224,224,224,224,224,224,229,230,230,230,230,231,240,261,269,292,294,294,333,333,333,333,335,336,337,338,340,343,347,353,358,372,382
