,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5,14,24,37,52,60,70,85,94,108,123,139,161,174,185,202,219,236,249,269,278,291,303,324,331,346,350,357,373,386,397,411,425,435,446,446,450,470,484,498,510,527,546,567,582,600,618,636,647,661,677,696,708,723,732,744,752,752,758,779,786,797,810,822,842,860,881,896,910,925,939,952,967,987,1003,1017,1034,1047,1063,1071,1077,1091,1105,1125,1136,1146,1156,1170,1179,1193,1213,1221,1228,1247,1262,1270,1279,1301,1318,1332
1,6,20,40,54,76,89,107,119,134,146,160,182,200,220,240,254,265,273,287,305,315,330,345,363,378,392,414,429,444,456,474,498,512,533,551,568,583,607,625,643,659,677,691,703,710,721,731,738,751,771,791,806,819,842,856,871,879,891,909,926,938,953,968,987,998,1007,1030,1042,1051,1068,1084,1097,1105,1125,1139,1148,1163,1180,1191,1209,1222,1238,1257,1278,1289,1307,1322,1332,1355,1366,1380,1388,1404,1413,1428,1441,1456,1469,1485,1501
2,7,21,28,43,52,68,81,94,103,120,128,147,166,185,204,216,226,232,248,269,286,308,324,333,345,361,375,387,403,403,408,410,422,435,447,458,470,476,489,506,524,538,557,569,585,598,608,628,644,658,677,692,706,718,737,744,755,776,794,812,833,845,863,879,893,908,924,941,955,968,976,993,1008,1025,1035,1052,1067,1091,1105,1126,1137,1150,1150,1160,1177,1197,1212,1230,1244,1255,1272,1290,1310,1320,1334,1352,1367,1379,1398,1409
3,5,18,35,54,72,90,106,128,142,164,178,193,204,215,226,233,241,264,277,293,300,300,315,328,330,351,365,382,393,408,424,440,453,469,485,503,518,529,539,560,575,590,601,621,640,656,674,688,699,709,723,737,752,766,779,787,798,811,814,827,843,859,875,890,903,926,942,948,967,987,1003,1013,1024,1037,1048,1061,1078,1096,1110,1122,1138,1156,1174,1188,1199,1213,1222,1236,1252,1272,1290,1299,1310,1326,1348,1363,1382,1394,1407,1415
4,7,23,37,47,58,73,91,104,115,125,148,164,173,188,201,220,231,248,263,277,288,304,313,329,344,360,374,390,414,428,446,460,478,493,505,527,542,556,578,594,612,632,650,671,682,694,705,721,731,743,757,770,779,795,812,825,835,851,864,882,895,908,925,945,965,981,996,1009,1024,1036,1050,1067,1084,1093,1108,1120,1126,1136,1148,1160,1169,1179,1188,1199,1211,1228,1238,1255,1265,1273,1288,1303,1322,1337,1345,1361,1376,1393,1407,1407
5,8,23,33,48,67,79,93,108,127,149,162,172,189,208,208,223,244,244,249,261,276,285,301,314,330,346,358,371,379,390,404,415,428,446,468,482,498,514,528,536,552,570,591,599,615,628,642,657,674,697,713,726,741,752,765,782,791,811,820,826,841,857,871,885,893,901,909,925,933,943,958,964,971,979,992,1006,1024,1041,1056,1076,1090,1113,1127,1149,1161,1177,1194,1200,1211,1228,1240,1252,1268,1285,1288,1298,1308,1314,1330,1343
6,5,15,28,41,55,67,81,87,102,118,118,127,137,145,156,173,189,207,219,236,250,267,283,300,317,329,351,369,385,402,414,435,456,471,478,495,514,538,554,567,579,596,618,632,642,659,673,688,699,715,728,749,774,785,804,824,840,854,874,892,906,927,935,949,962,977,992,997,1006,1022,1033,1049,1064,1076,1088,1106,1123,1143,1158,1167,1176,1182,1190,1201,1215,1231,1244,1261,1267,1271,1278,1286,1293,1309,1326,1339,1352,1373,1387,1401
7,5,14,25,40,51,67,86,101,104,118,132,141,155,172,185,203,225,244,269,285,294,307,318,333,349,362,380,395,411,415,430,441,459,467,480,490,504,523,534,546,558,569,586,611,632,649,662,683,701,719,736,754,772,788,804,822,834,850,863,871,881,888,903,921,938,951,959,975,981,992,1007,1017,1026,1043,1060,1079,1090,1108,1129,1145,1156,1165,1178,1188,1198,1216,1231,1231,1240,1241,1250,1260,1281,1297,1297,1309,1325,1343,1359,1369
8,3,13,22,35,50,67,77,88,103,122,140,157,169,182,194,207,226,242,242,249,259,259,263,276,288,302,323,333,345,362,379,393,410,432,442,458,474,490,503,511,530,546,560,581,595,611,625,645,660,674,691,704,725,736,748,761,779,795,811,828,846,862,874,894,913,929,948,963,980,997,1009,1024,1038,1050,1067,1080,1094,1108,1131,1146,1159,1171,1184,1200,1215,1229,1242,1255,1269,1288,1308,1321,1334,1351,1369,1378,1396,1408,1419,1428
9,2,11,17,27,42,58,69,82,103,116,116,124,139,152,161,181,189,199,209,219,226,236,249,266,284,284,289,292,301,312,317,324,336,351,368,382,398,424,441,459,467,481,496,516,535,555,567,584,598,611,629,655,667,680,693,706,717,735,752,767,782,798,814,830,838,852,867,883,895,906,917,930,948,965,979,995,1012,1041,1059,1078,1100,1114,1130,1143,1155,1165,1176,1189,1202,1219,1234,1249,1267,1284,1302,1323,1323,1329,1348,1372
10,4,8,22,34,49,64,70,80,97,117,138,150,164,175,188,207,222,232,247,260,277,287,297,313,328,343,362,371,386,400,421,428,445,461,475,490,506,519,532,550,562,575,596,612,622,640,652,666,680,703,715,732,757,774,790,803,811,826,840,853,861,872,879,888,899,911,929,945,960,986,1000,1013,1022,1033,1049,1063,1082,1100,1114,1129,1153,1168,1190,1209,1225,1239,1256,1273,1288,1305,1314,1325,1343,1350,1350,1355,1367,1382,1402,1417
11,4,10,24,34,47,64,80,93,109,120,125,137,160,169,186,193,201,214,227,247,267,289,307,320,335,351,351,363,376,390,405,416,433,443,455,472,481,498,511,519,527,536,555,566,576,591,598,613,624,638,647,657,676,689,700,716,732,744,762,775,794,812,827,846,858,873,887,904,922,931,942,953,965,978,986,991,1006,1019,1033,1047,1058,1071,1085,1095,1101,1113,1123,1134,1144,1149,1168,1186,1201,1212,1222,1231,1240,1257,1271,1292
12,4,15,22,29,44,57,67,81,97,115,127,140,154,165,182,194,211,225,236,252,262,277,291,309,324,333,349,363,374,386,399,408,419,432,446,458,474,494,510,525,535,546,564,576,595,610,626,643,651,665,683,702,713,729,742,754,767,780,796,811,824,840,864,881,895,918,937,953,970,983,995,1010,1031,1049,1068,1083,1102,1116,1129,1142,1152,1164,1176,1190,1202,1224,1238,1253,1271,1283,1298,1315,1323,1331,1345,1352,1364,1369,1369,1378
13,5,17,26,41,53,64,78,91,103,114,121,132,148,165,181,193,209,220,231,248,263,278,294,304,322,335,351,369,388,410,419,436,450,466,476,476,487,498,508,521,533,547,557,575,593,603,618,631,653,667,689,704,717,724,735,752,764,788,801,813,837,857,875,896,914,920,938,949,968,989,997,1014,1030,1046,1067,1079,1094,1109,1119,1133,1139,1156,1171,1187,1201,1217,1229,1248,1258,1269,1288,1307,1326,1350,1361,1385,1406,1418,1430,1445
14,5,16,28,40,59,75,80,92,109,121,132,144,161,181,192,208,220,238,249,264,289,303,317,332,345,358,374,388,404,410,414,425,452,472,485,507,531,549,564,581,595,610,626,642,655,669,685,701,713,730,747,762,779,794,813,836,849,864,875,890,902,920,938,957,975,993,1014,1030,1047,1066,1080,1101,1118,1134,1147,1166,1183,1195,1211,1232,1249,1266,1276,1286,1298,1318,1328,1344,1354,1362,1380,1394,1414,1424,1440,1461,1481,1496,1507,1518
15,6,21,30,41,59,74,90,109,116,127,146,162,166,172,181,195,206,220,220,226,232,232,238,255,263,271,283,297,307,318,334,350,368,385,403,422,431,441,452,469,487,504,521,538,560,575,586,603,624,640,657,668,683,699,718,732,744,758,774,789,807,823,844,858,865,884,903,922,937,948,959,976,992,1008,1032,1044,1052,1058,1059,1060,1069,1081,1097,1114,1126,1139,1158,1170,1182,1192,1197,1210,1226,1234,1255,1268,1278,1290,1306,1324
16,8,16,28,39,51,66,85,101,115,127,146,158,176,191,203,215,227,241,254,270,284,289,299,316,337,348,364,377,393,403,416,432,445,466,466,474,483,499,519,536,550,565,579,590,612,627,633,645,661,672,685,705,709,721,732,746,763,776,786,799,809,821,834,848,869,882,904,916,933,946,958,969,984,1000,1013,1025,1040,1054,1081,1097,1111,1122,1134,1145,1159,1165,1173,1178,1188,1202,1216,1230,1249,1269,1289,1304,1322,1333,1349,1367
17,7,20,27,33,42,56,74,83,95,110,118,128,137,150,169,187,205,221,232,243,252,264,281,291,303,321,331,344,362,374,384,384,390,402,412,426,439,455,476,494,513,530,537,561,578,595,614,635,655,663,679,696,709,721,740,753,771,787,795,806,818,825,836,858,876,891,909,915,928,945,962,982,993,999,1009,1013,1028,1032,1043,1061,1080,1101,1110,1124,1138,1151,1170,1182,1205,1222,1235,1252,1266,1283,1298,1317,1333,1333,1339,1347
18,4,12,28,42,60,71,93,103,116,131,142,150,158,173,190,205,219,237,251,267,276,292,308,308,316,328,340,356,367,387,401,418,433,445,455,471,492,509,526,546,553,572,583,594,605,621,637,663,678,701,714,730,742,758,775,796,808,825,846,862,876,893,915,932,946,965,980,994,1013,1034,1055,1072,1083,1098,1111,1129,1155,1172,1185,1203,1212,1227,1246,1263,1274,1289,1315,1326,1333,1339,1339,1347,1362,1362,1368,1384,1395,1406,1425,1439
19,7,18,19,36,50,67,81,100,113,113,113,123,135,143,151,166,179,191,203,219,230,244,253,272,277,282,301,310,324,343,361,378,391,403,420,432,447,464,485,504,522,534,549,549,562,577,586,593,600,611,625,638,643,651,659,672,679,691,706,717,727,740,754,770,789,797,801,806,820,825,834,854,870,890,903,924,937,958,972,989,1008,1023,1034,1051,1075,1096,1108,1125,1148,1148,1156,1170,1184,1200,1222,1234,1249,1264,1280,1295
20,8,17,34,51,74,87,101,119,132,146,166,181,188,199,215,215,223,233,243,256,273,289,303,314,333,346,360,384,397,412,431,441,456,474,493,504,518,530,543,552,564,577,595,606,626,648,655,666,677,700,717,728,742,757,784,799,820,834,844,856,869,878,891,905,922,934,957,962,971,980,995,1002,1012,1030,1040,1053,1068,1081,1094,1112,1128,1140,1154,1172,1188,1198,1218,1235,1252,1267,1284,1296,1309,1326,1346,1362,1376,1396,1409,1424
21,6,28,43,60,78,98,112,130,142,162,171,187,206,217,238,253,267,286,302,320,329,349,349,366,387,403,423,432,442,451,466,476,482,496,515,522,529,546,558,572,591,605,622,636,653,663,682,694,712,728,739,756,768,782,797,810,824,839,858,869,885,902,921,938,960,970,982,997,1007,1020,1038,1058,1071,1082,1094,1103,1117,1128,1142,1162,1183,1203,1220,1236,1246,1267,1285,1297,1309,1323,1332,1354,1369,1389,1408,1420,1433,1444,1460,1471
22,5,24,25,41,54,64,85,105,117,128,141,157,176,189,206,223,235,258,266,279,293,308,321,333,348,368,382,399,412,434,451,462,474,491,491,501,521,533,552,571,585,599,611,629,653,670,677,693,715,725,738,751,759,766,782,800,814,828,843,860,877,888,905,919,932,949,965,965,972,980,987,998,1011,1018,1023,1032,1043,1054,1060,1071,1074,1083,1091,1110,1127,1137,1145,1154,1160,1169,1178,1189,1202,1225,1243,1257,1274,1283,1300,1316
23,6,16,28,43,51,61,80,96,108,120,130,140,155,176,197,206,225,244,261,282,296,314,326,344,359,375,392,409,418,436,453,464,479,496,510,530,548,560,577,595,614,627,641,654,673,697,714,736,750,766,778,792,810,817,833,841,863,875,885,900,919,931,947,957,966,989,1006,1023,1035,1052,1064,1074,1090,1106,1118,1138,1155,1171,1180,1190,1206,1206,1220,1239,1254,1268,1282,1295,1308,1319,1319,1328,1338,1352,1369,1383,1394,1408,1424,1438
24,4,20,29,44,53,60,73,85,95,110,124,138,153,168,176,191,201,218,231,231,248,269,284,299,314,326,342,356,371,386,404,422,441,456,475,491,502,517,531,556,568,581,596,614,632,652,663,679,700,716,731,739,754,769,782,795,804,817,822,837,848,854,868,882,894,899,911,920,932,944,969,988,1001,1026,1039,1056,1073,1096,1104,1116,1122,1130,1139,1153,1172,1190,1197,1211,1225,1244,1263,1291,1299,1310,1330,1352,1368,1383,1397,1411
25,5,18,38,57,75,92,107,115,129,139,153,162,175,181,192,207,223,243,258,273,287,304,321,339,356,374,389,407,428,444,458,471,481,497,508,516,534,551,570,589,608,628,642,660,676,689,708,720,735,747,769,790,800,809,823,834,844,850,855,859,862,866,883,889,908,919,932,947,964,989,1004,1021,1040,1056,1070,1086,1101,1117,1126,1136,1147,1163,1182,1202,1215,1230,1246,1261,1280,1291,1303,1318,1330,1342,1365,1384,1395,1404,1415,1432
26,4,22,43,64,77,97,124,143,160,175,190,200,208,217,217,222,227,237,248,266,270,283,298,306,320,339,351,361,372,380,397,413,430,445,461,480,495,509,521,537,553,568,581,591,606,623,633,647,656,671,682,700,716,730,749,762,777,799,814,833,847,861,872,883,894,915,934,947,962,978,988,1000,1010,1027,1040,1063,1075,1084,1094,1102,1112,1126,1136,1149,1161,1173,1187,1200,1213,1224,1236,1254,1267,1286,1297,1308,1318,1333,1346,1358
27,4,11,19,28,42,58,73,91,105,120,136,147,163,175,190,205,219,235,250,269,284,301,310,310,319,335,353,370,382,396,418,441,449,461,471,489,496,512,530,545,559,577,577,582,601,620,633,648,662,678,696,710,725,736,755,774,785,802,820,833,838,840,845,854,868,880,893,904,921,937,957,971,988,1001,1014,1026,1033,1043,1051,1062,1070,1071,1083,1098,1110,1128,1142,1158,1174,1188,1212,1227,1237,1250,1260,1281,1297,1315,1334,1347
28,3,11,27,37,52,62,77,90,103,121,141,154,166,188,188,194,205,212,227,241,251,271,286,298,311,325,341,357,372,388,403,413,425,436,446,459,471,480,489,501,520,531,551,564,577,592,609,627,640,652,669,683,697,708,723,736,750,770,796,819,835,854,862,872,880,881,891,897,907,925,939,955,972,989,999,1013,1031,1048,1059,1069,1083,1100,1117,1138,1149,1159,1168,1188,1200,1219,1226,1241,1252,1260,1270,1280,1288,1298,1308,1315
29,5,16,19,33,47,67,81,91,106,115,129,135,145,157,167,180,201,205,221,233,254,270,286,300,315,330,330,336,348,367,382,392,403,421,432,444,452,460,473,487,510,524,539,553,567,587,600,614,628,639,661,678,691,704,717,729,741,757,773,790,809,818,832,849,859,872,884,897,912,924,939,955,974,990,1005,1020,1037,1059,1068,1073,1082,1095,1106,1109,1115,1116,1133,1141,1155,1169,1186,1208,1225,1239,1253,1271,1287,1306,1315,1328
