,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5,19,29,49,65,84,99,113,125,144,158,169,195,213,227,240,261,276,284,297,311,311,314,318,319,335,348,364,380,400,408,420,439,450,463,482,500,515,534,553,564,575,591,605,618,628,643,661,685,704,717,729,754,769,789,801,812,829,846,868,887,902,916,935,955,966,975,996,1016,1033,1044,1060,1078,1093,1113,1125,1147,1147,1154,1154,1155,1168,1178,1197,1214,1234,1249,1268,1287,1300,1310,1317,1338,1353,1361,1384,1404,1418,1438,1449
1,6,17,30,48,60,76,90,109,121,139,156,167,184,198,209,225,243,257,269,283,295,310,319,331,349,366,379,391,405,420,433,444,462,476,486,500,500,517,523,533,545,561,573,591,599,612,627,646,663,680,692,705,725,736,749,765,782,793,808,828,844,862,880,898,912,927,952,973,985,997,1006,1015,1030,1043,1054,1063,1077,1090,1112,1129,1147,1159,1175,1191,1202,1222,1237,1237,1242,1244,1245,1254,1265,1281,1300,1311,1323,1339,1358,1374
2,5,9,24,38,51,68,79,87,101,115,127,136,152,163,183,198,211,226,235,251,263,274,285,297,323,339,350,364,379,397,413,422,433,458,475,491,509,526,539,547,561,576,588,601,609,629,642,656,669,681,696,723,739,759,778,787,797,815,826,839,854,868,886,899,918,929,945,967,982,992,1002,1015,1025,1044,1055,1066,1080,1091,1109,1121,1134,1147,1160,1178,1192,1215,1224,1244,1259,1272,1282,1300,1309,1324,1336,1351,1365,1378,1391,1410
3,7,18,36,48,65,77,86,103,112,126,135,149,167,181,197,209,228,240,252,270,285,298,315,315,326,337,351,374,395,413,424,435,453,471,483,501,515,525,544,559,573,590,607,624,638,655,668,688,701,718,734,746,767,786,802,816,832,842,855,871,882,903,922,936,946,957,977,993,1003,1018,1029,1046,1064,1079,1089,1104,1122,1139,1153,1166,1183,1195,1208,1223,1239,1252,1267,1276,1296,1307,1323,1335,1356,1377,1393,1414,1426,1444,1456,1466
4,5,12,26,37,48,64,75,90,105,120,135,149,167,180,191,206,222,242,257,272,290,311,328,349,363,383,403,416,430,449,467,484,484,489,495,510,528,548,566,593,613,630,649,656,678,696,710,725,734,746,762,788,808,819,830,844,864,881,892,904,917,927,940,954,974,988,1000,1012,1024,1041,1054,1073,1091,1114,1130,1147,1158,1174,1181,1196,1209,1220,1229,1240,1252,1269,1283,1295,1303,1313,1329,1342,1342,1349,1369,1378,1383,1387,1396,1408
5,4,15,21,38,52,68,77,91,102,122,132,146,160,173,173,178,189,205,217,229,242,257,273,299,319,332,349,364,375,388,403,417,425,438,449,465,479,494,504,517,531,544,555,570,580,591,607,624,640,656,668,680,688,699,715,731,745,759,770,780,792,813,831,848,863,872,885,897,916,932,951,967,985,1006,1024,1042,1056,1073,1073,1078,1084,1090,1097,1105,1111,1118,1129,1142,1161,1180,1195,1207,1220,1232,1245,1259,1275,1284,1301,1318
6,5,10,30,40,54,69,79,95,106,119,137,147,160,173,181,196,210,227,242,256,265,277,287,300,314,333,349,361,376,397,410,418,432,443,459,473,492,505,521,544,559,580,595,610,624,635,650,666,681,701,722,731,750,768,778,791,800,814,835,850,859,881,898,907,924,941,958,972,986,998,1011,1021,1039,1056,1073,1087,1100,1109,1120,1130,1145,1151,1158,1174,1188,1199,1213,1226,1235,1246,1261,1276,1293,1307,1319,1332,1355,1367,1378,1392
7,4,10,30,48,68,79,102,120,129,138,153,168,184,207,225,240,252,272,283,297,306,328,343,359,376,387,399,417,432,451,460,472,486,500,510,528,545,554,566,585,603,618,631,648,663,674,690,704,728,733,752,778,794,812,830,847,859,868,875,888,903,922,934,957,973,987,1003,1015,1034,1050,1067,1083,1092,1112,1127,1146,1165,1176,1188,1208,1228,1243,1262,1276,1276,1286,1295,1315,1332,1348,1364,1375,1387,1406,1413,1428,1446,1465,1479,1496
8,5,22,39,61,80,104,120,133,151,160,173,196,210,221,243,257,273,293,306,314,324,337,353,370,386,398,412,433,448,461,471,487,504,519,535,555,571,582,590,604,616,630,644,656,674,687,704,715,739,752,772,792,804,816,841,854,870,882,893,917,927,939,949,966,981,995,1010,1025,1035,1049,1062,1084,1101,1101,1111,1119,1139,1157,1168,1186,1211,1226,1238,1256,1273,1288,1299,1310,1330,1346,1360,1376,1387,1404,1417,1435,1447,1465,1476,1496
9,6,8,25,37,57,75,87,107,124,136,154,168,181,202,217,236,258,276,290,311,328,342,355,366,386,401,423,438,448,459,471,484,501,514,523,539,552,564,574,582,601,622,634,649,666,674,687,700,713,724,737,753,768,784,793,803,813,826,843,850,866,875,889,898,910,920,938,957,976,987,1000,1012,1025,1034,1047,1062,1076,1095,1114,1128,1145,1161,1177,1197,1219,1235,1256,1274,1295,1313,1323,1340,1353,1371,1386,1398,1405,1422,1443,1460
10,7,14,20,35,44,54,62,70,82,96,96,102,111,122,138,161,185,196,209,220,242,264,278,296,315,330,345,357,373,394,394,403,409,419,426,439,459,475,492,505,527,544,559,575,599,608,624,640,658,673,689,702,722,738,751,769,781,802,816,832,850,869,882,889,907,931,946,963,983,1001,1013,1028,1043,1057,1075,1094,1107,1122,1133,1133,1138,1138,1138,1149,1161,1176,1199,1215,1227,1245,1264,1280,1299,1313,1329,1349,1367,1384,1398,1408
11,5,17,24,32,46,65,75,91,109,125,145,157,174,191,208,228,245,264,277,287,303,317,331,345,362,373,391,407,425,446,459,459,464,468,481,490,513,529,541,552,552,561,565,582,599,616,633,646,658,673,691,704,722,738,750,771,785,793,808,820,832,847,858,865,887,904,919,932,950,973,982,998,1018,1031,1045,1055,1067,1080,1096,1111,1126,1139,1139,1140,1140,1147,1154,1168,1181,1196,1215,1235,1245,1263,1275,1293,1304,1317,1334,1353
12,7,15,18,29,43,61,78,98,122,139,151,164,180,198,207,218,233,240,257,269,278,288,303,321,338,356,376,395,413,434,448,459,476,497,512,536,551,574,588,600,617,634,647,661,674,688,704,718,735,751,762,774,793,810,834,859,865,888,888,891,895,898,918,930,943,959,970,979,993,1008,1020,1030,1047,1067,1086,1096,1104,1122,1131,1144,1161,1172,1191,1203,1219,1232,1245,1268,1286,1303,1313,1333,1350,1368,1380,1393,1409,1424,1436,1442
13,7,13,23,39,49,66,89,105,121,138,150,164,183,202,218,236,254,275,288,306,319,337,345,359,373,393,404,419,437,437,445,459,476,489,504,526,542,558,576,594,604,620,636,646,646,649,662,673,683,700,700,708,716,720,723,724,724,724,738,753,771,780,799,809,819,836,836,841,842,847,855,874,895,911,924,940,952,963,972,983,999,1018,1037,1053,1072,1087,1108,1130,1141,1155,1169,1183,1196,1212,1228,1236,1248,1264,1282,1296
14,6,24,36,52,65,75,88,99,112,128,146,165,174,191,206,215,235,250,269,285,301,318,338,347,371,383,395,410,422,433,450,468,485,485,496,505,517,524,527,531,536,541,550,569,587,598,606,614,629,641,653,668,682,699,715,728,740,762,772,792,801,811,820,835,845,854,873,876,885,891,906,921,929,942,952,961,976,989,999,1010,1022,1032,1048,1061,1073,1084,1100,1116,1130,1150,1169,1188,1204,1213,1226,1246,1257,1273,1288,1311
