,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,8,18,37,49,58,74,87,107,125,137,151,166,183,202,217,225,235,249,263,278,287,301,321,341,356,372,391,414,434,445,457,474,489,506,521,539,553,568,589,601,615,637,666,689,702,716,734,742,764,778,799,813,829,842,862,880,895,911,925,934,947,965,981,1001,1014,1030,1054,1068,1085,1093,1106,1126,1142,1159,1182,1197,1219,1233,1247,1257,1270,1284,1296,1304,1312,1326,1344,1359,1372,1393,1413,1430,1447,1459,1482,1503,1523,1531,1551,1565
1,4,11,22,30,40,56,74,88,103,113,125,141,155,172,172,182,188,201,213,227,232,248,263,282,303,317,334,344,354,368,386,407,426,445,456,474,492,506,522,535,555,555,562,570,586,599,610,625,639,648,659,677,696,708,725,742,751,769,780,795,809,819,829,846,862,876,896,903,922,940,952,964,972,983,990,1004,1019,1032,1050,1073,1092,1105,1125,1140,1157,1171,1185,1207,1221,1240,1253,1270,1282,1293,1293,1296,1301,1311,1318,1340
2,5,12,23,34,46,54,65,80,93,114,126,144,157,179,197,212,227,242,259,272,284,295,307,312,327,337,354,378,384,399,412,422,441,458,465,474,487,498,514,531,547,562,580,591,604,615,634,650,671,685,704,715,726,743,756,778,795,811,827,843,849,866,891,910,927,938,957,966,982,993,1006,1019,1029,1050,1056,1068,1086,1091,1102,1113,1127,1142,1155,1164,1179,1189,1205,1215,1227,1244,1254,1267,1285,1309,1320,1341,1352,1363,1386,1399
3,7,23,33,53,61,79,95,102,114,129,147,165,185,201,212,225,244,254,263,284,298,310,327,340,348,355,374,386,401,420,438,452,466,480,497,517,531,547,563,563,574,583,596,613,628,644,668,693,709,723,740,758,773,782,803,819,835,835,842,842,854,871,886,902,920,936,952,963,963,968,980,989,1001,1015,1031,1046,1063,1074,1087,1102,1113,1134,1147,1158,1169,1179,1191,1201,1216,1236,1248,1266,1280,1293,1308,1319,1334,1351,1364,1379
4,3,13,27,44,47,58,72,82,90,112,124,145,168,181,197,209,218,233,252,268,283,300,314,334,346,358,366,374,391,407,421,439,457,474,489,511,532,546,566,582,600,618,637,649,662,682,696,709,723,737,754,773,789,807,822,838,854,864,880,897,906,920,927,941,952,974,993,1008,1015,1029,1049,1062,1075,1095,1118,1130,1145,1156,1174,1190,1211,1230,1247,1269,1284,1300,1316,1337,1349,1364,1379,1394,1421,1438,1457,1470,1486,1498,1513,1525
5,6,18,34,56,73,86,104,117,135,149,163,185,206,228,228,241,251,266,279,296,309,316,328,336,350,361,376,389,402,421,442,458,471,486,502,526,543,552,565,579,595,610,629,641,660,671,686,699,728,743,761,787,807,830,844,862,874,883,892,905,922,936,948,967,983,998,1013,1024,1043,1064,1088,1102,1118,1138,1153,1173,1191,1207,1224,1244,1264,1273,1285,1301,1312,1325,1340,1356,1372,1384,1402,1424,1440,1455,1471,1488,1501,1511,1530,1545
6,5,14,29,46,59,71,86,103,119,137,154,174,188,201,215,235,255,277,291,310,326,339,358,376,386,393,414,424,438,452,464,477,491,505,519,539,553,566,581,597,612,621,641,654,672,683,690,707,719,733,746,762,777,790,803,815,824,843,855,868,883,907,918,929,955,971,988,1001,1019,1033,1047,1060,1069,1087,1104,1111,1126,1140,1155,1168,1181,1197,1213,1231,1258,1269,1285,1300,1317,1331,1351,1362,1379,1395,1411,1429,1445,1461,1476,1488
7,5,17,32,42,55,66,90,106,123,134,152,166,177,196,210,222,242,258,271,277,289,302,318,327,339,339,342,360,374,391,406,421,429,440,451,457,471,487,504,530,548,569,582,599,612,628,640,653,670,684,697,708,721,730,743,755,773,781,789,803,820,832,857,866,875,885,897,912,929,944,960,974,989,1007,1023,1039,1047,1060,1071,1092,1112,1127,1138,1155,1172,1183,1201,1214,1223,1229,1236,1236,1245,1255,1263,1276,1298,1314,1330,1343
8,8,21,40,52,67,83,89,107,120,134,153,168,181,193,210,223,233,245,257,279,296,308,322,335,350,364,380,395,410,421,435,447,464,482,495,511,524,538,550,563,575,588,600,615,632,644,664,681,695,711,728,748,762,782,794,814,832,849,861,876,893,908,919,939,954,965,976,990,1004,1019,1040,1061,1079,1087,1099,1114,1126,1148,1162,1175,1191,1204,1220,1240,1260,1280,1300,1310,1327,1342,1357,1376,1384,1400,1404,1418,1436,1453,1469,1480
9,8,23,40,51,68,86,96,111,132,153,169,178,193,212,225,240,258,272,281,289,307,318,326,337,356,372,383,399,411,422,434,443,463,478,497,511,523,537,546,555,575,587,609,627,642,655,669,684,698,712,729,729,748,768,781,794,812,824,839,853,859,874,896,918,935,960,968,978,988,999,1007,1018,1026,1036,1044,1054,1060,1069,1079,1086,1098,1110,1122,1127,1131,1146,1156,1167,1181,1192,1208,1223,1239,1252,1265,1275,1286,1304,1320,1338
10,9,18,25,42,58,71,94,108,127,149,161,176,185,198,198,206,216,221,232,238,262,281,298,316,330,346,361,377,394,413,427,434,448,465,483,498,518,537,547,566,582,597,615,639,657,673,691,711,728,749,763,773,783,799,811,820,837,852,871,876,894,908,924,934,953,964,980,995,1012,1028,1050,1067,1081,1101,1122,1137,1153,1163,1180,1195,1215,1234,1249,1258,1269,1286,1297,1316,1329,1341,1357,1366,1380,1387,1391,1403,1423,1438,1456,1471
11,5,22,30,31,44,51,64,76,96,111,123,136,153,166,178,201,215,228,242,256,267,286,299,308,315,328,344,357,369,378,390,406,422,433,443,455,470,483,500,517,529,539,548,557,571,588,595,610,624,624,635,651,667,687,700,711,727,738,755,773,785,804,818,834,853,861,873,896,910,915,925,937,947,957,966,979,989,1003,1021,1035,1047,1061,1076,1076,1080,1084,1085,1092,1108,1125,1144,1162,1176,1191,1213,1225,1236,1253,1267,1281
12,5,14,30,42,45,63,90,103,109,125,141,155,169,183,203,222,238,255,271,284,299,305,316,323,340,356,367,381,394,402,414,425,439,456,477,497,516,534,551,551,560,577,599,614,626,642,657,668,680,692,705,718,736,743,753,767,775,792,812,822,833,846,855,873,886,899,912,925,937,953,972,986,1002,1011,1026,1039,1050,1067,1075,1094,1103,1122,1122,1131,1134,1143,1162,1174,1185,1202,1209,1217,1231,1241,1263,1284,1298,1309,1321,1334
13,5,18,27,46,56,76,93,108,118,127,143,156,175,191,212,226,245,261,276,291,309,322,333,345,351,358,366,377,387,397,412,424,440,440,452,468,480,498,514,514,520,528,539,546,560,575,591,613,623,633,649,665,681,695,712,722,734,746,764,783,801,816,832,847,862,874,890,908,921,931,941,955,972,985,997,1020,1035,1056,1074,1087,1102,1116,1134,1156,1168,1181,1198,1210,1218,1234,1245,1262,1280,1296,1314,1328,1349,1362,1372,1389
14,7,26,40,61,78,91,110,128,142,162,181,195,210,226,236,246,259,270,281,306,316,326,343,354,367,378,391,404,425,436,446,459,472,486,501,514,530,544,557,574,590,606,616,633,649,662,683,699,711,733,752,762,776,795,810,823,838,857,869,883,899,914,930,943,956,971,984,996,1006,1029,1042,1056,1068,1080,1095,1103,1118,1137,1149,1170,1187,1199,1218,1237,1253,1271,1293,1293,1302,1316,1333,1354,1367,1380,1389,1404,1414,1424,1440,1453
15,6,16,22,28,46,56,75,91,110,126,148,163,179,194,208,228,248,270,287,304,317,335,351,369,383,397,416,434,451,463,473,493,507,530,548,562,582,600,615,631,644,659,674,697,715,735,750,766,779,797,819,836,846,862,880,894,906,923,940,958,973,992,1005,1021,1036,1050,1064,1076,1093,1111,1127,1142,1154,1170,1187,1197,1212,1226,1239,1250,1268,1283,1298,1314,1331,1349,1365,1385,1397,1412,1423,1436,1458,1468,1481,1492,1506,1520,1533,1543
16,4,12,30,47,61,75,86,86,98,108,123,132,140,151,166,171,182,190,204,219,234,252,268,287,304,313,324,348,368,385,397,412,429,443,459,470,487,495,495,499,502,520,525,528,547,562,567,579,597,612,632,654,667,683,699,714,730,747,757,766,787,804,822,836,851,866,880,897,921,935,946,961,973,989,1004,1019,1033,1047,1055,1064,1073,1084,1096,1117,1129,1144,1161,1183,1194,1215,1233,1243,1254,1265,1281,1296,1314,1333,1339,1348
17,4,17,25,39,43,49,52,57,71,90,108,123,142,160,181,199,214,225,235,248,272,285,297,312,330,348,371,390,397,413,423,432,448,465,480,494,503,525,540,559,575,593,606,618,632,644,663,679,696,718,733,751,771,784,804,815,829,845,851,864,881,892,903,915,923,937,944,955,972,997,1020,1039,1048,1056,1069,1083,1098,1098,1106,1115,1129,1144,1170,1193,1210,1224,1237,1258,1275,1294,1294,1297,1307,1317,1329,1339,1353,1363,1374,1381
18,4,9,27,36,52,62,75,84,94,100,105,113,119,130,143,154,168,180,193,205,221,235,246,246,252,264,275,283,292,310,319,338,352,369,385,410,427,450,466,482,497,513,531,539,552,565,573,585,608,620,634,650,663,675,688,699,708,713,726,741,759,771,784,784,796,810,825,846,862,884,903,927,936,941,953,966,984,1011,1024,1035,1053,1063,1073,1096,1111,1130,1142,1162,1180,1201,1222,1232,1251,1267,1282,1298,1315,1330,1342,1358
19,5,20,32,44,51,65,78,85,103,114,130,130,137,148,158,167,179,193,204,213,219,225,229,242,256,271,290,304,318,331,346,360,372,384,401,417,427,436,454,470,478,496,508,518,536,549,565,580,595,606,617,629,646,661,675,683,700,712,729,743,759,766,775,789,808,821,834,834,836,837,850,866,875,892,908,922,935,953,969,987,1005,1018,1037,1055,1070,1077,1087,1101,1114,1120,1126,1143,1153,1174,1191,1202,1217,1227,1238,1256
20,6,11,26,44,58,73,85,101,117,137,151,151,160,165,183,197,208,224,240,261,272,289,308,318,335,354,367,392,406,418,437,453,465,483,498,520,541,559,576,576,584,598,612,620,628,642,658,674,684,694,704,712,721,728,738,746,754,764,774,783,793,800,812,824,836,844,859,870,879,893,903,914,929,942,953,968,988,1000,1016,1026,1048,1061,1073,1091,1101,1119,1138,1155,1170,1185,1207,1219,1230,1247,1271,1290,1306,1319,1331,1342
21,3,13,23,37,50,62,79,89,105,126,144,144,159,164,177,192,214,228,240,256,265,275,283,298,312,321,338,355,355,360,371,377,386,398,408,419,438,451,467,484,498,515,529,546,562,580,598,598,601,613,623,638,650,671,685,702,716,737,752,766,783,798,809,822,840,857,878,889,905,921,934,948,960,971,988,1014,1031,1047,1066,1085,1103,1115,1119,1128,1140,1155,1168,1182,1197,1210,1226,1237,1254,1270,1284,1300,1318,1338,1352,1370
22,4,11,19,32,41,51,68,80,93,108,129,146,162,162,176,188,195,201,213,222,240,254,269,283,293,306,327,342,357,369,386,396,415,435,457,457,466,472,485,501,520,536,554,571,588,602,619,638,653,670,690,710,719,729,744,755,764,780,795,811,834,850,864,883,897,909,916,929,938,955,969,979,992,1005,1018,1041,1057,1073,1093,1107,1119,1136,1151,1174,1190,1205,1224,1247,1265,1273,1290,1314,1328,1344,1344,1348,1357,1376,1387,1407
23,5,12,26,26,29,41,58,75,86,103,119,136,151,168,184,194,212,230,230,243,266,282,292,292,299,314,326,340,356,373,389,406,413,425,441,457,472,481,492,508,517,530,541,553,563,576,587,606,614,625,639,656,673,686,702,721,730,744,763,781,794,810,823,845,865,880,893,906,918,934,944,962,982,1002,1014,1030,1043,1051,1063,1078,1084,1099,1106,1122,1136,1156,1174,1186,1201,1219,1233,1251,1265,1283,1295,1312,1321,1336,1353,1365
24,6,27,51,69,83,96,104,119,134,151,172,172,193,208,225,236,260,278,294,309,325,334,348,363,382,395,410,419,422,432,432,436,453,468,486,500,513,526,541,559,573,591,602,624,641,652,668,688,697,706,727,743,759,772,772,774,785,799,810,824,841,852,868,885,905,915,928,935,943,958,965,978,988,1000,1012,1024,1037,1051,1059,1076,1088,1104,1127,1139,1148,1167,1180,1187,1193,1210,1222,1241,1258,1267,1284,1298,1310,1327,1340,1351
25,5,13,34,46,67,77,95,111,127,141,159,172,189,201,201,206,220,231,249,262,272,292,309,321,341,351,375,389,405,423,423,434,449,467,478,496,511,521,531,531,536,547,560,570,583,593,614,629,641,654,677,694,706,721,721,731,742,751,760,775,794,810,822,833,843,857,872,888,905,914,930,941,954,966,981,993,1012,1030,1040,1058,1063,1074,1084,1090,1109,1114,1124,1134,1143,1155,1162,1180,1188,1202,1213,1226,1238,1255,1271,1287
26,5,17,35,48,64,80,95,105,120,132,150,160,180,189,198,218,231,247,265,280,299,316,340,354,363,384,401,408,418,438,444,456,464,486,486,493,502,513,528,543,557,571,584,605,622,639,655,665,681,706,722,722,727,730,747,752,771,785,801,817,831,853,871,890,909,927,951,966,984,997,1015,1038,1049,1066,1082,1108,1125,1140,1153,1160,1174,1177,1192,1207,1224,1224,1239,1252,1271,1286,1306,1320,1332,1348,1366,1384,1403,1414,1422,1435
27,5,12,15,20,33,43,57,68,74,88,103,110,122,129,139,148,161,169,179,193,204,214,227,239,254,273,290,302,313,328,339,362,376,391,400,413,428,434,444,458,473,482,488,494,501,511,522,533,545,556,562,568,575,578,592,604,618,618,621,633,641,656,665,674,687,708,719,733,749,761,775,790,805,816,827,835,848,858,875,892,910,924,935,954,971,987,1007,1026,1047,1063,1084,1101,1118,1135,1149,1169,1184,1194,1203,1207
