,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9,11,12,34,101,195,287,376,391,411,439,492,553,606,677,701,731,785,836,851,894,964,1028,1114,1117,1123,1129,1167,1226,1252,1274,1302,1305,1305,1305,1305,1305,1308,1313,1335,1349,1385,1437,1447,1479,1516,1556,1576,1577,1584,1587,1602,1624,1642,1648,1659,1670,1695,1725,1797,1826,1881,1962,2048,2132,2150,2205,2274,2345,2440,2485,2534,2593,2620,2647,2659,2698,2750,2767,2784,2790,2806,2824,2869,2894,2929,2985,3009,3032,3082,3141,3146,3181,3246,3278,3321,3366,3428,3493,3494
1,7,8,34,48,94,94,130,196,268,268,290,293,294,305,339,364,376,377,377,378,379,379,379,379,398,405,452,510,569,623,629,679,751,827,898,952,1018,1082,1162,1246,1326,1368,1427,1504,1595,1678,1751,1798,1845,1944,2035,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2137,2145,2151,2159,2169,2185,2224,2249,2270,2318,2370,2411,2428,2434,2454,2463,2487,2559,2637,2722,2756,2775,2794,2867,2951,2971,2990,3009,3043,3049,3063,3084,3100,3120,3125,3155,3185,3241
2,8,29,38,88,104,124,142,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,205,206,208,214,227,254,274,321,362,418,428,465,525,592,667,728,775,865,960,1057,1082,1107,1140,1199,1235,1297,1363,1429,1473,1494,1534,1571,1616,1640,1685,1728,1749,1765,1814,1879,1901,1917,1925,1938,1959,1977,2013,2035,2061,2100,2154,2223,2269,2328,2350,2376,2425,2498,2583,2640,2711,2740,2797,2880,2974,3069,3135,3207,3287,3313,3330,3350,3403,3457,3507,3535,3599
3,7,13,47,84,84,84,84,84,84,97,109,119,122,122,126,132,151,206,278,285,297,317,322,322,370,427,427,438,499,522,537,551,565,582,593,620,642,644,645,645,649,649,654,662,669,686,697,724,776,851,899,969,974,974,1040,1101,1134,1143,1143,1148,1163,1164,1165,1171,1182,1202,1213,1226,1232,1247,1259,1288,1296,1304,1312,1326,1336,1340,1345,1354,1383,1394,1415,1441,1474,1515,1539,1546,1569,1604,1631,1708,1800,1838,1898,1946,2010,2090,2168,2221
4,7,11,40,49,74,91,100,102,102,102,105,106,106,124,126,136,138,153,162,162,162,162,166,166,166,168,176,178,210,241,300,392,405,445,496,536,613,628,643,658,658,696,717,731,734,737,741,741,741,741,741,741,741,749,760,775,793,823,872,922,979,1016,1043,1060,1065,1099,1111,1177,1223,1276,1343,1378,1422,1437,1463,1506,1514,1515,1515,1517,1521,1524,1533,1539,1547,1553,1555,1565,1586,1619,1638,1665,1682,1721,1795,1888,1944,2023,2057,2086
5,7,10,11,33,63,70,73,78,95,131,148,168,241,311,393,476,556,604,678,713,786,875,912,963,1029,1033,1042,1073,1127,1138,1175,1212,1258,1323,1409,1467,1512,1561,1571,1591,1607,1629,1642,1654,1664,1689,1769,1828,1886,1966,2059,2144,2184,2243,2298,2332,2340,2366,2432,2507,2535,2613,2705,2796,2813,2851,2867,2878,2890,2892,2902,2910,2927,2942,2958,2972,2974,2977,2985,3004,3056,3079,3124,3124,3132,3138,3138,3138,3138,3140,3140,3141,3142,3181,3228,3236,3255,3281,3282,3293
6,7,12,17,18,20,29,47,104,194,194,194,194,195,196,222,260,328,363,438,495,495,510,514,524,532,541,545,582,613,630,685,755,817,855,908,942,962,1021,1049,1075,1087,1102,1121,1153,1179,1202,1255,1353,1446,1479,1534,1605,1673,1739,1830,1928,1928,1930,1931,1938,1941,1942,1942,1962,1971,1991,2044,2076,2129,2176,2227,2234,2239,2319,2344,2384,2414,2440,2459,2469,2486,2510,2548,2613,2692,2730,2741,2764,2774,2785,2793,2796,2824,2850,2884,2946,2959,3004,3078,3172
7,6,37,52,87,103,106,122,139,190,222,286,347,377,429,434,510,540,588,667,728,760,770,787,806,835,835,835,835,835,835,835,835,835,835,835,835,845,857,886,926,976,1008,1054,1088,1139,1210,1295,1385,1422,1449,1508,1530,1530,1535,1553,1556,1556,1558,1559,1559,1559,1559,1559,1562,1564,1564,1564,1564,1565,1566,1566,1593,1668,1753,1841,1892,1985,2012,2033,2059,2075,2084,2095,2100,2115,2126,2130,2137,2142,2142,2142,2142,2142,2142,2142,2142,2142,2146,2150,2150
8,7,12,55,101,103,120,145,220,298,350,439,506,589,667,682,719,770,844,923,1005,1064,1125,1157,1191,1206,1230,1230,1232,1282,1343,1361,1397,1475,1524,1585,1636,1690,1758,1838,1901,1974,2052,2121,2172,2238,2278,2306,2373,2395,2413,2450,2470,2525,2605,2614,2623,2630,2636,2644,2673,2696,2733,2779,2856,2890,2904,2906,2913,2917,2945,2977,3006,3020,3037,3062,3103,3153,3175,3213,3270,3302,3343,3390,3453,3530,3607,3684,3765,3837,3872,3909,3931,3931,3931,3931,3931,3942,3959,3960,3966
9,8,27,51,118,200,200,202,202,206,206,244,265,315,353,355,362,411,481,527,571,646,662,675,698,698,698,698,698,698,698,708,738,764,807,872,957,1052,1089,1187,1265,1323,1371,1444,1456,1464,1476,1483,1490,1496,1503,1511,1532,1581,1627,1644,1655,1659,1679,1700,1755,1843,1894,1916,1966,1984,2012,2021,2031,2050,2080,2095,2107,2118,2170,2181,2200,2249,2309,2361,2438,2508,2564,2620,2632,2652,2684,2722,2749,2772,2830,2868,2883,2917,2960,3033,3077,3079,3086,3093,3098
