,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,6,33,43,65,65,136,157,171,233,250,259,272,314,360,360,363,405,502,584,646,708,754,829,926,1026,1126,1225,1324,1420,1456,1521,1582,1585,1594,1618,1636,1683,1756,1840,1924,2014,2110,2203,2303,2315,2359,2447,2542,2637,2732,2818,2876,2941,3015,3080,3135,3176,3223,3223,3235,3249,3261,3288,3358,3446,3504,3573,3623,3682,3745,3804,3870,3924,3996,4067,4135,4159,4234,4297,4364,4440,4459,4529,4604,4649,4710,4747,4813,4832,4865,4925,4987,5056,5113,5135,5198,5264,5339,5418,5459
1,5,9,23,30,109,162,237,321,407,433,487,512,576,633,684,721,726,759,809,818,862,931,1002,1023,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1070,1078,1096,1121,1179,1253,1326,1417,1464,1538,1611,1656,1673,1710,1776,1795,1825,1863,1922,1959,1999,2004,2010,2052,2100,2139,2184,2240,2293,2347,2410,2448,2484,2514,2518,2527,2564,2587,2647,2712,2764,2804,2868,2913,2979,3051,3058,3071,3110,3184,3265,3274,3322,3354,3377,3430,3472,3542,3632,3726,3817,3865,3866
2,6,11,18,22,71,94,94,103,115,198,244,337,370,394,457,543,602,633,688,722,795,830,830,830,830,834,862,878,878,891,895,941,959,1045,1142,1236,1329,1408,1487,1544,1555,1569,1606,1653,1715,1743,1822,1897,1950,2000,2066,2130,2187,2275,2368,2446,2475,2509,2556,2631,2718,2807,2848,2903,2964,3043,3112,3159,3231,3284,3288,3299,3306,3318,3358,3383,3427,3481,3540,3590,3651,3706,3742,3823,3904,3986,4064,4091,4130,4175,4195,4209,4229,4246,4263,4289,4306,4313,4367,4432
3,6,8,11,60,124,140,182,248,329,391,408,462,467,488,543,600,671,735,827,909,998,1000,1015,1066,1153,1230,1305,1349,1387,1429,1495,1515,1571,1613,1698,1791,1879,1971,2021,2028,2032,2045,2058,2079,2144,2157,2194,2231,2280,2327,2418,2474,2535,2603,2653,2679,2705,2738,2753,2798,2870,2898,2979,3035,3087,3134,3181,3196,3220,3260,3292,3303,3339,3365,3371,3409,3456,3514,3545,3575,3625,3672,3732,3760,3814,3829,3848,3851,3891,3941,3987,4032,4050,4085,4162,4182,4186,4228,4288,4361
4,8,11,31,98,174,201,201,203,211,224,292,385,416,490,583,659,695,730,772,798,862,884,904,944,989,1062,1088,1111,1129,1149,1178,1196,1267,1337,1352,1366,1387,1456,1544,1544,1595,1667,1681,1700,1768,1850,1934,1974,2055,2122,2179,2238,2274,2328,2371,2449,2511,2592,2626,2655,2712,2789,2811,2852,2927,3015,3098,3162,3203,3277,3342,3400,3431,3503,3564,3613,3685,3758,3840,3860,3877,3898,3917,4007,4101,4193,4284,4351,4400,4410,4413,4446,4507,4517,4528,4556,4595,4628,4663,4706
5,8,34,50,137,231,310,388,396,407,453,493,542,610,672,735,786,787,791,817,870,875,918,954,965,1013,1087,1161,1232,1321,1415,1505,1568,1613,1643,1676,1730,1755,1812,1869,1919,1984,1990,2016,2101,2200,2299,2394,2446,2538,2547,2577,2647,2695,2766,2817,2835,2876,2906,2943,3024,3106,3175,3243,3292,3374,3387,3419,3464,3511,3570,3637,3683,3754,3836,3905,3963,4045,4115,4188,4221,4248,4311,4356,4424,4456,4475,4497,4521,4544,4587,4657,4734,4755,4784,4825,4840,4886,4927,4989,5023
6,6,35,116,117,117,120,125,141,173,191,192,199,208,232,284,360,436,473,518,525,553,621,686,764,847,935,1013,1092,1168,1221,1287,1359,1397,1459,1460,1462,1468,1486,1541,1623,1706,1794,1860,1936,2026,2034,2073,2147,2216,2278,2351,2402,2487,2576,2586,2602,2654,2701,2747,2801,2824,2832,2859,2897,2941,3013,3097,3169,3245,3252,3296,3379,3454,3490,3546,3620,3700,3757,3791,3871,3957,4022,4077,4145,4215,4275,4290,4334,4383,4456,4540,4611,4677,4755,4825,4842,4872,4919,4919,4936
7,6,54,66,66,68,68,109,183,233,263,295,354,387,446,468,532,547,586,602,650,682,719,748,831,925,925,925,925,925,925,925,925,925,925,925,936,978,991,1027,1030,1054,1074,1134,1204,1254,1264,1309,1374,1442,1469,1513,1567,1637,1715,1771,1816,1875,1956,1986,2027,2035,2054,2106,2152,2195,2212,2264,2351,2442,2470,2501,2579,2676,2758,2837,2868,2908,2983,3003,3058,3135,3202,3208,3247,3302,3314,3325,3335,3349,3376,3390,3403,3405,3433,3463,3517,3576,3645,3705,3727
8,8,41,106,168,268,285,328,383,401,450,518,555,625,693,766,852,935,1005,1005,1005,1033,1069,1081,1111,1139,1158,1182,1243,1282,1303,1320,1363,1399,1445,1519,1580,1600,1669,1742,1788,1847,1925,1999,2086,2181,2193,2224,2247,2307,2403,2424,2477,2571,2571,2582,2582,2582,2582,2582,2606,2612,2612,2621,2623,2627,2630,2634,2638,2707,2798,2886,2919,2937,2979,3068,3068,3069,3091,3135,3158,3181,3224,3275,3312,3314,3319,3379,3449,3517,3546,3616,3708,3797,3891,3981,3981,3982,3982,3982,4044
9,7,22,30,30,31,76,135,183,261,334,405,422,439,510,600,607,634,722,769,863,888,924,998,998,1012,1089,1125,1182,1266,1359,1425,1500,1568,1628,1654,1724,1766,1820,1879,1950,2001,2077,2136,2169,2184,2191,2211,2268,2337,2372,2425,2492,2551,2616,2700,2744,2778,2810,2834,2854,2889,2899,2921,2931,2934,2938,2944,2956,2968,3001,3023,3087,3146,3195,3200,3210,3243,3311,3339,3407,3483,3566,3647,3742,3753,3759,3772,3804,3863,3871,3894,3952,4010,4074,4076,4094,4132,4189,4247,4306
