,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,12,40,62,91,115,142,171,195,213,240,263,280,298,332,375,404,432,485,518,554,582,620,657,693,733,733,743,764,783,808,846,881,929,959,975,992,1012,1041,1071,1097,1125,1151,1206,1246,1270,1297,1323,1340,1368,1395,1412,1436,1455,1479,1501,1529,1559,1584,1609,1643,1665,1680,1703,1717,1741,1766,1796,1825,1845,1869,1895,1917,1935,1966,1986,2008,2025,2059,2093,2119,2149,2162,2175,2197,2215,2240,2267,2290,2317,2342,2362,2390,2422,2442,2465,2494,2509,2538,2559,2575
1,11,35,49,74,102,126,157,190,207,233,255,291,323,342,359,387,413,439,461,479,507,528,553,564,595,641,676,709,729,789,819,848,876,898,915,933,956,987,988,1009,1039,1069,1093,1117,1149,1172,1191,1221,1247,1268,1284,1303,1321,1344,1374,1400,1423,1446,1479,1492,1521,1545,1567,1592,1624,1652,1676,1739,1773,1804,1826,1866,1890,1942,1975,2012,2047,2075,2095,2157,2188,2255,2283,2307,2340,2366,2394,2418,2431,2453,2472,2500,2526,2554,2579,2611,2635,2666,2693,2727
2,10,43,70,103,151,157,175,195,241,249,269,292,311,335,363,400,428,446,478,496,515,536,560,585,655,687,711,741,770,798,822,848,866,897,921,983,1014,1046,1122,1156,1197,1222,1229,1254,1285,1323,1356,1397,1442,1476,1515,1538,1573,1595,1614,1640,1649,1664,1682,1706,1726,1744,1765,1790,1809,1837,1865,1881,1911,1935,1961,1990,2017,2041,2063,2082,2181,2205,2224,2245,2326,2352,2380,2399,2427,2453,2488,2516,2547,2570,2601,2627,2657,2690,2719,2780,2804,2824,2855,2888
3,12,48,80,162,196,230,270,364,430,462,493,513,531,563,593,623,649,670,702,732,767,804,843,872,903,931,954,968,989,1008,1022,1047,1075,1121,1148,1181,1218,1250,1281,1321,1350,1382,1412,1431,1459,1484,1507,1537,1552,1573,1599,1630,1664,1691,1709,1734,1764,1792,1815,1851,1935,1958,1983,2010,2020,2041,2070,2090,2113,2134,2153,2174,2193,2209,2224,2247,2265,2291,2302,2329,2350,2379,2397,2415,2439,2454,2475,2503,2526,2547,2565,2584,2605,2624,2646,2673,2701,2725,2750,2766
4,8,40,68,131,173,265,299,330,347,375,404,436,471,517,547,580,603,638,670,708,758,788,814,845,878,908,936,960,989,992,1009,1022,1044,1065,1088,1106,1132,1160,1206,1234,1255,1286,1306,1337,1396,1427,1449,1532,1568,1586,1612,1641,1670,1696,1726,1754,1787,1817,1844,1935,1957,1980,2001,2038,2067,2103,2150,2182,2212,2245,2275,2312,2325,2331,2354,2373,2390,2409,2436,2463,2479,2503,2528,2617,2641,2670,2706,2725,2745,2773,2796,2822,2823,2841,2865,2891,2915,2947,2954,2970
5,6,35,68,95,122,215,251,286,306,330,395,416,439,451,475,497,531,554,567,586,610,634,702,729,752,791,818,847,861,880,901,931,949,972,1044,1062,1091,1123,1156,1184,1202,1223,1258,1285,1311,1341,1366,1389,1407,1432,1447,1470,1493,1519,1554,1592,1626,1643,1671,1692,1725,1751,1777,1803,1816,1827,1850,1874,1905,1931,1965,1991,2015,2039,2067,2095,2125,2146,2173,2196,2216,2238,2255,2318,2346,2421,2445,2466,2486,2504,2542,2566,2596,2631,2642,2657,2681,2708,2736,2759
6,16,43,76,102,133,154,170,200,228,259,285,308,327,343,359,386,406,432,452,489,510,546,594,600,608,635,662,691,720,748,779,801,826,845,870,882,905,926,950,979,997,1030,1049,1080,1105,1156,1183,1232,1259,1285,1322,1353,1377,1398,1425,1445,1468,1499,1515,1538,1565,1583,1604,1642,1668,1692,1713,1747,1779,1800,1810,1829,1841,1855,1885,1961,1984,1992,2007,2038,2060,2080,2103,2129,2201,2230,2260,2310,2340,2353,2373,2445,2472,2496,2515,2516,2534,2556,2608,2634
7,8,40,71,96,115,141,154,157,186,218,276,303,335,350,369,396,409,429,462,488,521,549,567,597,614,640,667,686,710,718,740,754,777,820,846,882,910,959,985,1028,1057,1088,1108,1182,1211,1228,1256,1283,1304,1330,1364,1389,1413,1474,1494,1543,1575,1602,1635,1644,1657,1688,1716,1745,1817,1849,1876,1902,1928,1954,1982,2006,2035,2057,2086,2121,2147,2179,2206,2230,2261,2286,2312,2334,2350,2368,2395,2410,2424,2448,2461,2481,2495,2523,2564,2630,2664,2702,2737,2768
8,11,47,76,102,132,190,223,239,242,267,291,330,364,393,420,451,488,576,609,635,663,693,715,738,764,789,824,849,871,904,925,952,982,1019,1031,1052,1086,1104,1132,1160,1185,1216,1245,1270,1295,1309,1320,1348,1348,1361,1390,1421,1447,1472,1494,1523,1544,1571,1601,1622,1642,1678,1679,1682,1691,1715,1754,1839,1870,1895,1918,1949,1970,1993,2027,2053,2082,2153,2189,2212,2240,2268,2287,2299,2323,2345,2370,2383,2409,2436,2458,2475,2498,2534,2557,2592,2592,2606,2636,2659
9,8,38,77,105,141,165,194,218,245,273,290,321,342,370,389,428,458,468,482,503,525,549,573,600,620,641,660,683,706,743,768,797,821,853,871,890,916,944,968,982,1003,1026,1047,1071,1105,1131,1160,1180,1203,1221,1239,1258,1272,1299,1308,1324,1355,1374,1398,1422,1448,1456,1473,1495,1519,1550,1587,1606,1630,1650,1677,1699,1720,1747,1809,1844,1871,1885,1909,1940,1970,1999,2018,2045,2076,2100,2126,2156,2185,2214,2239,2263,2286,2318,2330,2343,2352,2368,2389,2410
10,9,36,62,89,122,163,190,217,243,277,310,337,342,356,395,433,468,504,541,574,608,637,666,688,707,740,772,802,824,857,934,968,991,1018,1018,1041,1111,1136,1169,1198,1223,1251,1292,1325,1344,1344,1362,1376,1404,1435,1441,1464,1489,1515,1537,1558,1580,1601,1615,1629,1654,1670,1692,1722,1751,1751,1756,1775,1790,1820,1838,1867,1891,1914,1941,1945,1961,2054,2082,2098,2121,2123,2144,2162,2187,2210,2229,2248,2328,2350,2373,2405,2439,2465,2492,2514,2542,2574,2595,2620
11,11,40,63,99,131,159,189,215,232,257,260,276,300,317,335,361,438,459,481,482,507,535,573,602,699,725,751,762,788,822,844,848,879,910,951,975,1009,1029,1093,1114,1147,1161,1181,1211,1233,1248,1271,1284,1319,1345,1378,1410,1443,1468,1499,1506,1517,1538,1549,1564,1584,1606,1631,1659,1686,1697,1720,1732,1751,1766,1792,1816,1846,1867,1885,1927,1945,1972,1995,2015,2029,2106,2137,2160,2184,2215,2247,2284,2367,2367,2403,2423,2457,2489,2512,2545,2578,2599,2622,2659
12,11,37,74,97,118,201,226,245,276,306,317,332,355,378,385,399,425,448,531,557,589,623,648,682,709,730,757,793,822,845,869,889,909,939,955,960,960,971,1001,1030,1054,1072,1087,1113,1140,1161,1223,1272,1302,1323,1354,1428,1458,1481,1495,1519,1546,1576,1650,1676,1758,1785,1811,1836,1862,1889,1919,1941,1958,1992,2022,2039,2068,2092,2117,2136,2209,2242,2274,2309,2347,2371,2398,2424,2444,2470,2487,2521,2538,2555,2580,2586,2599,2622,2641,2664,2693,2710,2732,2760
13,6,27,58,85,106,134,157,184,212,239,267,290,309,339,361,387,410,438,455,482,514,547,576,603,611,635,665,691,713,743,771,802,829,862,886,903,929,948,982,1001,1020,1050,1077,1097,1127,1149,1176,1194,1215,1238,1267,1290,1316,1335,1353,1373,1385,1411,1431,1456,1478,1501,1525,1559,1586,1603,1623,1646,1677,1704,1729,1729,1740,1770,1799,1832,1859,1939,1969,1997,2024,2098,2118,2147,2164,2189,2217,2238,2265,2312,2336,2368,2394,2414,2440,2465,2477,2504,2523,2549
14,10,12,34,59,85,111,138,170,204,210,223,233,244,269,295,315,328,356,384,411,499,539,580,611,649,649,663,686,705,738,760,790,825,848,877,904,936,960,1039,1075,1111,1143,1177,1208,1236,1256,1290,1319,1342,1343,1357,1426,1443,1473,1498,1511,1540,1540,1559,1577,1596,1644,1668,1695,1718,1735,1755,1774,1793,1806,1821,1844,1861,1886,1906,1906,1938,1954,1980,2002,2019,2045,2073,2097,2121,2151,2181,2204,2230,2259,2280,2306,2341,2368,2393,2443,2482,2512,2533,2567
15,7,35,67,102,133,161,188,220,245,278,285,306,341,378,410,440,470,494,583,619,697,764,803,838,873,897,922,947,975,996,1022,1050,1076,1101,1113,1119,1134,1156,1188,1216,1242,1259,1298,1336,1371,1406,1433,1453,1518,1551,1587,1613,1658,1687,1710,1738,1780,1810,1873,1903,1931,1956,1973,1998,2034,2064,2099,2116,2129,2140,2195,2226,2255,2281,2310,2338,2352,2371,2433,2457,2482,2503,2578,2578,2594,2661,2670,2684,2703,2720,2744,2763,2790,2824,2845,2871,2893,2916,2944,2976
16,14,44,74,100,124,152,180,204,228,259,286,314,347,362,422,446,469,471,478,495,514,539,560,603,627,648,675,704,732,760,789,804,879,896,929,956,981,1014,1038,1061,1089,1118,1149,1175,1200,1216,1245,1276,1310,1333,1366,1394,1396,1432,1469,1490,1496,1512,1536,1563,1585,1614,1630,1655,1679,1689,1714,1739,1756,1785,1813,1840,1863,1886,1949,1980,2011,2088,2127,2191,2218,2247,2308,2336,2338,2379,2406,2432,2452,2479,2499,2523,2546,2569,2594,2618,2644,2672,2698,2727
17,8,38,64,80,107,135,136,159,175,190,228,254,278,309,343,367,394,428,454,484,515,536,568,599,615,638,659,753,773,811,861,904,932,959,981,1011,1039,1067,1106,1136,1166,1182,1208,1230,1254,1282,1310,1358,1375,1399,1417,1418,1439,1466,1495,1521,1570,1596,1618,1638,1655,1684,1712,1724,1745,1763,1792,1818,1861,1885,1916,1916,1936,1947,1969,1981,2004,2028,2057,2088,2121,2142,2167,2195,2216,2243,2270,2290,2314,2342,2364,2384,2389,2404,2434,2459,2484,2531,2534,2548
18,8,37,67,136,167,194,224,252,281,306,326,355,386,421,446,466,484,526,603,634,659,683,711,734,760,779,828,855,888,919,944,971,999,1045,1072,1104,1128,1154,1174,1206,1230,1253,1253,1269,1296,1353,1386,1429,1451,1476,1514,1546,1575,1609,1634,1657,1664,1680,1700,1767,1788,1803,1822,1849,1880,1901,1927,1992,2015,2042,2072,2099,2123,2143,2152,2168,2205,2239,2258,2284,2319,2362,2399,2428,2457,2476,2483,2491,2512,2528,2546,2565,2589,2608,2635,2659,2685,2709,2722,2727
19,11,79,108,141,176,204,232,253,276,301,327,348,377,399,429,483,502,518,525,548,577,604,630,656,680,707,736,756,791,823,851,879,905,934,954,975,998,1022,1044,1068,1084,1107,1119,1142,1174,1207,1243,1255,1271,1279,1303,1322,1338,1365,1379,1401,1443,1471,1498,1526,1551,1583,1605,1624,1645,1662,1679,1706,1721,1729,1745,1766,1794,1813,1817,1824,1855,1874,1898,1930,1964,1989,2023,2050,2069,2085,2102,2124,2154,2185,2208,2274,2300,2325,2353,2380,2407,2439,2472,2498
