,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,12,40,57,98,125,209,239,265,290,337,369,393,408,441,471,502,525,552,583,585,617,690,721,744,772,785,808,815,839,862,880,908,939,961,986,1007,1036,1136,1167,1195,1221,1253,1277,1314,1344,1395,1430,1456,1488,1511,1534,1558,1598,1630,1662,1686,1709,1731,1760,1787,1811,1842,1865,1896,1938,1960,2000,2028,2058,2136,2214,2251,2266,2286,2318,2342,2367,2432,2459,2483,2522,2554,2574,2592,2637,2657,2684,2711,2732,2742,2767,2797,2827,2922,3003,3016,3038,3063,3080,3108
1,12,43,63,84,115,145,164,188,199,213,233,260,292,327,365,394,441,471,502,531,557,581,608,641,672,698,736,758,783,818,873,901,927,963,990,1019,1040,1061,1089,1116,1138,1158,1186,1220,1226,1263,1288,1321,1355,1382,1416,1441,1477,1495,1506,1521,1548,1556,1601,1633,1662,1690,1715,1741,1758,1780,1809,1839,1870,1898,1925,1931,1941,1958,1975,2024,2045,2073,2093,2111,2139,2169,2178,2196,2210,2227,2253,2278,2363,2375,2379,2398,2426,2446,2470,2494,2515,2535,2564,2591
2,9,38,63,90,114,153,185,212,240,263,292,320,355,383,404,435,460,488,512,535,558,588,632,645,683,725,750,790,817,837,854,876,890,917,951,973,999,1026,1078,1108,1137,1159,1181,1201,1233,1255,1282,1298,1326,1354,1378,1410,1437,1465,1498,1521,1545,1567,1584,1612,1634,1658,1676,1707,1733,1754,1776,1800,1815,1832,1865,1898,1932,1954,1977,2001,2029,2058,2066,2084,2106,2124,2159,2188,2211,2242,2267,2287,2312,2330,2348,2363,2389,2416,2432,2451,2503,2539,2569,2597
3,11,38,63,88,115,143,175,200,228,258,302,334,354,377,411,433,458,514,536,569,585,610,631,651,674,701,719,735,759,794,822,842,867,905,932,955,976,978,983,1022,1049,1079,1115,1127,1151,1184,1211,1239,1274,1296,1327,1355,1386,1400,1418,1444,1456,1473,1497,1520,1540,1564,1595,1616,1645,1674,1710,1729,1760,1787,1838,1865,1896,1904,1929,1960,1991,2018,2049,2073,2103,2131,2155,2179,2204,2224,2252,2271,2305,2327,2350,2377,2402,2426,2435,2454,2475,2497,2513,2543
4,10,39,69,94,110,113,115,120,137,163,185,227,290,337,369,402,414,442,467,498,569,596,622,653,679,705,728,746,771,782,795,809,893,918,946,963,982,1012,1019,1042,1072,1092,1162,1193,1223,1249,1324,1352,1381,1411,1440,1458,1483,1521,1551,1577,1586,1604,1626,1650,1670,1677,1701,1737,1762,1787,1807,1824,1842,1864,1887,1914,1926,1947,1972,1993,2010,2027,2049,2075,2099,2117,2142,2169,2195,2214,2242,2264,2285,2309,2325,2341,2356,2372,2373,2377,2385,2418,2440,2451
5,9,32,50,68,92,112,146,209,254,284,316,333,358,379,404,424,453,467,495,516,536,572,598,628,659,678,708,738,756,781,808,820,847,864,888,914,948,972,993,1014,1034,1065,1086,1090,1129,1132,1155,1178,1178,1179,1182,1195,1195,1209,1235,1262,1274,1296,1312,1343,1381,1406,1448,1470,1470,1510,1542,1565,1643,1660,1661,1666,1686,1707,1734,1760,1779,1794,1819,1851,1875,1895,1921,1940,1961,1983,2011,2093,2101,2124,2155,2178,2205,2233,2249,2267,2284,2302,2323,2350
6,12,38,71,91,114,138,162,189,222,256,284,308,333,364,381,390,404,419,436,461,482,511,541,567,589,611,682,710,739,770,798,828,840,850,872,902,931,954,981,1005,1032,1059,1085,1105,1124,1138,1161,1161,1180,1199,1221,1245,1261,1295,1335,1359,1392,1417,1449,1476,1497,1515,1526,1564,1595,1599,1616,1643,1662,1697,1735,1763,1796,1823,1847,1884,1909,1934,1961,2001,2032,2049,2070,2090,2106,2125,2146,2160,2184,2186,2205,2226,2245,2263,2295,2328,2355,2383,2417,2444
7,10,37,67,92,131,157,188,213,237,259,288,315,342,406,446,477,506,570,587,632,661,692,709,737,758,774,790,815,833,854,880,904,933,954,987,1020,1046,1065,1100,1129,1158,1192,1219,1236,1253,1281,1324,1353,1392,1431,1453,1477,1492,1521,1536,1556,1594,1637,1661,1689,1731,1758,1783,1801,1832,1867,1896,1926,1953,1973,2000,2026,2059,2068,2084,2114,2145,2171,2200,2230,2255,2289,2325,2329,2351,2351,2358,2377,2421,2443,2479,2501,2591,2628,2630,2651,2679,2715,2765,2796
8,15,32,49,73,120,159,189,222,255,282,304,316,326,335,355,382,414,447,476,504,513,537,579,612,655,655,671,747,784,811,836,847,877,949,970,989,1009,1028,1053,1088,1117,1144,1161,1185,1212,1227,1297,1321,1347,1372,1411,1415,1428,1445,1463,1482,1511,1533,1544,1564,1592,1614,1638,1656,1679,1705,1728,1751,1781,1803,1831,1868,1902,1927,1943,1974,1994,2022,2045,2085,2106,2126,2155,2187,2218,2242,2283,2293,2306,2317,2334,2402,2453,2474,2488,2514,2535,2553,2579,2606
9,8,20,43,65,91,121,147,172,206,242,271,300,316,333,353,370,388,409,438,469,481,503,533,605,632,660,689,709,731,747,771,798,823,847,881,909,938,971,981,991,1014,1046,1076,1100,1126,1151,1173,1202,1227,1247,1270,1287,1294,1305,1325,1351,1370,1393,1478,1503,1523,1526,1526,1538,1557,1583,1609,1635,1649,1649,1649,1649,1649,1649,1663,1689,1713,1737,1760,1794,1822,1859,1891,1915,1936,2022,2044,2072,2092,2114,2136,2163,2190,2198,2219,2252,2279,2310,2338,2356
10,14,44,53,72,110,132,164,189,212,236,272,309,339,366,398,428,455,476,497,519,537,564,585,612,640,676,712,742,772,795,819,840,868,901,926,952,980,1001,1055,1088,1119,1143,1183,1213,1243,1267,1346,1373,1405,1434,1454,1485,1570,1597,1622,1649,1716,1736,1753,1776,1793,1816,1840,1862,1884,1916,1936,1963,1985,2000,2005,2026,2047,2112,2140,2161,2188,2211,2233,2247,2269,2299,2327,2350,2372,2436,2470,2498,2532,2575,2601,2635,2661,2704,2732,2766,2787,2808,2831,2855
