,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,32,65,67,70,70,70,71,78,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,83,84,87,89,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,96,96,112,128,129,151,154,156,166,191,197,200,200,200,200,200,201,209,213,215,218,218,218,218,218,218,218,218,218,218,218,222,225,226,226,226,226,226,226,226,226
1,28,44,66,66,66,66,66,66,66,66,91,118,152,181,185,186,188,189,192,192,193,197,199,205,208,209,209,209,209,210,223,228,229,229,229,229,229,231,232,232,232,232,232,232,232,232,238,239,246,248,248,248,248,269,272,272,272,272,272,272,274,274,274,274,274,275,275,275,275,275,275,276,276,277,286,305,333,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,359,359,360,360,360,360
2,35,51,84,108,119,119,120,131,135,135,135,135,135,138,143,143,143,143,155,157,159,169,171,180,205,269,270,270,270,270,270,270,270,270,270,272,283,295,302,341,360,363,383,386,386,386,386,386,386,386,386,386,386,386,386,386,391,403,416,422,432,438,443,447,447,447,447,447,447,447,447,447,447,447,447,447,447,450,455,460,467,518,520,533,534,534,535,537,542,547,550,562,572,577,598,621,632,637,642,647
3,31,57,82,84,84,90,90,90,90,90,90,94,94,94,95,96,98,98,100,100,100,108,112,113,113,116,126,131,144,166,191,210,222,256,270,270,270,270,270,270,270,270,277,280,282,289,289,289,289,289,289,289,289,291,294,294,294,296,324,333,334,336,337,337,343,346,361,361,361,361,361,361,361,361,361,361,361,364,367,383,399,420,425,425,425,425,425,425,425,425,425,425,425,425,425,443,446,456,462,477
4,28,57,57,59,60,60,75,87,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,106,119,134,134,135,135,135,135,136,147,161,167,172,172,173,173,173,173,173,173,173,173,173,173,173,173,173,178,181,183,183,183,183,183,183,183,185,185,185,185,185,190,191,196,197,198,198,198,199,199,199,199,199,199,199,199,199,199,199,201,203,203,207,208,211,218,229,242,246,263,285,290,291,291,291
5,33,52,70,86,88,95,102,105,106,106,106,106,106,106,108,111,111,111,111,111,111,111,111,111,111,111,111,111,111,123,131,137,139,140,140,141,144,144,144,144,144,145,165,172,183,195,205,219,238,258,270,271,278,280,280,280,280,280,280,280,280,280,280,289,292,293,293,293,293,295,310,324,327,335,343,351,351,351,352,367,375,376,379,381,381,381,381,381,381,381,381,381,381,383,383,383,383,383,383,383
6,29,55,62,70,74,77,78,86,88,95,96,98,115,137,138,138,138,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,139,139,139,139,145,146,146,149,149,149,149,149,149,151,153,154,154,154,154,154,154,154,154,154,154,157,158,158,158,158,158,159,159,165,165,165,165,165,165,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,170,174,187,192,198,198,201,208,222,258,288,290,290,294
7,28,46,80,82,83,84,86,86,86,97,103,105,105,105,105,105,105,108,112,115,115,115,116,123,123,123,123,123,123,123,123,123,123,125,127,127,127,127,127,127,127,127,127,127,133,133,134,135,135,142,148,154,159,165,185,197,209,223,225,235,249,262,263,273,273,276,277,278,278,278,278,278,278,278,282,291,314,345,359,360,360,360,360,362,368,370,371,371,371,371,371,371,371,371,371,371,371,376,377,381
8,26,45,47,52,54,61,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,70,70,70,72,72,72,72,72,72,72,72,72,74,74,74,74,74,74,74,76,79,81,83,85,89,91,99,105,108,112,118,119,119,119,119,119,119,119,119,119,119,120,121,121,122,122,122,122,123,124,125,140,141,144,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,150,151,155
9,29,38,48,70,78,83,83,83,83,83,90,103,120,137,137,138,139,139,141,148,159,162,166,167,167,167,167,167,172,177,184,195,226,251,288,329,363,381,385,388,396,401,402,402,402,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,404,404,404,430,445,451,492,498,503,547,559,588,590,597,605,613,616,628,648,648,668,675,692,712,717,717,717,717,717,717,717,717,717,723
