,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,27,49,87,94,117,142,161,162,173,181,227,283,286,293,305,321,340,359,365,365,377,403,422,433,434,458,489,489,493,535,539,552,557,578,583,594,615,624,625,637,650,655,695,702,715,746,766,792,816,824,844,878,899,928,949,980,1003,1015,1028,1067,1077,1087,1105,1117,1128,1153,1182,1215,1221,1235,1236,1238,1247,1269,1315,1372,1382,1398,1405,1413,1432,1473,1512,1524,1552,1561,1589,1606,1623,1624,1631,1633,1637,1637,1637,1668,1680,1688,1698,1707
1,29,41,44,74,105,108,126,129,150,150,152,153,155,158,177,197,222,225,230,255,291,311,322,334,353,387,448,459,480,503,509,512,526,538,552,581,584,590,605,605,605,605,605,640,658,658,661,662,685,687,702,728,752,768,783,784,800,801,801,805,808,821,826,851,877,889,906,929,941,949,949,951,957,957,957,962,972,989,1011,1026,1036,1053,1078,1107,1116,1131,1152,1152,1156,1174,1197,1199,1213,1231,1252,1252,1252,1253,1254,1261
2,27,63,69,76,79,105,159,160,175,179,187,189,190,194,255,292,310,330,341,388,410,454,491,505,505,507,511,513,526,538,569,572,579,581,581,583,606,626,663,670,680,686,702,703,722,740,755,756,773,792,806,835,862,880,902,929,936,937,946,967,970,981,989,1019,1042,1043,1050,1059,1070,1073,1086,1111,1128,1142,1148,1160,1164,1166,1188,1243,1275,1290,1321,1323,1327,1339,1344,1391,1411,1412,1412,1425,1473,1478,1487,1492,1521,1528,1541,1545
3,22,38,56,58,99,142,161,162,177,192,207,220,221,237,260,264,270,290,292,308,319,360,375,405,405,407,416,416,424,433,445,451,472,488,502,519,522,543,545,552,557,565,593,605,617,622,626,636,657,660,666,694,706,741,791,824,837,843,850,858,865,906,907,909,933,958,970,972,997,1019,1019,1023,1039,1051,1070,1097,1120,1135,1139,1173,1211,1247,1275,1295,1297,1300,1303,1326,1340,1346,1356,1366,1367,1377,1389,1395,1400,1406,1411,1432
4,29,31,64,106,134,163,184,186,190,231,235,256,259,273,305,350,363,366,367,367,368,369,397,426,459,469,504,518,524,525,538,554,554,558,558,562,562,566,583,634,659,669,687,721,732,742,752,770,770,800,800,801,806,809,818,818,821,829,852,886,904,906,922,935,957,964,965,986,1008,1027,1060,1063,1073,1082,1124,1127,1130,1136,1149,1149,1199,1235,1257,1265,1279,1283,1290,1295,1338,1374,1398,1404,1424,1484,1487,1494,1497,1504,1524,1572
5,30,41,60,87,89,89,95,131,157,181,207,227,231,234,245,259,276,297,320,327,363,378,387,389,411,416,438,439,451,487,506,534,548,556,609,609,609,609,615,638,660,676,677,677,696,711,740,750,758,768,782,794,811,812,820,852,894,932,965,992,1016,1063,1093,1113,1117,1141,1153,1155,1156,1183,1183,1184,1199,1211,1224,1247,1260,1269,1312,1345,1381,1387,1387,1388,1403,1421,1445,1452,1486,1513,1523,1542,1560,1564,1564,1567,1567,1569,1591,1595
6,32,58,86,102,111,111,113,144,163,166,186,206,256,290,329,336,362,369,390,410,437,479,491,519,547,580,595,623,645,666,699,707,708,712,731,744,757,773,773,788,812,843,851,852,869,896,914,924,925,953,958,984,997,1020,1021,1033,1033,1040,1044,1076,1081,1082,1083,1093,1094,1094,1094,1096,1128,1178,1187,1187,1191,1198,1227,1253,1288,1312,1336,1340,1358,1366,1383,1397,1412,1412,1418,1428,1431,1449,1463,1471,1472,1476,1485,1485,1488,1491,1500,1516
7,27,61,91,99,109,116,126,136,138,148,150,164,165,196,215,216,225,241,258,272,278,293,301,302,304,304,304,304,305,316,324,332,332,333,345,347,374,374,396,412,412,418,453,467,484,512,533,533,536,545,547,552,554,556,557,565,591,620,623,641,649,650,664,667,679,726,740,753,783,812,845,876,888,895,898,903,927,928,931,937,940,941,957,980,983,983,985,990,1000,1017,1023,1046,1047,1075,1100,1114,1134,1147,1150,1155
8,28,63,84,135,164,187,243,250,257,262,282,282,327,340,381,404,408,454,465,489,506,526,526,531,544,544,548,552,555,613,635,646,658,670,676,683,708,743,774,776,825,838,878,888,911,918,923,957,975,1020,1034,1047,1064,1107,1149,1155,1173,1189,1212,1219,1224,1233,1255,1269,1275,1279,1283,1290,1291,1293,1305,1308,1361,1395,1395,1425,1435,1453,1473,1474,1488,1493,1518,1538,1542,1555,1556,1566,1589,1616,1625,1644,1673,1685,1694,1701,1724,1733,1733,1733
9,30,47,66,101,111,148,171,172,178,179,202,235,258,268,306,328,339,341,349,350,362,377,386,387,394,404,422,446,459,505,532,545,563,587,588,605,606,619,635,663,692,706,717,752,779,799,816,826,826,829,831,834,837,848,853,886,920,948,980,1020,1081,1125,1174,1215,1215,1215,1219,1223,1230,1243,1278,1302,1316,1319,1327,1330,1335,1356,1387,1404,1430,1458,1485,1490,1516,1544,1545,1552,1563,1565,1582,1593,1620,1625,1629,1644,1649,1654,1665,1685
