,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,26,46,52,82,119,132,157,158,174,175,176,189,197,209,241,244,249,254,257,265,277,302,317,318,326,340,349,362,362,373,387,435,451,454,455,521,552,569,624,624,624,628,641,685,705,727,740,764,787,790,800,806,827,846,861,882,885,886,896,916,924,937,946,964,966,972,974,981,995,997,1000,1021,1036,1077,1081,1103,1114,1130,1141,1149,1158,1165,1180,1190,1209,1219,1235,1260,1275,1280,1280,1283,1284,1290,1310,1328,1350,1367,1394,1408
1,32,43,78,111,124,153,178,189,189,191,215,226,236,236,248,256,279,291,301,309,319,326,346,372,383,404,411,411,417,446,476,478,480,490,492,512,530,539,560,560,568,569,573,575,582,598,604,606,632,649,654,661,671,717,755,763,772,797,822,834,834,834,852,872,888,906,907,924,941,962,973,985,1006,1025,1032,1043,1043,1048,1059,1059,1063,1083,1088,1109,1125,1130,1138,1139,1145,1151,1159,1180,1182,1187,1191,1191,1191,1197,1201,1212
2,23,55,96,98,105,112,137,147,163,163,167,170,193,215,246,251,261,280,293,314,367,390,418,453,478,499,526,533,564,600,619,623,629,633,668,706,752,790,837,856,893,905,921,930,951,971,994,1015,1033,1037,1044,1058,1068,1068,1069,1069,1070,1071,1074,1080,1082,1129,1130,1130,1137,1141,1141,1148,1192,1204,1223,1238,1252,1271,1302,1328,1345,1381,1387,1404,1409,1425,1431,1457,1463,1501,1507,1520,1549,1597,1599,1601,1615,1628,1657,1683,1685,1695,1700,1714
3,24,53,75,89,111,122,139,164,190,215,249,250,258,272,286,286,288,288,290,324,348,354,356,360,361,394,410,422,436,436,438,438,439,440,441,456,478,515,548,567,576,611,624,659,700,713,730,732,735,746,759,765,778,792,807,834,858,858,858,858,858,858,860,905,929,930,942,950,951,965,966,980,983,995,1037,1055,1091,1131,1172,1186,1224,1247,1280,1297,1302,1313,1321,1321,1321,1337,1352,1373,1373,1393,1426,1439,1451,1479,1520,1574
4,31,49,49,55,66,98,123,128,133,136,194,204,207,229,231,268,300,314,360,372,381,401,422,431,442,448,457,457,459,460,472,474,486,489,535,591,626,637,645,686,689,701,708,710,711,725,726,752,777,792,812,838,859,859,862,881,906,921,925,926,928,934,973,979,1010,1015,1017,1023,1056,1078,1093,1100,1107,1127,1166,1185,1207,1246,1251,1262,1262,1265,1270,1278,1280,1310,1333,1361,1361,1363,1365,1371,1379,1382,1382,1385,1401,1422,1434,1452
5,23,48,84,118,131,133,141,143,163,177,179,196,203,225,244,246,253,274,304,321,337,369,395,397,413,441,455,474,496,531,549,551,560,574,575,584,586,601,619,638,663,723,749,781,781,781,781,806,812,846,896,907,921,921,924,951,981,1012,1039,1060,1069,1074,1074,1077,1094,1107,1117,1125,1125,1130,1133,1163,1174,1196,1211,1240,1265,1291,1304,1318,1328,1328,1329,1337,1354,1380,1389,1390,1421,1426,1434,1437,1446,1455,1487,1520,1537,1545,1545,1549
6,31,45,67,121,136,140,171,186,186,192,207,223,224,257,271,296,309,310,320,321,340,419,450,462,466,491,494,521,554,563,568,593,600,604,630,661,683,690,700,708,720,730,756,771,771,771,774,777,800,804,816,820,820,820,825,860,890,891,903,911,921,922,922,959,985,999,1020,1036,1045,1072,1088,1109,1146,1159,1169,1170,1193,1212,1229,1232,1249,1259,1269,1277,1277,1282,1291,1303,1316,1363,1398,1431,1474,1494,1522,1523,1553,1558,1568,1583
7,27,53,59,76,90,104,113,123,137,142,152,169,191,221,240,266,284,319,320,323,352,360,401,427,479,506,509,549,588,602,609,644,650,654,663,674,697,723,732,742,751,753,756,770,786,786,789,793,809,818,818,822,853,854,867,873,897,916,940,940,943,955,990,1018,1034,1034,1039,1054,1069,1072,1082,1152,1155,1168,1176,1200,1201,1240,1255,1262,1267,1295,1307,1321,1324,1346,1352,1353,1366,1369,1371,1386,1397,1402,1403,1408,1415,1422,1425,1425
8,28,61,80,90,94,114,159,195,212,233,240,257,274,274,277,288,293,294,319,350,359,386,392,394,426,433,438,450,457,458,469,486,490,522,528,532,535,538,546,552,562,606,606,619,623,662,679,682,696,712,719,733,746,771,773,795,811,828,829,839,853,865,870,896,898,922,939,969,986,990,991,1005,1018,1020,1029,1030,1041,1047,1056,1064,1066,1089,1101,1130,1133,1137,1159,1188,1220,1258,1291,1317,1318,1322,1357,1376,1389,1390,1391,1411
9,29,39,56,63,84,112,139,163,171,201,232,281,287,307,313,322,324,353,378,380,381,387,393,401,411,422,440,446,467,493,496,498,536,536,536,538,545,562,602,632,644,682,699,708,708,714,717,723,750,774,799,810,834,841,881,908,914,915,940,953,956,967,978,982,982,985,988,995,1004,1012,1019,1035,1047,1059,1061,1088,1103,1119,1141,1161,1167,1175,1176,1177,1180,1189,1205,1209,1215,1226,1227,1228,1229,1237,1254,1272,1300,1310,1328,1329
