,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5,16,26,43,55,70,81,94,114,136,148,164,184,194,208,221,235,249,272,293,307,324,343,365,377,393,411,425,439,455,472,485,507,525,542,553,567,578,596,614,629,651,673,683,701,717,730,748,762,773,782,801,818,832,849,860,875,893,905,916,938,955,969,981,1000,1016,1038,1057,1072,1086,1103,1120,1134,1151,1169,1178,1194,1207,1219,1238,1250,1268,1279,1290,1303,1312,1318,1329,1333,1345,1358,1374,1387,1411,1421,1437,1450,1463,1474,1483
1,3,14,25,38,50,64,78,90,102,119,138,149,165,180,191,207,222,234,244,257,276,288,307,321,333,354,372,386,403,426,440,450,458,471,483,498,516,532,551,561,581,591,611,622,631,650,668,686,700,716,729,749,770,784,797,812,820,835,845,855,876,889,908,925,939,953,966,987,998,1015,1035,1044,1057,1070,1083,1090,1103,1115,1125,1136,1147,1158,1171,1180,1188,1206,1225,1241,1255,1269,1288,1297,1313,1330,1348,1360,1375,1395,1415,1435
2,5,17,23,31,35,45,56,70,90,106,128,145,167,183,200,210,227,242,256,269,279,297,319,334,350,350,358,366,376,386,397,407,422,436,445,456,470,482,493,506,522,541,560,574,586,598,613,631,644,657,667,679,691,705,723,736,747,753,771,784,803,815,829,845,859,874,894,909,928,947,956,965,974,987,1000,1014,1023,1038,1056,1070,1080,1097,1113,1129,1145,1164,1179,1197,1208,1219,1234,1255,1266,1286,1300,1311,1328,1343,1354,1367
3,5,20,26,35,43,57,75,89,102,122,135,151,167,182,192,210,230,241,260,275,284,297,317,331,352,369,381,394,402,415,430,442,466,483,505,522,536,549,563,579,589,606,621,636,649,659,673,688,699,712,726,737,745,756,768,775,790,799,813,821,833,840,860,871,883,893,908,917,931,949,966,985,1007,1017,1023,1039,1056,1075,1087,1100,1109,1123,1133,1149,1162,1178,1190,1203,1212,1232,1246,1261,1278,1292,1309,1322,1336,1350,1370,1370
4,5,11,20,30,46,60,75,90,108,130,147,159,169,177,191,205,219,239,252,268,288,306,314,335,350,372,391,411,425,438,457,465,485,498,517,525,544,558,575,592,607,625,643,664,683,694,710,725,741,757,774,785,799,811,823,829,841,853,863,872,885,898,917,930,949,965,987,1007,1026,1036,1052,1068,1081,1106,1130,1144,1153,1163,1176,1196,1209,1219,1230,1245,1259,1277,1293,1309,1327,1336,1355,1368,1385,1396,1413,1423,1442,1455,1471,1486
5,6,17,25,43,56,73,89,99,120,138,155,176,187,204,224,240,262,275,285,302,322,338,359,374,386,405,425,447,465,479,496,509,521,533,548,557,564,581,598,614,627,641,655,669,685,696,708,725,738,757,769,789,800,813,834,846,869,889,916,930,946,958,970,988,1014,1025,1053,1068,1079,1102,1118,1135,1156,1182,1204,1225,1237,1250,1268,1294,1305,1319,1333,1341,1359,1372,1383,1390,1401,1419,1425,1445,1459,1479,1492,1502,1520,1532,1547,1559
6,5,17,27,40,45,57,65,76,87,98,120,136,145,153,169,179,193,206,219,235,246,262,272,288,299,309,319,336,348,365,378,394,408,408,411,421,437,447,459,474,497,513,523,538,551,566,574,581,595,611,625,645,656,675,691,704,727,747,763,780,793,807,807,810,814,825,832,837,853,873,891,906,919,919,932,946,963,977,990,1004,1021,1026,1046,1062,1075,1093,1110,1122,1136,1147,1161,1174,1191,1201,1219,1229,1249,1267,1280,1294
7,4,17,29,34,48,65,82,94,115,137,153,167,182,198,208,230,251,263,289,308,318,343,356,369,387,406,422,437,455,470,482,494,509,525,539,559,577,593,613,632,643,662,676,689,701,713,729,746,760,775,793,803,815,829,846,855,880,894,907,925,941,955,974,987,1004,1021,1038,1054,1067,1083,1099,1116,1128,1145,1161,1174,1186,1201,1209,1215,1231,1248,1261,1274,1290,1313,1335,1350,1361,1373,1389,1410,1427,1445,1457,1457,1465,1479,1496,1505
8,8,25,45,65,76,88,98,115,139,154,172,186,201,220,232,257,270,282,298,309,322,334,355,370,380,391,412,421,437,452,469,469,473,480,496,496,506,515,525,536,555,569,589,609,624,645,658,677,695,718,731,753,773,787,797,815,835,848,869,887,902,921,940,954,973,990,1008,1024,1042,1063,1077,1099,1118,1137,1153,1174,1190,1206,1224,1224,1233,1255,1265,1282,1291,1300,1310,1324,1339,1352,1368,1368,1373,1386,1406,1418,1429,1446,1459,1476
9,4,12,29,35,45,65,76,88,112,127,143,161,176,189,201,210,224,240,255,276,290,303,321,344,358,372,385,400,409,425,436,448,459,466,478,490,504,522,539,561,581,592,607,625,640,655,672,687,706,721,735,750,760,775,784,801,811,835,854,866,883,900,914,926,935,946,958,971,987,999,1020,1032,1045,1059,1072,1088,1100,1117,1129,1139,1147,1158,1172,1182,1200,1210,1228,1248,1265,1283,1295,1303,1317,1330,1340,1340,1347,1358,1358,1363
10,6,15,25,42,58,72,90,104,118,141,151,164,174,183,191,206,222,243,259,276,287,301,315,328,341,359,376,393,407,423,439,458,470,483,497,508,525,544,558,586,600,623,633,641,663,681,695,712,734,746,760,771,780,792,808,821,839,849,860,873,888,908,926,942,949,961,971,984,1000,1010,1030,1044,1062,1082,1099,1114,1132,1157,1173,1187,1204,1223,1237,1254,1268,1288,1311,1332,1350,1362,1379,1395,1415,1438,1456,1466,1479,1499,1508,1530
11,7,14,29,42,61,73,90,109,124,139,154,167,181,197,212,223,246,266,281,296,311,330,337,355,370,385,405,414,427,430,439,446,457,468,482,497,513,527,534,548,565,578,601,616,634,652,672,687,705,716,729,741,755,778,795,817,834,849,860,875,887,904,920,938,962,976,988,1002,1021,1033,1045,1058,1067,1075,1088,1102,1120,1129,1147,1163,1185,1208,1225,1249,1268,1283,1297,1306,1315,1331,1350,1366,1377,1394,1403,1413,1429,1445,1468,1485
12,5,14,24,40,55,69,92,108,122,140,159,171,188,204,219,239,247,247,256,258,259,269,288,303,314,332,353,370,382,397,407,425,437,456,475,489,503,521,531,542,554,573,591,612,631,650,666,687,710,726,739,749,762,782,782,793,800,813,825,836,845,857,874,890,900,912,929,943,963,978,989,1012,1027,1041,1059,1079,1104,1123,1135,1152,1167,1185,1196,1210,1223,1241,1263,1283,1292,1304,1319,1337,1349,1358,1373,1393,1402,1413,1419,1429
13,6,15,26,40,46,50,60,77,95,111,125,139,146,166,179,191,208,219,235,245,253,269,284,302,316,329,342,354,367,390,399,412,432,445,461,475,494,512,525,542,561,574,594,610,628,650,663,674,689,709,724,739,754,773,784,794,807,818,830,842,867,880,893,912,922,932,941,961,975,989,1002,1016,1031,1045,1065,1083,1093,1108,1120,1127,1135,1146,1157,1175,1189,1201,1214,1214,1228,1244,1256,1266,1272,1282,1288,1311,1328,1347,1359,1372
14,3,11,21,41,56,71,91,117,134,149,170,190,206,219,219,227,235,235,245,255,273,287,297,308,321,338,351,365,376,376,379,395,408,417,428,439,453,469,478,490,503,516,528,545,562,577,591,611,627,651,671,693,703,717,722,736,744,765,775,792,813,826,841,852,867,879,893,904,925,942,952,962,981,992,1001,1013,1029,1042,1060,1080,1093,1108,1121,1126,1136,1150,1150,1152,1153,1164,1177,1185,1193,1203,1219,1229,1241,1255,1268,1268
15,7,16,37,59,75,88,107,119,137,150,172,189,202,219,227,241,254,271,286,298,310,327,341,357,375,387,401,411,430,430,436,448,456,468,482,499,505,519,536,550,564,573,588,608,618,633,653,673,693,707,707,719,722,734,752,764,785,801,811,829,840,852,872,894,914,934,951,965,989,1008,1025,1038,1054,1068,1081,1102,1117,1132,1148,1164,1173,1190,1206,1222,1240,1252,1268,1284,1298,1315,1328,1340,1353,1365,1379,1379,1396,1413,1432,1448
