,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,6,19,35,51,65,85,93,105,122,136,148,169,191,211,211,221,238,255,270,291,306,320,343,364,381,399,415,428,445,461,474,486,501,518,533,533,540,549,560,571,588,600,614,627,645,665,682,691,707,725,734,749,767,780,796,810,819,830,852,861,872,887,912,929,940,947,954,959,967,973,991,1001,1008,1021,1042,1060,1074,1087,1087,1093,1102,1112,1121,1131,1135,1151,1163,1179,1192,1208,1218,1231,1249,1268,1285,1303,1319,1328,1341,1341
1,6,23,43,60,69,84,101,111,117,135,142,162,174,185,185,195,205,209,213,222,233,255,268,282,296,311,318,334,350,361,373,381,394,408,418,431,451,466,481,491,498,509,522,540,549,565,586,597,613,627,639,665,679,697,712,726,742,759,774,790,804,809,825,838,847,857,875,897,910,933,952,961,981,997,1009,1029,1046,1059,1075,1090,1103,1120,1132,1147,1159,1178,1190,1198,1216,1233,1247,1256,1273,1286,1301,1313,1319,1334,1354,1368
2,3,10,23,33,42,64,74,89,108,126,147,163,176,196,208,221,236,251,267,280,295,310,323,335,347,363,380,401,413,413,423,432,446,461,478,478,490,508,524,537,547,561,580,596,608,624,638,659,673,695,710,723,740,757,768,776,799,814,814,821,835,845,854,856,868,881,889,902,916,935,950,968,984,1000,1017,1033,1051,1065,1080,1099,1114,1125,1133,1140,1150,1160,1180,1193,1210,1219,1230,1244,1254,1263,1275,1281,1291,1298,1312,1320
3,6,20,34,48,54,67,83,96,112,120,131,142,148,161,169,188,206,223,239,250,269,281,292,306,322,331,337,350,371,388,412,426,441,454,473,495,510,527,540,554,574,587,604,614,627,643,660,680,692,707,727,738,752,772,785,796,811,820,838,847,873,885,901,912,928,946,960,975,990,998,1011,1027,1040,1051,1061,1078,1091,1102,1112,1128,1145,1157,1171,1187,1202,1217,1227,1248,1258,1273,1286,1303,1314,1326,1339,1354,1367,1379,1388,1401
4,4,13,25,46,52,66,80,92,105,116,131,145,149,155,155,161,167,167,169,173,188,205,217,228,246,261,272,283,297,301,307,323,343,343,365,380,387,403,418,436,452,467,485,503,515,532,548,563,582,607,623,641,655,678,687,699,716,732,749,766,786,807,822,840,853,872,890,897,907,915,929,938,946,955,974,989,1003,1010,1026,1035,1049,1062,1079,1094,1112,1126,1138,1150,1166,1185,1199,1213,1228,1244,1257,1273,1292,1307,1319,1319
5,2,9,18,37,52,73,91,106,126,140,155,167,180,196,212,221,234,246,256,275,287,300,314,329,339,358,373,394,410,410,417,419,428,445,451,464,479,495,510,525,540,557,573,582,595,605,625,644,655,668,681,691,710,730,747,757,764,791,805,819,836,853,866,876,891,902,914,923,933,952,976,988,1002,1018,1025,1045,1066,1083,1098,1118,1139,1149,1156,1174,1188,1202,1217,1231,1241,1252,1269,1276,1283,1304,1323,1323,1328,1338,1352,1364
6,7,13,22,41,57,71,85,99,109,124,141,153,167,187,202,209,224,241,250,266,277,286,297,311,327,327,347,363,387,406,420,433,443,458,469,485,501,523,542,554,573,585,604,618,628,640,653,665,678,696,696,703,720,732,744,751,766,779,793,806,818,835,853,865,881,896,912,927,938,946,956,969,990,1007,1019,1037,1053,1069,1082,1092,1103,1113,1127,1149,1161,1172,1188,1212,1233,1247,1264,1285,1305,1318,1333,1349,1362,1379,1392,1405
7,4,18,32,43,57,74,89,99,116,131,153,168,181,196,205,216,230,244,244,249,254,265,281,299,306,319,328,343,361,376,388,401,423,436,452,464,481,499,516,531,541,555,574,590,602,618,631,644,656,675,692,706,721,737,754,771,787,787,795,806,823,839,857,878,891,907,920,935,946,961,971,985,1002,1016,1030,1049,1060,1072,1083,1091,1099,1114,1128,1144,1156,1163,1185,1200,1222,1240,1257,1267,1279,1293,1301,1317,1328,1351,1360,1369
8,3,14,27,38,63,80,94,108,128,147,166,177,192,208,221,236,256,268,283,303,315,331,354,362,385,400,408,419,432,445,455,467,478,478,489,511,527,538,551,570,584,597,613,637,661,677,691,706,732,751,768,784,804,817,825,844,864,881,891,899,908,923,934,949,962,975,992,1006,1015,1026,1044,1056,1075,1095,1110,1126,1142,1158,1174,1185,1197,1219,1232,1246,1254,1270,1288,1298,1324,1339,1356,1370,1382,1396,1410,1420,1433,1443,1454,1471
9,6,16,34,53,67,80,99,114,128,149,165,181,203,217,230,243,258,279,296,309,319,331,342,350,363,379,400,424,437,455,475,493,510,522,540,552,567,573,590,590,594,606,615,634,653,667,681,696,713,729,741,750,760,776,787,798,809,827,846,862,876,894,911,928,941,965,976,992,1008,1023,1034,1051,1071,1085,1101,1116,1132,1147,1159,1177,1194,1205,1223,1234,1250,1268,1289,1299,1315,1331,1348,1364,1376,1392,1407,1423,1439,1452,1467,1467
