,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,6,36,128,216,276,341,409,460,534,609,656,726,747,832,916,933,999,1088,1176,1265,1338,1412,1460,1534,1565,1628,1688,1716,1766,1840,1913,1939,1987,2051,2129,2159,2231,2310,2387,2426,2495,2577,2660,2750,2838,2854,2882,2955,2989,3083,3140,3168,3256,3340,3373,3452,3489,3568,3647,3649,3682,3773,3821,3832,3900,3918,3998,4063,4088,4099,4167,4243,4288,4325,4404,4494,4494,4496,4566,4575,4663,4726,4815,4900,4980,4999,5091,5183,5268,5268,5277,5282,5289,5305,5364,5399,5470,5519,5582,5605
1,7,66,151,192,269,339,344,399,435,470,516,523,530,536,626,694,696,716,723,737,742,785,841,867,920,938,954,966,968,989,1011,1040,1061,1088,1163,1243,1319,1363,1413,1492,1575,1655,1691,1779,1806,1879,1940,1981,2048,2067,2137,2164,2211,2267,2309,2355,2396,2449,2465,2511,2536,2547,2552,2560,2581,2620,2653,2710,2727,2757,2764,2803,2859,2874,2936,2960,2987,3045,3098,3131,3165,3193,3221,3242,3260,3277,3342,3367,3387,3443,3488,3525,3549,3604,3652,3713,3792,3864,3943,4016
2,6,6,20,97,174,241,307,370,432,465,467,470,470,522,569,580,610,703,795,878,953,983,1012,1063,1076,1120,1170,1175,1234,1273,1333,1416,1481,1552,1615,1694,1762,1762,1766,1818,1864,1887,1963,2038,2102,2172,2227,2246,2297,2302,2357,2405,2407,2438,2468,2522,2560,2620,2664,2720,2722,2746,2802,2868,2890,2977,2990,3040,3042,3070,3087,3162,3237,3280,3312,3342,3409,3417,3458,3526,3597,3661,3755,3794,3797,3858,3859,3877,3952,3971,4034,4099,4127,4140,4220,4232,4304,4375,4394,4476
3,8,13,22,87,187,285,373,418,477,537,575,668,681,767,861,906,931,1020,1094,1120,1138,1225,1310,1392,1397,1428,1518,1608,1689,1765,1838,1912,1988,2067,2142,2220,2291,2334,2418,2448,2545,2634,2708,2733,2766,2774,2797,2814,2867,2924,2935,3003,3045,3102,3129,3140,3181,3234,3276,3306,3353,3426,3455,3515,3564,3630,3694,3752,3820,3824,3848,3875,3958,4040,4124,4209,4286,4356,4435,4512,4584,4656,4723,4779,4834,4837,4905,4971,5032,5117,5188,5194,5263,5347,5410,5461,5497,5547,5551,5583
4,7,40,48,72,75,90,94,98,109,199,234,325,413,509,576,608,677,763,836,912,998,1084,1125,1215,1286,1361,1441,1479,1512,1537,1572,1621,1670,1677,1751,1776,1791,1877,1958,2015,2098,2180,2267,2294,2365,2420,2481,2541,2585,2643,2711,2764,2811,2867,2928,2949,3002,3059,3086,3138,3193,3241,3281,3289,3294,3313,3341,3398,3447,3509,3525,3572,3598,3645,3666,3666,3679,3684,3687,3694,3730,3812,3830,3911,3999,4013,4090,4164,4247,4290,4333,4384,4440,4456,4498,4545,4565,4601,4633,4672
5,7,10,10,16,16,17,57,144,208,302,390,478,533,574,658,737,794,799,838,900,929,932,982,983,1010,1072,1084,1099,1131,1201,1273,1358,1414,1472,1533,1577,1631,1707,1771,1853,1918,2010,2101,2194,2204,2301,2394,2488,2585,2668,2734,2762,2848,2874,2928,2996,3070,3132,3183,3229,3276,3276,3276,3293,3307,3313,3329,3337,3394,3444,3486,3571,3661,3747,3837,3900,3998,4095,4176,4274,4372,4439,4457,4541,4613,4677,4747,4764,4814,4865,4882,4944,4962,5018,5067,5086,5118,5154,5239,5280
6,8,20,54,84,157,227,325,423,523,623,713,801,855,947,977,1058,1084,1107,1200,1287,1381,1470,1561,1656,1725,1785,1832,1875,1928,1995,2051,2073,2087,2128,2175,2222,2241,2261,2316,2332,2378,2431,2469,2496,2545,2640,2734,2822,2907,2961,3037,3109,3183,3275,3358,3389,3484,3569,3597,3619,3703,3795,3851,3891,3979,4074,4167,4249,4333,4374,4397,4405,4428,4481,4523,4537,4594,4669,4758,4848,4867,4908,4925,4986,5039,5085,5119,5165,5192,5221,5229,5251,5328,5413,5427,5509,5591,5602,5700,5795
7,6,11,22,108,154,244,272,342,368,434,484,555,568,636,687,742,805,866,936,973,1012,1021,1109,1199,1222,1316,1406,1502,1590,1604,1685,1760,1763,1782,1848,1899,1972,2012,2012,2012,2013,2032,2032,2032,2032,2032,2032,2035,2035,2128,2224,2240,2337,2436,2534,2622,2713,2743,2827,2865,2947,3019,3051,3093,3162,3171,3222,3286,3306,3353,3387,3400,3406,3495,3548,3569,3607,3698,3787,3885,3983,4050,4149,4244,4332,4414,4484,4538,4595,4677,4756,4792,4828,4912,4970,5038,5122,5151,5220,5220
8,6,8,12,16,32,45,100,100,100,184,194,225,324,414,501,563,601,691,763,795,849,911,958,1012,1032,1089,1138,1145,1145,1148,1195,1254,1269,1305,1343,1380,1416,1426,1439,1470,1486,1493,1567,1639,1715,1735,1776,1831,1886,1905,1918,1975,2043,2108,2169,2230,2282,2341,2361,2393,2422,2434,2485,2503,2577,2622,2644,2703,2763,2836,2883,2918,2978,3060,3134,3191,3230,3255,3317,3383,3424,3468,3546,3570,3635,3690,3751,3829,3901,3978,4003,4018,4082,4083,4106,4165,4241,4309,4328,4401
9,7,9,9,23,39,39,39,39,39,39,103,161,171,210,282,363,443,511,596,677,762,840,903,941,986,1051,1112,1138,1207,1253,1310,1336,1364,1440,1456,1529,1602,1687,1695,1780,1831,1871,1947,1999,2053,2113,2171,2230,2308,2367,2396,2473,2534,2573,2643,2724,2804,2864,2944,3026,3086,3092,3148,3235,3324,3410,3495,3558,3631,3675,3722,3737,3786,3825,3850,3900,3955,3973,4029,4092,4107,4167,4223,4282,4346,4386,4417,4465,4499,4552,4614,4651,4726,4781,4791,4831,4845,4881,4932,4987
10,8,49,50,51,71,83,182,272,353,419,511,547,626,711,799,843,918,1009,1090,1178,1267,1354,1420,1465,1498,1546,1572,1609,1673,1738,1762,1837,1926,2013,2042,2066,2073,2164,2227,2320,2329,2357,2436,2510,2531,2593,2654,2695,2724,2787,2849,2893,2957,3034,3117,3130,3167,3260,3333,3415,3504,3594,3624,3647,3740,3805,3887,3903,3909,3991,4082,4159,4229,4259,4315,4341,4400,4469,4536,4620,4665,4676,4755,4836,4855,4940,5009,5089,5132,5179,5190,5267,5275,5356,5437,5528,5612,5656,5676,5688
11,7,16,31,118,148,246,344,441,533,572,667,673,772,869,955,1045,1138,1228,1244,1325,1401,1474,1475,1517,1565,1634,1647,1739,1827,1923,1923,1934,1987,2059,2136,2225,2308,2352,2416,2477,2545,2623,2700,2773,2839,2913,2968,3023,3039,3088,3110,3143,3198,3242,3299,3316,3339,3380,3408,3434,3447,3492,3540,3587,3637,3674,3689,3727,3764,3799,3841,3918,3938,3982,4006,4055,4113,4129,4192,4210,4272,4276,4329,4389,4451,4517,4559,4561,4577,4579,4588,4599,4616,4619,4656,4702,4745,4755,4783,4835
12,7,30,47,117,185,194,247,265,330,398,495,508,608,694,767,852,920,938,1005,1078,1102,1109,1185,1222,1265,1312,1345,1395,1460,1518,1600,1650,1700,1758,1826,1891,1904,1952,1973,1973,1977,2012,2023,2079,2092,2138,2155,2224,2291,2347,2421,2498,2580,2618,2658,2667,2686,2715,2758,2791,2822,2898,2972,3046,3050,3089,3115,3131,3175,3240,3315,3387,3424,3445,3513,3567,3607,3621,3664,3730,3761,3823,3866,3881,3908,3941,3971,4003,4024,4033,4110,4178,4215,4270,4329,4379,4420,4474,4526,4578
13,7,12,58,88,162,240,326,415,508,535,582,606,705,794,883,907,998,1053,1068,1102,1172,1241,1272,1300,1393,1479,1562,1599,1683,1767,1851,1926,1990,2027,2063,2084,2154,2195,2268,2331,2406,2493,2541,2584,2658,2721,2726,2727,2762,2806,2849,2877,2884,2910,2935,3028,3077,3162,3170,3200,3278,3356,3415,3500,3583,3658,3691,3753,3817,3897,3973,4064,4152,4242,4331,4363,4463,4548,4559,4613,4630,4677,4688,4711,4742,4790,4822,4833,4850,4855,4875,4926,4986,5062,5101,5110,5152,5218,5222,5233
14,7,16,18,65,159,257,280,373,462,522,595,683,737,782,829,889,949,1020,1048,1116,1180,1219,1272,1320,1348,1387,1436,1528,1621,1704,1758,1853,1881,1974,1974,2015,2029,2030,2033,2089,2112,2128,2149,2215,2294,2312,2375,2442,2512,2598,2675,2719,2751,2769,2835,2893,2960,2969,3030,3056,3121,3175,3225,3274,3286,3336,3377,3414,3423,3480,3541,3594,3659,3718,3731,3762,3778,3838,3908,3970,4029,4067,4121,4175,4227,4287,4346,4407,4414,4423,4467,4526,4598,4671,4745,4766,4776,4857,4882,4886
