,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,7,33,123,178,179,184,184,230,303,341,398,422,470,493,540,583,637,712,798,855,926,949,998,1033,1088,1141,1162,1205,1281,1295,1384,1481,1508,1523,1537,1574,1622,1666,1686,1694,1720,1754,1796,1827,1858,1873,1900,1912,1933,1975,1985,2033,2088,2101,2171,2191,2265,2334,2398,2486,2512,2567,2639,2734,2816,2837,2858,2926,3020,3043,3111,3176,3245,3303,3367,3462,3556,3609,3691,3709,3800,3891,3932,4024,4105,4131,4205,4276,4291,4368,4410,4470,4510,4527,4587,4626,4663,4704,4759,4813
1,8,15,19,88,88,105,141,182,247,320,415,512,553,638,726,767,783,841,905,986,1081,1122,1155,1232,1279,1355,1389,1442,1495,1583,1628,1694,1706,1730,1770,1778,1861,1884,1897,1961,2043,2123,2158,2213,2268,2280,2352,2371,2379,2419,2445,2527,2619,2703,2745,2824,2827,2890,2987,3072,3163,3260,3277,3354,3417,3503,3567,3612,3685,3718,3776,3835,3865,3883,3957,4035,4124,4153,4227,4311,4320,4388,4477,4564,4575,4619,4711,4714,4748,4819,4893,4975,5067,5164,5261,5340,5389,5466,5545,5586
2,7,12,15,15,15,21,80,98,100,154,178,195,196,199,210,221,228,230,254,275,372,427,525,624,724,824,910,997,1069,1131,1198,1226,1286,1340,1425,1492,1522,1594,1613,1657,1679,1733,1794,1875,1922,1988,2065,2148,2199,2232,2255,2273,2280,2350,2429,2459,2542,2560,2608,2639,2651,2686,2743,2789,2829,2830,2858,2867,2922,2938,2953,2960,2993,3047,3066,3080,3094,3166,3226,3250,3315,3369,3435,3481,3555,3579,3608,3625,3692,3743,3807,3860,3888,3962,4033,4044,4097,4128,4180,4220
3,7,74,157,250,306,396,487,557,629,703,772,808,886,928,1015,1081,1137,1168,1177,1228,1326,1326,1341,1352,1352,1352,1352,1438,1515,1566,1628,1633,1648,1653,1655,1663,1672,1704,1762,1834,1878,1879,1906,1909,1924,2003,2020,2053,2127,2139,2203,2272,2352,2448,2546,2585,2675,2764,2844,2844,2850,2854,2861,2883,2889,2889,2935,2962,2991,3014,3027,3034,3042,3043,3054,3095,3152,3159,3184,3186,3189,3191,3193,3197,3217,3232,3232,3234,3234,3235,3315,3402,3466,3492,3543,3590,3606,3667,3702,3717
4,9,42,66,163,163,180,276,305,332,412,468,477,528,540,610,668,748,805,898,980,1074,1148,1226,1280,1355,1401,1408,1488,1580,1659,1736,1805,1879,1922,1986,2056,2110,2176,2225,2240,2263,2303,2326,2363,2376,2442,2523,2567,2644,2706,2722,2813,2869,2890,2959,3051,3105,3194,3286,3327,3384,3462,3553,3635,3710,3734,3770,3802,3817,3880,3930,3951,3961,3961,3961,3969,3987,4024,4053,4062,4095,4154,4232,4307,4363,4456,4525,4612,4664,4738,4777,4846,4869,4936,4981,5064,5111,5174,5258,5290
5,6,68,90,113,192,225,253,285,309,366,413,447,522,608,703,786,842,888,906,991,1031,1083,1141,1197,1208,1293,1388,1397,1401,1490,1572,1636,1636,1646,1683,1691,1751,1795,1885,1941,2030,2030,2035,2078,2092,2102,2113,2113,2113,2147,2170,2239,2273,2285,2345,2361,2365,2389,2414,2464,2500,2553,2564,2576,2613,2646,2659,2685,2696,2740,2812,2817,2844,2885,2897,2917,2932,2953,3022,3098,3108,3162,3188,3242,3268,3275,3289,3320,3348,3376,3396,3439,3470,3493,3501,3521,3605,3699,3767,3865
6,8,13,103,138,138,193,196,235,242,263,268,316,379,413,456,467,508,543,554,557,564,632,655,681,683,688,690,697,747,815,863,938,1014,1094,1178,1225,1240,1263,1300,1339,1385,1421,1451,1505,1571,1588,1679,1768,1793,1830,1848,1848,1848,1851,1859,1938,2010,2040,2073,2163,2223,2236,2329,2411,2504,2600,2668,2716,2749,2789,2813,2828,2853,2908,2970,2995,3041,3060,3098,3159,3208,3282,3334,3358,3428,3444,3514,3582,3646,3656,3729,3747,3803,3811,3827,3920,3978,3978,3978,3978
7,6,12,96,176,261,261,261,261,331,390,460,472,508,533,584,665,690,714,729,786,867,946,1031,1112,1201,1284,1368,1451,1529,1589,1609,1659,1682,1711,1780,1815,1878,1927,1951,2009,2098,2194,2274,2328,2346,2355,2385,2467,2554,2635,2650,2702,2747,2766,2810,2866,2951,2994,3077,3150,3207,3279,3312,3345,3352,3404,3430,3447,3476,3508,3576,3618,3631,3707,3794,3871,3935,4005,4019,4057,4118,4169,4196,4219,4241,4295,4337,4349,4362,4368,4390,4434,4475,4549,4634,4710,4789,4852,4920,4941
8,7,10,38,62,116,166,261,358,442,472,541,630,705,783,849,935,1013,1092,1176,1208,1279,1297,1373,1413,1449,1519,1567,1641,1727,1815,1893,1979,2062,2120,2181,2259,2348,2439,2456,2488,2507,2600,2688,2748,2830,2925,3019,3100,3135,3188,3223,3257,3321,3337,3352,3397,3477,3526,3579,3653,3723,3812,3901,3985,4027,4066,4103,4144,4160,4169,4173,4183,4227,4268,4317,4347,4400,4466,4498,4551,4574,4610,4669,4730,4745,4785,4799,4826,4889,4917,4927,4927,4927,4944,5044,5140,5208,5303,5328,5417
9,7,9,13,16,73,83,84,165,211,261,300,396,396,397,401,465,465,467,469,560,560,560,595,621,648,743,767,861,937,972,1059,1144,1220,1307,1387,1479,1505,1602,1696,1788,1877,1958,1986,2017,2085,2161,2204,2277,2362,2437,2461,2480,2483,2550,2590,2596,2617,2690,2749,2770,2854,2935,3019,3100,3173,3212,3257,3313,3331,3369,3457,3536,3614,3690,3781,3848,3881,3956,4051,4142,4212,4239,4319,4399,4495,4582,4662,4730,4804,4850,4907,4992,5064,5130,5199,5272,5326,5349,5362,5406
