,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,5,10,39,51,54,66,89,91,91,110,110,111,113,140,143,147,163,240,306,339,401,469,476,493,496,497,500,507,531,540,552,554,564,593,635,733,831,927,1018,1065,1098,1165,1223,1240,1264,1304,1394,1460,1513,1560,1603,1646,1655,1674,1730,1742,1756,1832,1845,1862,1863,1865,1872,1874,1878,1889,1915,1963,2030,2068,2082,2082,2082,2082,2083,2086,2086,2086,2086,2091,2094,2117,2120,2127,2146,2153,2153,2156,2160,2160,2163,2164,2164,2165,2249,2332,2388,2400,2427,2478
1,7,11,18,41,58,150,230,317,376,454,542,552,565,594,644,723,777,858,932,999,1015,1060,1129,1224,1304,1355,1355,1355,1355,1418,1446,1455,1490,1513,1578,1638,1717,1791,1816,1848,1887,1966,1973,1973,1983,1998,2030,2061,2083,2132,2205,2238,2307,2370,2403,2449,2455,2463,2495,2533,2615,2683,2753,2801,2831,2849,2869,2910,2969,3034,3097,3179,3250,3342,3431,3525,3535,3580,3580,3627,3699,3732,3770,3860,3935,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942
2,7,26,34,115,128,141,187,239,247,279,358,453,545,560,592,606,655,695,711,735,753,770,792,826,889,980,1015,1092,1153,1221,1284,1340,1403,1488,1576,1661,1739,1794,1887,1972,2045,2126,2200,2250,2339,2403,2428,2440,2461,2478,2503,2574,2612,2660,2711,2757,2808,2842,2856,2862,2888,2945,2981,3037,3121,3179,3246,3301,3370,3459,3552,3604,3629,3690,3712,3716,3716,3728,3768,3847,3909,3941,3949,3984,4004,4053,4099,4172,4259,4307,4313,4334,4352,4376,4391,4435,4493,4500,4504,4508
3,8,35,52,114,114,114,114,114,114,134,178,228,294,388,486,513,535,570,589,638,654,685,717,746,754,779,794,818,882,965,1052,1123,1197,1256,1338,1356,1399,1435,1487,1565,1637,1679,1770,1859,1914,1964,2009,2030,2038,2048,2094,2161,2213,2284,2358,2405,2477,2501,2548,2557,2588,2595,2621,2673,2727,2804,2880,2954,2970,2998,3071,3133,3209,3219,3222,3222,3256,3318,3396,3477,3540,3617,3664,3736,3808,3892,3969,4024,4112,4207,4307,4406,4503,4592,4662,4738,4824,4906,4999,5084
4,10,19,91,128,132,134,161,161,183,217,274,318,360,389,409,413,431,450,477,558,619,696,773,833,856,907,967,1037,1096,1168,1242,1282,1355,1423,1501,1559,1585,1594,1614,1648,1703,1713,1734,1741,1751,1778,1779,1781,1786,1789,1789,1793,1797,1809,1841,1908,1979,2061,2101,2136,2171,2179,2186,2200,2216,2225,2239,2250,2293,2332,2385,2464,2548,2606,2674,2727,2794,2836,2898,2969,3024,3066,3093,3110,3154,3217,3247,3309,3394,3446,3501,3536,3549,3575,3638,3684,3712,3730,3734,3737
5,7,10,21,70,127,137,181,206,285,294,305,318,324,359,409,466,467,467,467,467,467,467,467,467,467,469,475,488,503,527,550,578,615,679,713,737,768,821,879,942,989,1031,1085,1134,1203,1249,1276,1327,1394,1480,1506,1533,1593,1600,1623,1661,1674,1712,1767,1790,1799,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1825,1845,1858,1894,1962,2022,2051,2069,2074
6,7,31,48,59,65,65,74,121,133,139,167,176,180,181,181,259,275,303,358,438,503,513,551,636,677,748,781,836,857,895,931,970,984,1022,1063,1087,1122,1189,1217,1261,1267,1278,1283,1308,1314,1316,1316,1316,1316,1316,1316,1316,1327,1331,1355,1394,1458,1532,1620,1627,1645,1677,1754,1832,1915,1973,2027,2119,2199,2221,2259,2280,2313,2360,2457,2530,2607,2638,2684,2761,2815,2887,2964,3038,3057,3109,3168,3182,3209,3270,3325,3357,3437,3506,3592,3635,3718,3805,3841,3918
7,7,27,29,31,33,39,52,76,174,174,194,290,385,485,512,590,687,767,858,873,929,996,1072,1146,1235,1327,1424,1513,1539,1570,1624,1635,1652,1693,1776,1842,1892,1935,2008,2079,2106,2132,2156,2176,2233,2299,2308,2315,2330,2359,2414,2480,2526,2613,2709,2754,2848,2940,2985,3045,3123,3202,3292,3364,3364,3373,3375,3466,3563,3656,3733,3785,3808,3848,3889,3934,3977,4061,4137,4180,4240,4295,4369,4445,4525,4527,4527,4527,4527,4527,4527,4529,4529,4529,4529,4529,4529,4529,4529,4529
8,7,26,37,43,44,53,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,79,99,174,250,281,330,406,422,449,474,525,553,612,620,649,720,812,847,886,968,1034,1069,1111,1127,1138,1152,1195,1214,1244,1260,1303,1346,1403,1445,1510,1537,1595,1676,1732,1797,1879,1894,1924,1980,2043,2104,2185,2253,2294,2373,2426,2435,2448,2459,2486,2534,2596,2642,2664,2695,2748,2783,2787,2802,2871,2959,3059,3153,3246,3343,3404,3425,3447,3484
9,8,12,64,143,194,203,215,262,345,416,430,467,471,471,488,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,494,499,505,511,516,521,523,524,524,527,528,534,552,582,619,639,709,726,765,855,886,939,994,1013,1042,1088,1122,1130,1178,1260,1347,1406,1472,1519,1579,1658,1745,1820,1837,1870,1908,1992,2014,2100,2115,2127,2138,2212,2238,2290,2378,2418,2418,2419,2429,2467,2559,2659,2757,2846,2909,2926,2950,2954,2954,2954,2954,2954,2954,2954
10,8,53,92,117,141,143,206,225,256,321,364,417,507,531,570,609,629,636,639,650,682,688,694,716,774,818,913,949,1038,1134,1221,1295,1310,1340,1424,1444,1463,1480,1502,1518,1556,1581,1639,1699,1714,1742,1785,1810,1814,1819,1821,1821,1877,1950,2027,2063,2075,2079,2086,2090,2094,2094,2094,2094,2094,2094,2094,2095,2095,2095,2095,2095,2095,2095,2114,2170,2177,2196,2246,2265,2289,2352,2422,2440,2471,2481,2489,2504,2507,2537,2546,2557,2563,2586,2651,2666,2676,2679,2723,2765
11,7,13,30,57,58,83,83,84,88,94,144,168,174,176,224,251,288,384,477,560,573,598,636,705,799,883,934,970,1055,1144,1243,1338,1392,1453,1454,1454,1454,1454,1454,1458,1485,1524,1597,1597,1597,1622,1648,1680,1774,1867,1942,2014,2073,2093,2128,2210,2277,2351,2427,2514,2529,2546,2591,2604,2643,2733,2802,2868,2882,2934,3013,3061,3069,3076,3103,3146,3172,3217,3228,3272,3354,3369,3369,3369,3369,3383,3407,3439,3510,3513,3513,3513,3541,3558,3577,3595,3636,3733,3821,3895
12,7,29,52,60,85,110,133,152,171,226,226,226,227,227,250,259,337,337,337,337,337,337,337,337,337,337,337,337,337,344,362,391,434,438,446,465,494,558,575,601,676,765,848,935,952,979,1024,1109,1115,1136,1151,1159,1160,1162,1169,1194,1257,1324,1392,1436,1492,1565,1615,1663,1755,1767,1780,1782,1796,1822,1851,1893,1955,2036,2088,2135,2212,2295,2365,2397,2434,2448,2459,2471,2511,2520,2581,2656,2691,2739,2819,2842,2881,2930,2966,3037,3047,3047,3047,3047
13,7,10,11,25,87,163,201,232,311,403,496,577,611,611,611,611,611,611,622,623,623,623,651,661,668,734,798,842,904,940,1025,1117,1204,1257,1301,1329,1364,1427,1440,1450,1460,1461,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1475,1484,1486,1501,1521,1557,1603,1677,1750,1763,1811,1860,1908,1924,1932,1938,1957,1972,2064,2151,2220,2235,2261,2294,2344,2421,2516,2603,2698,2758,2814,2880,2943,2979,2992,3005,3041,3049,3098,3166,3213,3278,3341
14,7,23,87,99,114,127,145,189,218,240,268,290,353,354,354,354,354,354,354,354,354,354,354,367,384,401,415,446,496,595,682,776,867,957,1040,1130,1221,1226,1226,1236,1245,1255,1260,1266,1301,1358,1439,1477,1528,1538,1546,1558,1610,1649,1662,1703,1798,1798,1805,1837,1845,1855,1867,1879,1879,1880,1880,1884,1971,2063,2073,2107,2112,2131,2175,2204,2231,2300,2338,2379,2416,2441,2453,2462,2478,2493,2514,2558,2612,2701,2795,2882,2932,2941,2956,2961,2964,2974,2980,2981
15,6,14,52,149,232,232,234,235,266,271,286,355,401,409,421,435,454,491,494,495,511,519,567,598,639,658,678,742,825,843,866,874,888,929,1029,1119,1213,1308,1408,1486,1545,1604,1645,1657,1671,1679,1690,1690,1692,1727,1796,1841,1877,1893,1934,1993,2018,2022,2043,2101,2191,2252,2273,2282,2293,2342,2367,2400,2461,2552,2596,2599,2599,2599,2599,2607,2623,2641,2671,2699,2727,2731,2748,2799,2816,2861,2882,2902,2945,3026,3062,3068,3102,3184,3263,3358,3418,3479,3558,3636
16,8,24,59,76,91,107,107,107,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,155,168,190,213,288,344,349,351,357,366,383,461,477,511,599,676,691,714,728,745,792,819,873,897,916,941,990,1013,1100,1154,1211,1266,1268,1268,1268,1268,1268,1293,1300,1308,1309,1313,1339,1352,1383,1393,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399,1400,1408,1411,1421,1435,1457,1501,1520,1546,1569,1636,1664,1728
17,6,26,55,137,199,228,234,234,234,234,246,282,375,457,517,611,701,784,788,798,804,804,804,804,804,804,804,810,830,835,835,835,836,838,838,838,842,848,912,990,1031,1036,1036,1052,1057,1073,1090,1095,1103,1116,1120,1125,1127,1129,1132,1136,1137,1138,1161,1225,1285,1315,1317,1346,1382,1424,1466,1469,1469,1469,1471,1482,1496,1519,1521,1523,1526,1537,1545,1587,1652,1737,1775,1850,1924,1998,2016,2030,2078,2149,2175,2235,2264,2288,2320,2333,2348,2373,2378,2401
18,5,25,83,154,216,271,304,352,363,369,388,391,396,400,487,579,632,717,775,870,870,870,915,1001,1081,1088,1112,1136,1155,1204,1224,1264,1298,1352,1431,1475,1493,1536,1558,1628,1691,1756,1817,1869,1929,1970,2045,2056,2059,2066,2083,2104,2152,2157,2166,2167,2169,2178,2192,2198,2244,2254,2282,2302,2337,2424,2482,2538,2584,2630,2652,2697,2706,2719,2751,2801,2852,2877,2908,2910,2910,2910,2913,2915,2945,3024,3094,3162,3229,3283,3356,3399,3469,3490,3547,3616,3679,3723,3780,3839
19,7,8,31,35,47,54,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,61,66,75,83,89,98,102,104,104,113,113,113,113,113,113,113,113,141,205,279,314,363,460,550,640,665,685,741,825,910,949,1041,1102,1196,1271,1296,1368,1440,1445,1450,1473,1497,1581,1660,1691,1696,1718,1750,1809,1884,1930,1967,2015,2089,2089,2089,2089,2089,2089,2089,2089
20,8,14,18,60,78,95,180,277,356,386,452,454,461,466,467,472,504,572,633,648,667,676,710,744,770,822,826,848,876,888,914,973,1045,1133,1211,1297,1382,1438,1530,1580,1666,1755,1850,1892,1903,1959,1960,1968,1986,2020,2025,2030,2044,2092,2109,2129,2138,2168,2226,2241,2257,2302,2312,2315,2324,2363,2403,2434,2485,2499,2540,2599,2681,2776,2858,2958,3051,3143,3229,3324,3415,3419,3419,3419,3419,3419,3455,3512,3571,3623,3706,3754,3777,3782,3783,3787,3800,3813,3842,3849
21,8,8,13,45,51,71,102,202,225,275,374,472,477,477,508,508,509,536,557,602,700,704,704,704,704,716,739,751,758,760,761,763,814,816,816,816,816,833,866,916,998,1013,1069,1099,1121,1137,1176,1183,1195,1239,1271,1273,1290,1300,1342,1355,1410,1431,1445,1478,1529,1566,1625,1668,1701,1790,1814,1820,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1842,1882,1965,2040,2084
22,7,41,66,75,81,89,90,128,164,177,184,198,200,203,208,210,218,225,252,317,412,465,486,506,523,558,624,702,728,779,870,968,994,1038,1073,1100,1100,1100,1100,1100,1100,1116,1132,1185,1204,1225,1293,1361,1417,1477,1555,1587,1622,1626,1678,1744,1770,1842,1920,1947,2012,2025,2041,2061,2078,2092,2111,2150,2236,2309,2389,2449,2477,2505,2523,2580,2607,2663,2752,2777,2833,2928,2928,2931,2966,3030,3098,3132,3149,3164,3226,3287,3362,3448,3534,3577,3660,3741,3816,3902
