,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,6,24,47,80,118,143,174,199,229,264,295,390,416,450,480,500,521,540,560,584,613,638,667,683,697,712,736,759,792,814,845,874,901,924,939,962,985,1023,1051,1077,1102,1118,1134,1158,1169,1174,1189,1193,1209,1221,1246,1261,1278,1305,1333,1362,1394,1432,1466,1489,1520,1546,1592,1627,1653,1672,1701,1720,1740,1762,1763,1775,1823,1851,1880,1908,1927,1948,1979,2002,2029,2051,2080,2128,2163,2188,2215,2216,2221,2248,2318,2383,2411,2444,2464,2486,2509,2547,2576,2598
1,4,26,47,65,93,122,167,203,223,261,293,318,355,382,438,473,507,519,543,554,572,582,601,611,659,689,721,755,761,786,810,831,859,874,877,883,890,918,954,979,1002,1035,1061,1087,1099,1119,1142,1167,1195,1200,1207,1225,1237,1250,1267,1312,1338,1356,1390,1416,1434,1454,1478,1502,1526,1550,1573,1598,1624,1646,1669,1701,1729,1753,1775,1802,1821,1840,1859,1872,1894,1910,1933,1954,1960,1982,2016,2039,2071,2097,2121,2159,2183,2201,2222,2227,2234,2246,2264,2281
2,5,22,39,47,58,94,105,122,136,161,161,161,203,223,238,258,287,317,341,366,394,417,443,468,488,496,500,539,566,596,622,649,686,713,744,768,801,835,864,889,931,961,985,1007,1025,1042,1064,1085,1110,1131,1188,1211,1238,1276,1298,1325,1350,1379,1444,1490,1517,1549,1584,1615,1646,1670,1704,1741,1773,1793,1824,1855,1935,1948,1975,2008,2038,2095,2119,2144,2183,2212,2235,2252,2311,2340,2362,2383,2408,2437,2455,2478,2499,2499,2591,2625,2659,2682,2704,2739
3,5,86,142,173,203,234,264,290,316,338,363,394,423,444,463,483,502,523,547,575,596,661,672,685,697,719,719,726,803,827,854,876,897,921,921,923,925,939,964,991,1015,1044,1062,1080,1097,1120,1153,1172,1192,1213,1247,1269,1294,1323,1348,1372,1395,1435,1470,1483,1500,1530,1566,1591,1619,1655,1665,1684,1711,1742,1746,1750,1764,1765,1776,1800,1818,1841,1858,1875,1954,1961,1964,1975,1986,1988,1997,2041,2065,2086,2112,2136,2137,2145,2162,2195,2211,2231,2264,2291
4,3,14,34,56,80,93,108,127,134,148,164,189,212,241,263,285,307,336,371,405,435,472,473,473,473,473,473,473,473,473,473,473,495,546,561,575,595,619,621,621,621,621,621,621,633,635,654,683,707,748,769,787,808,834,913,938,967,989,1009,1031,1034,1047,1063,1091,1113,1130,1157,1176,1191,1213,1235,1235,1263,1299,1330,1336,1341,1355,1374,1394,1415,1441,1456,1487,1503,1531,1556,1580,1597,1616,1694,1707,1728,1754,1778,1805,1834,1856,1884,1925
5,10,44,82,82,82,82,106,133,159,163,177,204,285,304,316,341,345,367,384,429,449,472,502,521,543,577,603,638,649,661,674,693,706,724,750,772,779,798,861,881,896,919,939,959,984,1013,1037,1051,1072,1094,1113,1134,1166,1194,1215,1233,1258,1287,1321,1347,1424,1450,1463,1488,1488,1488,1564,1587,1608,1627,1696,1735,1763,1788,1812,1817,1834,1851,1870,1887,1907,1930,1960,1996,2022,2053,2129,2159,2192,2213,2232,2260,2281,2306,2334,2356,2368,2382,2397,2421
6,6,20,44,69,91,115,200,214,228,243,261,283,300,329,362,393,416,443,465,496,505,514,530,552,567,589,610,633,656,668,679,696,711,730,757,790,815,871,905,927,948,992,1017,1028,1050,1071,1088,1130,1146,1175,1190,1216,1266,1297,1321,1348,1372,1406,1427,1461,1491,1518,1550,1573,1604,1683,1702,1738,1769,1804,1826,1845,1846,1846,1871,1894,1910,1925,1939,1962,1995,2021,2040,2065,2093,2096,2108,2130,2158,2177,2188,2241,2262,2278,2311,2345,2413,2440,2468,2497
7,2,13,27,46,70,93,115,136,167,191,205,233,255,278,298,339,366,395,433,463,503,536,581,608,637,671,702,735,764,794,825,853,863,882,899,924,955,979,991,1018,1062,1102,1136,1165,1197,1228,1258,1285,1297,1307,1335,1361,1455,1477,1496,1516,1535,1552,1572,1583,1661,1684,1705,1735,1764,1798,1825,1849,1876,1902,1925,1951,1974,2001,2023,2052,2075,2097,2120,2150,2168,2187,2207,2218,2238,2261,2276,2306,2330,2355,2374,2399,2425,2427,2439,2463,2487,2516,2543,2569
8,10,31,60,90,106,123,149,175,205,236,260,288,288,293,300,304,314,335,365,433,467,493,520,561,592,619,652,688,712,740,760,779,800,822,853,858,864,872,884,900,919,939,962,979,1004,1025,1044,1060,1086,1103,1151,1171,1188,1220,1265,1290,1342,1365,1439,1468,1486,1507,1531,1555,1578,1605,1632,1665,1694,1720,1753,1777,1804,1837,1858,1879,1898,1923,1953,1972,1996,2026,2052,2077,2093,2116,2135,2159,2184,2207,2250,2309,2334,2343,2363,2390,2414,2448,2473,2503
9,5,19,33,60,74,99,126,141,161,220,252,285,310,331,363,390,417,442,454,472,496,517,565,593,630,653,685,704,711,711,711,711,719,745,755,771,786,788,800,816,833,848,871,902,934,969,997,1004,1032,1052,1080,1108,1130,1153,1162,1186,1204,1222,1242,1268,1291,1326,1344,1374,1422,1453,1492,1516,1534,1563,1594,1615,1637,1667,1698,1718,1807,1831,1852,1877,1904,1927,1954,1973,2007,2030,2052,2076,2103,2125,2146,2173,2191,2216,2241,2290,2321,2352,2377,2396
