,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,4,25,41,67,100,128,157,166,187,190,214,237,269,301,327,354,377,405,429,453,471,504,535,566,600,635,659,695,719,781,808,841,868,900,932,955,983,1015,1047,1082,1096,1120,1144,1176,1200,1235,1254,1279,1303,1336,1365,1392,1418,1472,1509,1556,1589,1613,1636,1652,1684,1704,1718,1737,1756,1781,1796,1819,1842,1866,1901,1928,1947,1965,1994,2014,2042,2065,2126,2150,2180,2201,2229,2258,2291,2298,2331,2369,2404,2442,2472,2497,2498,2519,2550,2585,2596,2616,2656,2676
1,5,21,21,41,73,96,128,148,167,191,277,311,340,371,397,424,452,486,509,532,548,575,664,693,723,751,783,799,828,854,880,907,941,959,986,1023,1060,1089,1112,1126,1152,1182,1219,1242,1265,1285,1298,1317,1345,1372,1401,1432,1454,1485,1509,1530,1558,1586,1611,1636,1652,1687,1724,1741,1757,1783,1800,1826,1859,1887,1914,1943,1982,2042,2070,2095,2123,2151,2175,2207,2233,2256,2282,2322,2351,2381,2397,2420,2447,2479,2500,2531,2561,2633,2665,2687,2714,2741,2770,2791
2,8,27,63,98,174,205,233,266,295,327,340,344,357,383,407,418,445,475,498,520,569,591,610,630,651,677,700,724,747,774,796,822,849,870,878,929,956,973,995,1026,1063,1090,1121,1148,1177,1204,1235,1258,1269,1286,1313,1338,1363,1388,1408,1499,1530,1566,1637,1641,1665,1693,1716,1742,1743,1765,1795,1822,1827,1852,1876,1962,1991,2022,2045,2069,2095,2116,2140,2164,2187,2206,2232,2279,2308,2348,2355,2355,2386,2409,2412,2456,2484,2508,2535,2551,2584,2612,2648,2690
3,5,32,58,88,119,141,168,257,298,344,385,424,459,487,523,553,589,624,665,707,742,776,807,834,857,884,920,945,976,1003,1025,1048,1077,1108,1138,1169,1196,1222,1244,1269,1281,1299,1318,1334,1347,1368,1389,1411,1431,1459,1476,1504,1530,1608,1634,1654,1719,1750,1789,1819,1854,1880,1901,1929,1964,1995,2021,2053,2076,2106,2133,2155,2178,2209,2214,2232,2259,2287,2365,2382,2409,2448,2474,2504,2602,2634,2661,2690,2716,2744,2764,2789,2798,2818,2841,2865,2895,2931,2949,2973
4,7,20,29,53,84,107,133,162,244,291,324,356,395,434,496,522,551,586,629,671,692,716,746,769,830,833,833,859,884,906,934,944,973,1009,1042,1075,1109,1143,1171,1195,1226,1262,1288,1327,1359,1391,1414,1444,1466,1498,1518,1542,1559,1585,1590,1610,1640,1681,1707,1734,1762,1786,1819,1830,1858,1881,1914,1934,1962,1981,1993,2016,2044,2070,2087,2111,2131,2153,2176,2204,2227,2246,2263,2287,2304,2329,2345,2367,2387,2413,2439,2467,2492,2582,2605,2628,2647,2672,2691,2719
5,6,44,82,109,144,175,175,202,223,248,270,302,302,329,362,394,415,431,459,510,530,560,584,609,625,723,760,784,822,918,938,957,981,1018,1030,1049,1069,1093,1116,1131,1152,1175,1193,1222,1246,1271,1312,1348,1387,1456,1487,1514,1537,1565,1589,1617,1639,1670,1700,1732,1743,1764,1835,1857,1879,1910,1927,1930,1953,1985,2014,2042,2066,2088,2116,2138,2165,2200,2224,2252,2287,2309,2332,2360,2388,2414,2435,2462,2470,2500,2531,2561,2577,2598,2624,2653,2689,2720,2743,2767
6,6,30,62,92,129,155,187,202,223,269,291,315,337,358,376,398,424,444,466,500,525,544,564,587,614,636,674,701,720,733,744,767,796,820,847,869,890,918,943,965,984,1011,1037,1045,1064,1088,1115,1129,1153,1177,1179,1225,1242,1270,1273,1284,1304,1322,1341,1370,1394,1414,1437,1459,1473,1492,1520,1537,1556,1576,1627,1664,1699,1725,1752,1769,1819,1851,1874,1900,1935,1965,2000,2021,2047,2080,2099,2128,2147,2167,2188,2208,2224,2244,2273,2298,2320,2336,2355,2380
7,9,65,94,121,149,192,224,254,260,291,314,343,376,407,434,468,490,509,533,555,582,606,630,664,694,722,757,787,814,847,889,918,954,991,1018,1046,1141,1179,1212,1238,1265,1296,1325,1358,1384,1393,1422,1453,1480,1502,1529,1552,1579,1642,1677,1677,1700,1716,1721,1740,1765,1784,1794,1885,1912,1935,1961,1985,2016,2040,2073,2101,2114,2131,2163,2174,2201,2267,2305,2324,2347,2376,2378,2401,2410,2422,2427,2450,2479,2513,2562,2612,2635,2662,2687,2698,2726,2758,2774,2799
8,7,30,57,86,117,138,163,189,221,248,282,307,353,390,411,433,458,482,511,537,562,586,612,649,690,720,739,765,786,815,847,869,902,936,960,984,1005,1029,1045,1103,1132,1158,1183,1203,1234,1258,1278,1302,1334,1358,1376,1400,1426,1455,1482,1498,1518,1540,1561,1594,1620,1640,1665,1685,1706,1720,1758,1796,1812,1823,1844,1864,1882,1901,1933,1961,1987,2007,2031,2055,2077,2105,2125,2149,2165,2188,2213,2234,2261,2285,2312,2400,2422,2448,2474,2499,2575,2597,2615,2630
9,7,36,68,90,106,130,148,165,184,210,246,274,302,324,350,383,405,434,460,493,516,550,587,618,634,655,688,718,749,757,763,784,811,830,847,875,899,924,952,971,995,1019,1046,1077,1085,1112,1144,1176,1206,1244,1281,1310,1336,1360,1384,1442,1473,1499,1517,1546,1571,1584,1602,1610,1627,1645,1675,1707,1737,1757,1782,1816,1838,1865,1911,1943,1981,2016,2052,2079,2103,2133,2157,2175,2197,2230,2254,2277,2303,2337,2373,2406,2443,2476,2506,2533,2561,2591,2657,2687
10,6,37,51,85,112,135,159,197,231,259,337,354,381,413,418,448,480,512,534,569,597,618,649,664,696,725,772,804,833,861,879,908,931,961,982,1009,1033,1061,1084,1108,1127,1154,1181,1202,1224,1235,1247,1269,1288,1305,1330,1348,1365,1382,1410,1441,1464,1489,1506,1523,1533,1553,1574,1594,1611,1623,1648,1675,1700,1726,1756,1779,1801,1831,1862,1893,1909,1933,1958,1980,2055,2074,2096,2109,2136,2159,2180,2210,2237,2303,2324,2360,2391,2422,2490,2514,2545,2568,2593,2616
11,4,74,115,144,208,238,271,299,325,353,355,373,393,464,491,552,587,615,641,671,702,727,756,784,805,831,857,911,941,970,977,989,1014,1038,1067,1092,1115,1142,1161,1178,1193,1211,1234,1305,1332,1360,1376,1405,1432,1460,1476,1496,1521,1545,1565,1593,1618,1645,1665,1695,1724,1741,1764,1792,1809,1837,1857,1880,1902,1927,1949,1966,1989,2044,2069,2101,2130,2154,2175,2210,2240,2260,2287,2321,2358,2386,2417,2451,2480,2506,2528,2548,2577,2606,2609,2622,2645,2669,2685,2705
12,7,38,72,93,162,194,232,258,278,303,323,348,372,405,428,445,461,482,549,580,607,643,670,697,715,747,771,836,860,892,928,963,1046,1073,1106,1142,1179,1192,1213,1234,1257,1279,1307,1321,1346,1357,1387,1420,1450,1478,1508,1561,1597,1633,1660,1684,1716,1744,1785,1803,1828,1849,1881,1912,1946,1975,2020,2040,2062,2089,2112,2141,2186,2201,2220,2248,2269,2297,2330,2359,2390,2419,2457,2481,2482,2502,2531,2563,2591,2617,2635,2648,2670,2694,2719,2744,2774,2825,2832,2856
13,6,27,60,150,167,197,236,268,286,316,338,365,389,413,432,459,496,529,542,555,590,620,626,655,687,701,728,757,784,815,853,880,904,937,945,956,981,999,1092,1117,1142,1171,1198,1230,1262,1268,1286,1305,1333,1365,1438,1469,1478,1505,1535,1565,1594,1624,1646,1671,1726,1755,1775,1785,1797,1826,1848,1872,1878,1898,1917,1918,1935,1950,1985,2008,2041,2071,2071,2103,2137,2163,2198,2230,2252,2276,2299,2325,2351,2374,2405,2436,2464,2491,2508,2531,2562,2576,2611,2623
14,5,31,100,144,178,211,233,260,285,309,323,343,367,390,418,487,513,528,553,578,604,609,619,637,650,659,670,670,693,714,784,810,836,837,847,878,911,937,960,987,991,1005,1037,1063,1089,1108,1134,1165,1195,1253,1280,1323,1349,1354,1375,1396,1417,1421,1454,1534,1570,1597,1613,1637,1663,1680,1698,1726,1754,1776,1797,1826,1854,1870,1899,1923,1954,1957,1974,1998,2015,2016,2038,2061,2086,2113,2140,2167,2191,2216,2239,2243,2315,2317,2331,2353,2398,2406,2424,2446
15,5,27,56,83,112,137,162,184,205,231,252,277,300,323,354,381,402,418,440,462,541,573,601,628,660,689,771,816,853,884,909,941,943,953,990,1010,1039,1042,1066,1086,1117,1144,1166,1196,1284,1314,1340,1372,1393,1418,1451,1477,1531,1567,1582,1601,1622,1648,1674,1698,1729,1753,1784,1808,1814,1843,1875,1902,1937,1968,1994,2020,2044,2063,2086,2115,2137,2157,2173,2228,2259,2283,2309,2336,2371,2395,2421,2445,2476,2506,2534,2549,2563,2586,2610,2630,2651,2678,2688,2693
16,5,26,51,82,111,122,142,159,191,218,254,280,287,316,339,363,426,465,497,528,551,576,601,636,665,690,725,747,767,834,918,939,962,978,997,1022,1046,1070,1110,1131,1151,1181,1211,1237,1259,1285,1308,1327,1356,1393,1415,1438,1456,1483,1504,1531,1559,1588,1607,1631,1653,1681,1712,1734,1757,1757,1782,1800,1825,1850,1874,1900,1925,1942,1965,1992,2016,2031,2054,2069,2097,2114,2139,2167,2191,2212,2235,2254,2261,2276,2301,2324,2343,2370,2391,2414,2425,2439,2471,2497
17,7,40,72,93,117,131,169,189,221,225,248,284,313,334,362,381,411,433,443,476,494,527,545,566,592,623,659,688,710,732,755,786,859,894,919,963,996,1019,1045,1065,1088,1117,1147,1164,1190,1215,1219,1240,1243,1264,1287,1312,1340,1371,1399,1420,1441,1455,1473,1504,1519,1542,1562,1588,1607,1633,1655,1682,1712,1734,1762,1771,1792,1795,1815,1834,1858,1889,1909,1933,1940,1958,1979,2000,2043,2080,2107,2137,2148,2168,2196,2224,2251,2255,2290,2309,2309,2331,2354,2382
18,1,35,38,57,81,112,138,164,178,200,263,296,334,358,383,419,450,480,517,534,556,587,684,722,758,783,814,854,858,871,887,903,948,985,1015,1040,1053,1076,1099,1115,1150,1187,1211,1232,1266,1291,1315,1345,1373,1394,1424,1448,1471,1499,1525,1553,1581,1603,1630,1655,1688,1706,1728,1748,1771,1803,1828,1846,1865,1892,1919,1930,1949,1973,2004,2028,2058,2080,2102,2127,2150,2180,2209,2230,2254,2274,2302,2327,2357,2385,2411,2432,2453,2479,2504,2507,2525,2558,2586,2617
19,3,16,38,65,90,116,142,164,186,216,243,266,279,301,326,369,401,434,468,489,517,536,561,567,590,623,651,680,710,736,736,744,768,788,819,845,866,896,923,944,971,998,1017,1037,1059,1079,1098,1115,1134,1152,1171,1185,1211,1232,1261,1288,1319,1342,1363,1391,1430,1460,1491,1521,1551,1578,1602,1622,1650,1681,1695,1709,1736,1762,1789,1809,1830,1853,1882,1905,1923,1945,1969,1999,2024,2045,2068,2092,2092,2110,2137,2163,2165,2183,2196,2215,2230,2247,2278,2298
20,8,28,50,75,104,138,163,194,220,247,272,297,320,372,405,439,463,492,522,552,577,611,631,656,677,701,723,752,774,795,824,853,881,910,932,940,962,1012,1038,1069,1069,1092,1112,1137,1160,1179,1210,1235,1270,1304,1332,1380,1460,1479,1511,1531,1555,1584,1606,1641,1674,1698,1729,1761,1785,1812,1833,1856,1881,1900,1915,1934,1956,1974,1998,2025,2044,2064,2081,2102,2122,2144,2173,2199,2217,2241,2241,2267,2286,2305,2309,2331,2357,2379,2396,2415,2435,2456,2484,2507
21,5,34,54,86,115,140,226,261,284,309,335,338,359,380,395,418,436,468,485,516,538,541,553,571,597,620,642,667,687,732,763,782,808,827,841,859,936,958,980,1002,1034,1057,1076,1104,1128,1159,1176,1198,1221,1249,1280,1314,1353,1394,1428,1459,1487,1514,1548,1560,1578,1605,1634,1636,1652,1672,1698,1722,1745,1767,1786,1798,1821,1842,1863,1887,1903,1925,1949,1971,1996,2023,2047,2072,2101,2129,2149,2181,2210,2268,2300,2334,2367,2396,2422,2449,2451,2478,2498,2526
22,8,36,67,89,109,135,161,188,214,220,233,250,279,306,366,396,403,421,436,458,478,500,520,526,547,563,581,600,621,645,660,687,711,739,774,807,813,825,836,855,875,882,981,1016,1044,1074,1082,1095,1119,1145,1159,1177,1204,1267,1291,1312,1331,1359,1416,1436,1441,1453,1521,1546,1574,1603,1625,1648,1655,1675,1695,1721,1743,1767,1789,1809,1829,1853,1874,1886,1911,1923,1994,2010,2039,2116,2150,2162,2184,2215,2219,2248,2276,2312,2338,2365,2400,2423,2444,2458
