,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,9,28,46,70,90,130,160,160,192,220,248,270,286,311,334,358,446,478,508,600,622,671,708,735,760,788,809,887,919,977,1005,1035,1073,1098,1113,1145,1173,1198,1214,1236,1263,1288,1289,1318,1318,1345,1367,1392,1409,1484,1518,1547,1575,1596,1627,1645,1668,1703,1737,1755,1784,1800,1821,1834,1859,1888,1921,1946,1968,1986,2002,2023,2048,2072,2096,2117,2140,2162,2186,2207,2230,2257,2266,2320,2332,2355,2355,2370,2393,2418,2418,2427,2450,2475,2497,2530,2555,2587,2614,2649
1,12,44,63,92,115,141,172,195,234,260,274,301,334,355,383,408,430,457,489,524,542,567,652,676,699,741,774,810,841,877,899,929,948,975,998,1026,1055,1105,1132,1158,1192,1221,1231,1255,1286,1317,1353,1378,1410,1413,1419,1436,1457,1477,1503,1524,1554,1570,1585,1610,1628,1652,1668,1689,1715,1736,1737,1750,1767,1787,1807,1831,1857,1887,1905,1926,1947,1971,1996,2025,2052,2075,2099,2132,2146,2164,2192,2223,2250,2267,2285,2309,2326,2340,2369,2404,2429,2461,2486,2490
2,10,44,53,62,91,115,147,173,181,197,205,220,239,267,298,320,348,377,405,413,460,497,571,600,612,635,652,677,702,734,764,801,839,848,860,885,907,926,992,1029,1059,1079,1094,1112,1140,1164,1185,1213,1238,1240,1310,1344,1368,1394,1418,1441,1468,1503,1533,1554,1580,1610,1689,1719,1748,1768,1799,1805,1833,1866,1897,1922,1948,1981,2014,2035,2063,2082,2113,2145,2150,2159,2173,2191,2212,2233,2238,2254,2278,2307,2394,2416,2442,2461,2485,2509,2530,2558,2578,2613
3,6,33,55,79,84,104,126,141,171,200,228,257,297,328,364,396,430,456,480,506,564,604,632,666,695,733,759,794,832,861,861,886,914,935,939,963,985,1011,1039,1059,1079,1106,1118,1136,1157,1181,1204,1230,1249,1268,1291,1321,1351,1373,1380,1405,1409,1419,1429,1434,1462,1490,1511,1584,1622,1653,1678,1700,1721,1748,1830,1858,1893,1914,1940,1970,1999,2024,2052,2083,2102,2123,2154,2166,2179,2199,2228,2239,2268,2301,2339,2375,2418,2426,2439,2455,2480,2502,2523,2544
4,2,21,42,72,96,131,154,179,207,229,255,279,300,324,348,365,392,415,436,458,484,500,519,548,583,607,634,656,682,718,739,766,796,834,855,879,910,933,955,982,1011,1032,1054,1089,1089,1113,1140,1163,1193,1286,1288,1316,1350,1374,1402,1433,1468,1496,1517,1545,1579,1608,1632,1645,1675,1703,1727,1754,1779,1801,1823,1847,1870,1895,1911,1924,1948,1975,1998,2020,2046,2078,2105,2119,2139,2158,2164,2186,2219,2241,2269,2342,2376,2415,2450,2484,2523,2555,2582,2611
5,6,33,53,56,76,96,119,147,174,192,215,243,272,297,297,315,343,367,401,426,428,440,466,493,528,543,569,592,609,634,658,687,732,760,786,823,859,953,982,1012,1039,1067,1093,1112,1129,1144,1170,1202,1227,1256,1276,1295,1313,1345,1359,1380,1408,1436,1463,1484,1512,1563,1592,1622,1653,1677,1705,1734,1761,1787,1820,1848,1875,1902,1927,1962,1985,2000,2004,2023,2053,2078,2109,2199,2230,2250,2286,2320,2342,2366,2390,2408,2427,2452,2475,2494,2518,2562,2590,2673
6,6,43,67,94,118,139,159,181,209,232,274,303,326,359,395,422,448,467,489,508,527,554,589,614,646,673,703,729,765,823,857,876,892,922,938,958,980,1003,1026,1058,1061,1087,1112,1137,1168,1190,1223,1253,1271,1292,1307,1335,1368,1396,1424,1444,1469,1505,1538,1565,1587,1618,1640,1668,1693,1719,1747,1771,1794,1817,1838,1865,1894,1899,1928,1947,1968,1997,2022,2046,2068,2092,2112,2173,2265,2293,2319,2347,2376,2406,2436,2472,2498,2525,2535,2548,2572,2596,2625,2648
7,5,30,55,129,166,202,232,254,277,300,335,348,373,414,452,458,478,520,555,576,591,623,655,681,711,734,751,777,809,877,906,938,973,1010,1041,1067,1094,1121,1148,1168,1192,1204,1221,1235,1255,1287,1312,1333,1354,1375,1402,1428,1457,1477,1501,1527,1548,1575,1601,1628,1652,1674,1694,1717,1744,1765,1784,1805,1828,1848,1876,1972,2001,2020,2042,2059,2090,2118,2126,2148,2181,2208,2231,2235,2244,2258,2282,2310,2338,2362,2385,2412,2435,2463,2479,2504,2530,2556,2582,2594
8,7,27,27,52,73,104,148,195,236,262,289,320,352,379,417,450,475,505,536,559,589,627,657,686,717,738,770,805,831,856,877,954,983,1014,1042,1066,1096,1097,1115,1144,1184,1213,1239,1255,1281,1306,1320,1352,1376,1400,1423,1452,1484,1507,1533,1557,1564,1591,1608,1625,1643,1671,1692,1710,1735,1747,1768,1791,1822,1859,1888,1918,1941,1963,1988,2013,2039,2065,2082,2103,2133,2153,2178,2208,2234,2251,2278,2292,2308,2328,2352,2395,2465,2490,2511,2535,2577,2598,2666,2694
9,5,27,56,77,96,119,145,171,212,239,275,286,305,330,351,385,411,433,454,481,500,525,544,567,570,585,619,646,672,685,711,731,752,772,794,810,862,885,909,954,989,1019,1038,1065,1068,1093,1120,1151,1176,1198,1238,1273,1299,1321,1344,1349,1361,1371,1372,1405,1450,1483,1524,1557,1582,1606,1632,1660,1684,1691,1721,1754,1787,1816,1839,1869,1900,1916,1937,1963,1994,2010,2036,2057,2082,2098,2114,2133,2153,2177,2203,2219,2245,2269,2283,2299,2321,2345,2375,2387
