,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,4,33,99,120,141,165,192,221,238,272,292,316,342,374,409,435,458,484,501,582,608,627,655,677,709,743,773,794,885,918,943,969,996,1020,1046,1068,1129,1155,1185,1210,1238,1261,1291,1314,1332,1337,1362,1388,1415,1438,1465,1484,1525,1558,1588,1612,1632,1654,1677,1700,1724,1753,1769,1790,1811,1838,1861,1880,1905,1936,1955,1957,1961,1971,1995,2014,2042,2066,2093,2106,2121,2150,2161,2183,2208,2228,2259,2289,2316,2328,2352,2363,2381,2384,2403,2428,2452,2477,2503,2527
1,7,30,58,91,131,156,188,214,246,271,296,319,344,379,409,448,477,515,548,574,590,615,631,646,660,676,697,719,724,741,757,779,804,839,853,879,894,921,946,968,993,994,999,1012,1034,1057,1065,1080,1107,1133,1151,1174,1203,1235,1255,1288,1320,1349,1383,1411,1437,1457,1482,1518,1548,1573,1600,1631,1639,1651,1670,1685,1708,1732,1755,1758,1773,1800,1800,1823,1823,1835,1851,1875,1905,1919,1943,1977,1989,2015,2038,2071,2099,2122,2145,2169,2218,2235,2265,2293
2,10,41,70,103,124,165,197,230,265,280,299,330,355,379,381,394,420,438,463,495,524,537,555,558,575,616,658,691,738,759,770,790,820,850,875,904,938,965,992,1021,1051,1074,1104,1132,1165,1194,1220,1246,1268,1289,1309,1335,1361,1381,1403,1425,1460,1481,1481,1486,1504,1514,1543,1571,1599,1617,1639,1663,1686,1706,1750,1778,1806,1828,1850,1876,1895,1916,1936,1959,1960,2042,2059,2088,2115,2130,2148,2166,2195,2209,2225,2243,2262,2280,2303,2303,2303,2303,2303,2303
3,5,20,47,77,97,124,155,185,209,236,261,261,263,270,284,306,364,394,411,440,460,465,471,490,513,540,559,587,611,633,654,677,701,722,775,807,826,844,853,881,908,940,976,976,976,976,976,998,1027,1027,1031,1046,1063,1096,1130,1158,1160,1165,1174,1185,1210,1240,1271,1295,1321,1354,1383,1410,1445,1473,1499,1528,1560,1580,1603,1635,1664,1692,1723,1748,1778,1810,1829,1829,1835,1855,1935,1965,1992,2031,2063,2095,2120,2149,2181,2185,2209,2233,2252,2258
4,5,27,56,86,117,150,170,196,219,246,270,316,337,369,394,424,463,498,535,561,563,586,588,594,603,621,650,675,717,746,776,801,830,853,875,888,914,944,972,1000,1020,1029,1048,1077,1108,1113,1133,1167,1195,1214,1245,1261,1287,1317,1339,1364,1380,1403,1432,1474,1500,1523,1554,1582,1604,1608,1633,1659,1683,1714,1749,1771,1791,1819,1848,1909,1940,1969,1981,2002,2035,2066,2092,2094,2109,2131,2156,2182,2241,2268,2291,2323,2353,2390,2422,2444,2444,2444,2444,2444
5,10,27,32,42,79,108,191,221,290,318,351,376,402,416,445,467,485,513,535,550,581,599,616,634,656,706,737,767,792,823,850,873,900,923,951,986,1015,1036,1057,1073,1103,1122,1149,1176,1207,1234,1264,1289,1289,1297,1324,1408,1441,1466,1497,1529,1543,1546,1566,1605,1641,1673,1701,1733,1769,1770,1778,1806,1825,1853,1889,1899,1927,1951,1976,2010,2043,2064,2089,2113,2147,2175,2203,2242,2264,2274,2338,2356,2386,2416,2456,2479,2506,2535,2553,2594,2615,2627,2653,2676
6,5,15,39,60,88,120,143,160,190,221,248,281,306,328,349,373,393,422,447,472,491,493,516,544,554,582,598,625,663,686,711,729,761,772,772,775,788,805,861,898,919,936,958,988,1008,1041,1067,1083,1102,1122,1148,1179,1202,1216,1236,1253,1258,1301,1323,1346,1369,1394,1408,1419,1439,1450,1475,1487,1513,1534,1556,1581,1606,1621,1644,1669,1691,1715,1749,1771,1791,1814,1897,1921,1951,1978,2005,2036,2064,2068,2087,2132,2162,2191,2221,2255,2280,2308,2334,2364
7,4,29,43,62,89,109,137,169,198,215,228,251,282,302,326,356,379,405,436,464,492,516,535,566,600,609,626,649,668,688,709,720,733,750,777,804,833,857,898,912,928,954,982,1008,1042,1070,1095,1126,1155,1194,1215,1238,1261,1298,1334,1360,1384,1409,1445,1473,1505,1522,1543,1574,1611,1636,1701,1723,1757,1779,1798,1817,1916,1951,1984,2024,2056,2075,2099,2119,2148,2175,2232,2273,2299,2327,2347,2379,2388,2410,2468,2508,2535,2549,2576,2601,2632,2681,2699,2721
8,5,31,60,71,98,136,213,252,292,320,341,372,398,427,454,486,510,542,570,595,625,647,671,700,722,757,780,802,831,847,871,903,908,928,950,980,982,1008,1045,1101,1139,1144,1151,1162,1186,1218,1226,1266,1277,1289,1308,1346,1434,1460,1496,1529,1552,1581,1600,1622,1633,1651,1673,1702,1717,1732,1753,1791,1820,1847,1857,1868,1890,1914,1938,1964,1980,1989,2008,2030,2054,2069,2093,2098,2100,2109,2128,2147,2166,2189,2209,2229,2247,2268,2289,2357,2381,2411,2450,2460
9,5,16,27,31,48,73,96,121,192,219,248,327,406,431,458,485,516,543,603,636,681,704,725,749,777,812,816,826,842,863,880,897,920,946,955,970,986,999,1025,1045,1066,1077,1095,1120,1141,1160,1184,1209,1235,1258,1284,1314,1342,1360,1389,1393,1430,1447,1476,1496,1515,1541,1591,1613,1633,1663,1684,1770,1798,1804,1814,1838,1866,1884,1967,1993,2019,2048,2095,2124,2156,2187,2210,2232,2264,2297,2328,2354,2382,2382,2392,2417,2444,2485,2504,2526,2550,2572,2597,2619
10,7,34,60,89,146,191,222,248,281,310,330,357,378,398,475,510,551,582,603,697,750,777,805,810,838,872,896,896,908,938,958,978,1002,1040,1062,1082,1111,1136,1170,1200,1229,1320,1346,1372,1409,1438,1513,1540,1573,1600,1612,1646,1673,1712,1740,1778,1792,1806,1831,1858,1878,1891,1913,1944,1970,1992,2020,2047,2072,2102,2135,2170,2200,2228,2256,2282,2311,2337,2359,2394,2415,2451,2473,2490,2515,2551,2573,2600,2626,2659,2694,2716,2747,2774,2807,2841,2870,2901,2973,3004
11,4,24,47,79,111,138,169,205,227,308,339,366,391,415,431,449,474,496,518,544,568,592,614,643,660,685,709,725,744,768,792,810,831,835,860,890,920,948,981,1013,1043,1076,1098,1123,1153,1183,1189,1207,1235,1268,1305,1335,1363,1392,1418,1438,1441,1462,1494,1521,1554,1583,1601,1610,1632,1650,1671,1766,1790,1815,1839,1866,1962,1984,2016,2040,2066,2100,2128,2159,2185,2203,2222,2236,2257,2273,2295,2313,2332,2350,2383,2406,2429,2460,2477,2495,2520,2547,2572,2603
12,9,19,39,63,86,115,142,169,198,217,237,269,292,315,333,352,374,394,416,438,461,533,562,586,609,638,709,744,777,793,820,840,871,899,919,954,980,1005,1014,1038,1047,1058,1073,1090,1105,1122,1140,1165,1194,1230,1260,1283,1304,1331,1354,1372,1392,1417,1417,1421,1431,1431,1431,1431,1431,1444,1476,1495,1515,1534,1553,1572,1596,1609,1609,1623,1648,1686,1687,1710,1750,1779,1811,1835,1884,1917,1949,1978,2005,2021,2046,2077,2094,2110,2130,2153,2183,2205,2222,2248
13,7,28,50,71,96,121,130,157,192,227,259,286,319,348,375,410,443,473,506,543,552,565,571,585,608,620,637,654,689,696,736,776,799,828,859,881,904,932,965,994,1028,1102,1126,1149,1167,1194,1213,1236,1256,1284,1308,1327,1338,1371,1410,1442,1472,1560,1581,1605,1605,1617,1653,1678,1708,1734,1755,1781,1805,1835,1852,1874,1906,1938,1963,1982,2033,2057,2069,2080,2094,2111,2142,2171,2199,2221,2250,2280,2302,2335,2367,2397,2420,2442,2470,2488,2514,2599,2624,2651
14,7,16,42,63,78,104,135,163,181,198,219,247,269,298,328,354,384,405,436,465,493,519,560,595,624,654,687,707,741,776,803,831,857,882,910,923,931,946,959,1028,1054,1076,1100,1128,1148,1167,1191,1211,1231,1253,1272,1298,1317,1345,1372,1386,1395,1409,1429,1447,1450,1469,1496,1522,1544,1578,1608,1631,1651,1679,1718,1746,1772,1806,1835,1869,1900,1922,1954,1982,2010,2039,2113,2134,2155,2172,2203,2230,2263,2279,2304,2322,2345,2373,2398,2419,2434,2453,2473,2495
15,5,47,71,101,126,156,191,218,244,275,301,325,350,372,391,403,422,442,457,474,496,516,541,570,581,608,641,646,661,677,702,724,752,774,793,826,859,882,910,934,953,984,1010,1014,1033,1066,1096,1120,1154,1178,1202,1225,1246,1271,1297,1321,1350,1362,1373,1397,1419,1447,1467,1542,1579,1590,1615,1635,1654,1664,1677,1727,1764,1791,1819,1841,1870,1891,1935,1964,1994,2029,2063,2090,2117,2147,2175,2230,2266,2289,2313,2353,2380,2415,2444,2479,2503,2527,2559,2566
16,2,21,36,65,93,129,155,175,229,250,282,314,342,413,437,468,492,496,509,537,570,613,645,683,719,747,781,861,881,910,945,1009,1040,1070,1105,1130,1152,1167,1184,1210,1242,1270,1285,1304,1331,1359,1387,1404,1425,1449,1480,1503,1521,1552,1576,1600,1623,1639,1656,1675,1678,1706,1727,1748,1769,1803,1812,1840,1863,1894,1911,1946,1984,2007,2040,2064,2087,2111,2138,2164,2187,2206,2233,2253,2277,2358,2379,2405,2429,2459,2493,2502,2538,2561,2568,2588,2611,2611,2614,2629
17,7,26,50,74,92,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,146,178,210,236,267,273,294,317,338,356,380,405,431,492,524,552,580,611,640,671,698,754,784,804,866,901,922,1010,1033,1052,1084,1109,1138,1156,1180,1189,1205,1238,1274,1310,1336,1348,1372,1397,1420,1453,1489,1524,1551,1581,1641,1668,1693,1716,1748,1782,1814,1843,1873,1901,1935,1951,1971,1987,2006,2028,2069,2101,2124,2148,2171,2236,2258,2277,2304
18,8,35,64,87,121,138,158,182,201,212,262,285,325,400,438,464,501,523,551,576,596,616,632,661,690,720,751,779,803,831,857,884,912,935,959,986,1012,1040,1071,1073,1080,1091,1114,1116,1129,1160,1174,1190,1218,1267,1292,1324,1347,1373,1390,1412,1445,1471,1489,1507,1530,1550,1576,1604,1624,1635,1659,1693,1758,1788,1816,1842,1854,1879,1911,1982,2008,2042,2070,2091,2132,2160,2186,2208,2236,2266,2288,2321,2343,2361,2363,2382,2405,2431,2474,2510,2544,2569,2597,2619
19,8,30,52,87,118,141,165,194,220,241,304,344,368,396,424,453,483,504,525,554,584,617,644,667,731,754,785,812,839,862,887,918,947,1003,1030,1052,1078,1097,1111,1132,1138,1151,1161,1182,1214,1226,1248,1277,1306,1335,1365,1384,1408,1430,1448,1470,1491,1516,1545,1552,1575,1599,1633,1655,1683,1702,1722,1752,1777,1812,1847,1921,1953,1979,2013,2042,2058,2086,2118,2141,2162,2194,2218,2244,2244,2257,2276,2308,2336,2369,2398,2423,2445,2480,2509,2541,2563,2585,2603,2627
20,5,26,49,79,99,117,144,167,192,219,244,273,307,340,367,383,404,422,440,465,498,528,560,592,623,639,664,690,707,728,759,788,811,834,857,865,887,891,915,949,976,1001,1031,1124,1145,1152,1164,1178,1201,1236,1250,1275,1309,1337,1365,1398,1428,1458,1492,1516,1553,1583,1612,1639,1668,1693,1718,1734,1790,1822,1881,1911,1936,1959,1998,2027,2048,2055,2073,2105,2135,2163,2192,2197,2220,2246,2278,2302,2332,2353,2380,2447,2479,2512,2545,2546,2564,2601,2603,2625
21,7,35,39,59,97,133,174,208,216,245,271,304,326,349,379,400,423,437,459,491,523,531,548,568,589,614,634,645,673,702,712,746,771,798,833,856,885,894,912,963,990,1009,1044,1117,1146,1177,1197,1233,1251,1273,1299,1308,1321,1325,1331,1353,1379,1405,1414,1426,1445,1467,1489,1511,1540,1567,1591,1610,1643,1666,1688,1695,1714,1734,1802,1828,1851,1875,1901,1969,1970,1975,1997,2027,2051,2087,2112,2133,2155,2181,2202,2233,2262,2284,2308,2335,2357,2385,2407,2433
22,1,15,36,57,76,103,124,153,164,183,200,225,244,275,300,320,347,375,391,414,441,466,496,518,544,545,546,548,552,563,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,613,640,674,704,750,767,794,818,890,922,939,969,994,1015,1043,1072,1085,1123,1161,1186,1220,1254,1283,1309,1337,1374,1402,1430,1447,1469,1501,1527,1554,1587,1610,1635,1657,1676,1705,1715,1728,1753,1776
23,6,60,94,126,158,187,218,254,284,313,331,351,370,393,423,456,468,487,514,542,568,612,637,674,707,744,779,815,816,824,843,860,890,912,936,948,964,993,999,1017,1040,1062,1065,1071,1091,1116,1199,1217,1225,1246,1273,1283,1303,1326,1345,1371,1411,1440,1459,1488,1511,1538,1578,1610,1637,1669,1697,1718,1741,1760,1783,1811,1834,1855,1884,1912,1933,1960,1982,1999,2015,2032,2054,2080,2106,2130,2154,2179,2193,2219,2231,2239,2263,2325,2345,2369,2392,2416,2436,2466
24,2,15,45,67,101,126,145,195,221,221,221,221,221,221,230,238,248,265,286,309,332,356,380,410,430,450,473,494,522,568,600,630,657,684,707,730,759,792,814,823,848,887,919,934,971,996,1029,1053,1084,1121,1135,1160,1220,1251,1286,1316,1349,1389,1420,1442,1450,1479,1516,1552,1581,1667,1695,1721,1750,1776,1799,1837,1870,1875,1886,1905,1923,1942,1958,1982,2008,2022,2043,2059,2085,2103,2117,2134,2154,2181,2214,2245,2256,2270,2286,2309,2328,2349,2399,2421
25,6,7,14,44,80,113,144,177,208,237,261,277,298,317,343,370,400,421,444,470,503,529,549,574,603,634,660,678,703,729,752,777,796,818,840,867,874,883,897,914,933,957,983,984,989,1008,1025,1037,1065,1093,1129,1148,1169,1190,1214,1243,1263,1269,1286,1304,1326,1355,1383,1397,1413,1436,1471,1505,1531,1557,1579,1604,1657,1706,1737,1768,1791,1817,1845,1875,1890,1920,1953,1983,2012,2039,2061,2080,2104,2104,2120,2150,2183,2216,2246,2277,2308,2337,2366,2373
26,6,70,105,134,165,176,189,200,221,247,270,297,319,342,372,393,417,424,439,457,481,556,576,604,628,656,682,710,739,766,787,810,829,849,849,849,849,849,849,849,849,850,856,867,898,912,937,963,984,1009,1027,1056,1081,1109,1128,1149,1179,1206,1234,1257,1281,1320,1349,1380,1398,1418,1440,1459,1485,1499,1519,1544,1565,1579,1606,1632,1661,1719,1749,1775,1805,1834,1868,1890,1916,1942,1976,2005,2034,2069,2081,2107,2126,2215,2246,2275,2308,2333,2362,2383
27,10,47,76,95,120,136,161,195,284,314,343,403,431,453,485,493,518,547,575,590,613,625,644,665,677,697,733,767,797,832,863,898,929,948,949,953,979,1009,1044,1075,1114,1139,1139,1142,1161,1194,1268,1289,1318,1339,1354,1378,1399,1427,1431,1431,1437,1460,1481,1500,1524,1549,1559,1585,1614,1632,1654,1679,1705,1722,1742,1760,1787,1809,1830,1850,1878,1909,1931,1962,1990,2004,2030,2053,2083,2110,2133,2153,2173,2194,2203,2223,2249,2280,2302,2327,2357,2391,2425,2446
28,8,36,66,83,102,132,195,223,247,276,305,326,357,382,399,422,451,470,493,532,558,588,597,611,629,649,677,702,727,745,773,795,818,842,869,890,908,929,950,970,997,1024,1048,1075,1099,1128,1156,1177,1188,1204,1216,1236,1259,1281,1306,1332,1350,1375,1411,1443,1471,1493,1512,1532,1602,1632,1658,1691,1722,1754,1775,1798,1829,1858,1883,1911,1940,1963,1987,2015,2038,2064,2090,2118,2144,2173,2201,2229,2256,2279,2298,2325,2364,2403,2413,2435,2489,2531,2565,2584
29,5,27,55,83,117,146,176,209,268,298,335,370,403,433,463,488,515,543,564,596,631,660,687,711,741,761,785,809,830,860,884,888,903,928,955,977,1001,1031,1055,1079,1102,1120,1152,1184,1206,1227,1246,1269,1292,1316,1352,1368,1393,1420,1444,1471,1498,1517,1575,1609,1641,1666,1701,1731,1762,1806,1849,1943,1965,1999,2017,2047,2074,2103,2125,2145,2171,2203,2233,2257,2262,2282,2297,2322,2346,2377,2398,2414,2440,2463,2489,2526,2553,2575,2593,2621,2653,2677,2701,2719
