,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,3,24,45,65,85,111,130,154,170,191,212,230,252,275,300,329,353,366,392,424,444,506,531,557,591,615,634,652,667,685,708,732,756,776,799,883,917,942,977,997,1025,1036,1051,1072,1087,1110,1133,1154,1164,1164,1164,1164,1164,1164,1165,1172,1182,1224,1246,1269,1287,1316,1342,1358,1387,1400,1434,1443,1459,1460,1469,1481,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1492,1514,1534,1537,1548,1555,1577,1601,1629,1656,1681,1696,1717,1742,1760,1785
1,4,26,53,81,103,133,151,163,187,208,238,325,349,373,421,460,476,497,543,563,587,610,615,620,632,647,668,687,714,739,767,790,814,838,865,894,917,946,973,998,1019,1055,1085,1115,1143,1172,1201,1222,1248,1273,1302,1326,1357,1388,1413,1435,1462,1478,1496,1527,1546,1574,1601,1630,1657,1682,1697,1697,1708,1726,1751,1778,1799,1855,1868,1900,1918,1945,1955,1968,1991,2037,2037,2037,2037,2037,2043,2059,2080,2104,2128,2154,2180,2199,2217,2239,2256,2284,2317,2417
2,7,13,16,16,16,16,16,16,16,16,16,16,16,16,16,18,33,53,91,96,190,210,240,277,330,346,377,413,450,480,508,535,564,594,620,651,679,710,736,760,779,817,897,930,961,992,1027,1060,1060,1065,1066,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1086,1109,1129,1161,1189,1216,1247,1268,1367,1401,1431,1459,1484,1499,1572,1600,1621,1640,1666,1685,1707,1729,1751,1822,1845,1870,1888,1903,1927,1951,1970,1995,2014,2048,2070,2096,2135,2151,2179
3,9,28,56,75,106,138,159,176,193,221,246,271,314,351,356,376,412,455,455,465,476,492,518,548,576,600,620,645,677,703,727,752,781,809,836,853,876,897,917,940,1033,1041,1047,1055,1072,1091,1120,1144,1172,1201,1224,1307,1340,1371,1397,1424,1459,1467,1481,1491,1500,1509,1516,1531,1555,1576,1604,1646,1678,1704,1728,1757,1789,1821,1838,1857,1884,1907,1915,1934,1966,1985,2016,2048,2097,2125,2153,2169,2195,2211,2295,2323,2400,2442,2476,2504,2536,2572,2584,2638
4,8,31,43,66,88,117,146,172,197,220,246,335,358,379,403,420,452,473,498,524,551,551,559,622,641,672,712,735,742,750,769,790,806,823,847,861,890,918,942,965,982,1005,1032,1055,1077,1104,1125,1142,1159,1198,1215,1246,1281,1306,1328,1360,1398,1419,1449,1475,1548,1589,1627,1656,1665,1689,1715,1739,1762,1806,1830,1859,1882,1955,1980,1999,2033,2056,2071,2091,2116,2136,2154,2179,2201,2228,2248,2272,2305,2328,2356,2380,2410,2440,2454,2465,2495,2517,2534,2540
5,6,24,50,85,116,144,162,197,227,253,282,310,334,359,397,434,463,494,530,537,539,592,620,649,675,698,769,801,825,844,869,881,897,924,949,1019,1043,1094,1120,1145,1169,1198,1229,1257,1279,1297,1318,1335,1355,1379,1406,1434,1467,1494,1515,1538,1561,1614,1637,1666,1673,1694,1720,1745,1774,1807,1831,1854,1875,1900,1928,1953,1975,1991,2013,2032,2061,2083,2123,2147,2149,2161,2176,2195,2201,2224,2242,2265,2289,2316,2343,2367,2388,2418,2441,2466,2504,2532,2562,2587
6,5,21,48,69,99,124,150,174,200,224,249,269,290,322,354,381,411,443,477,504,514,549,576,591,623,650,681,722,766,800,823,852,876,907,925,949,963,980,1000,1014,1035,1049,1054,1063,1104,1123,1143,1170,1186,1207,1217,1232,1254,1287,1313,1320,1328,1342,1362,1381,1399,1415,1441,1467,1552,1564,1583,1593,1599,1606,1618,1629,1647,1664,1677,1698,1720,1734,1763,1789,1821,1846,1928,1940,1970,1996,2018,2041,2042,2058,2089,2118,2138,2167,2185,2207,2224,2248,2279,2309
7,7,39,58,147,184,212,232,255,283,313,340,370,385,415,447,470,494,512,547,572,604,632,651,673,698,731,758,772,791,840,870,896,933,959,988,1017,1051,1077,1097,1119,1140,1174,1196,1219,1241,1263,1287,1311,1338,1359,1383,1391,1401,1447,1472,1493,1511,1531,1541,1569,1591,1623,1653,1684,1710,1734,1769,1798,1823,1852,1877,1901,1925,1952,1976,1995,2031,2059,2080,2103,2122,2148,2167,2185,2277,2303,2329,2350,2370,2394,2470,2490,2506,2528,2552,2561,2581,2601,2622,2653
8,6,36,68,73,89,111,132,151,175,201,225,251,267,290,312,333,358,389,417,443,473,501,529,557,579,585,595,601,614,629,648,663,688,709,731,746,768,790,813,835,860,878,888,914,944,958,978,995,1017,1046,1072,1097,1117,1142,1162,1184,1184,1187,1200,1219,1242,1266,1295,1311,1337,1362,1446,1465,1480,1495,1513,1528,1544,1565,1590,1610,1639,1667,1683,1707,1745,1776,1820,1844,1874,1962,1995,2027,2053,2109,2151,2188,2218,2255,2258,2258,2308,2322,2333,2350
9,1,14,77,106,133,158,175,188,212,236,261,289,320,322,324,337,361,386,411,435,464,497,523,570,608,628,657,681,712,733,762,782,802,829,857,887,975,1007,1038,1062,1081,1104,1107,1112,1126,1138,1159,1194,1213,1236,1270,1292,1323,1348,1348,1348,1348,1348,1348,1361,1384,1408,1430,1453,1473,1493,1517,1532,1550,1572,1602,1630,1652,1743,1772,1805,1834,1863,1892,1913,1935,1960,1984,2009,2030,2046,2069,2092,2122,2205,2232,2248,2329,2362,2397,2411,2433,2457,2475,2484
