,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,19,21,32,45,50,73,86,107,115,122,129,151,170,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,184,191,199,210,216,219,222,225,226,227,227,227,227,227,228,230,235,236,236,236,236,236,236,236,236,241,241,241,241,241,241,241,241,241,243,243,243,243,244,245,245,245,245,245,245,245,245,245,245,245,249,252,252,252,252,252,252
1,0,0,2,3,6,13,15,15,16,32,32,33,33,33,33,33,33,33,33,34,36,36,40,50,53,53,53,53,53,53,53,53,53,53,58,59,59,59,60,60,60,61,64,78,125,152,170,228,232,235,252,255,257,265,265,265,265,265,265,270,272,277,309,333,336,340,340,341,343,344,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,347,350,353,357,362,364,372,375,377,381,383,384
2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,13,32,68,85,109,111,127,129,129,129,129,129,129,129,131,135,135,139,139,139,139,139,139,139,147,165,172,187,191,203,219,233,238,273,308,309,309,309,309,309,309,309,309,313,314,314,314,314,314,314,319,319,319,319,319,319,327,327,327,327,327,327,327,327,327,327,327,327,333,333,333,333,333,333,333,337,338,341,343,347,347,354
3,0,10,16,29,31,34,40,40,40,40,41,45,51,65,73,82,95,102,110,116,117,119,124,128,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,136,137,138,139,141,171,181,190,196,199,221,240,241,241,241,241,241,241,241,241,241,242,242,242,242,242,244,253,269,270,270,270,270,270,270,270,270,270,270,272,274,280,280,280,280,280,280,280,280,280,280,281
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,8,14,20,21,26,26,26,26,28,28,28,28,28,28,30,38,38,39,39,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,47,47,48,48,48,48,48,48,48,48,48,48,48,48,54,57
5,0,0,0,0,3,9,14,15,19,20,20,20,20,20,20,20,20,20,27,33,37,37,37,37,37,37,37,39,41,41,41,47,48,48,48,48,48,48,48,48,48,48,48,55,55,55,57,57,57,57,57,57,57,57,57,57,58,58,67,70,73,73,73,73,73,73,73,74,78,85,88,93,95,95,95,95,95,95,95,95,101,108,114,123,154,170,183,193,194,195,195,195,195,195,195,195,196,200,200,200
6,0,6,9,17,23,25,32,40,53,59,66,79,100,110,110,110,110,110,110,110,115,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,119,119,119,119,119,119,121,122,128,132,138,144,148,151,159,167,167,167,167,170,172,174,187,212,225,229,229,229,232,241,241,241,241,241,241,241,247,248,248,251,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,262,267,279,284,297,305,328
7,0,0,0,3,5,18,36,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,41,41,41,41,41,41,41,41,41,42,42,42,42,43,43,43,43,43,43,43,43,43,43,47,52,52,52,52,52,52,52,52,52,52,55,55,55,55,55,55,59,62,74,74,75,75,77,85,91,95,96,96,98,98,98,98,98,109,114,120,125,128,130,130,132,156,177,187,203,226,249,256,276,286,286,288,290
8,0,11,11,11,11,11,11,16,33,38,45,46,59,78,78,79,79,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,83,100,114,116,116,116,116,116,116,121,122,123,124,125,125,129,129,129,129,129,129,129,129,130,130,136,144,147,147,147,147,147,147,147,147,147,147,148,148,148,148,148,150,150,151,151,151,151,167,172,185,200,202,202,208,208,208,208
9,0,7,18,19,22,25,27,49,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,68,70,72,77,87,99,101,101,101,101,102,103,104,106,108,112,121,127,130,132,133,133,133,133,133,133,139,139,140,143,144,144,146,149,149,150,150,152,152,152,152,152,152,152,152,152,152,152,153,153,153,153,153,153,153,153,153,153,158,160,166,176,176,176,176,176,176,177
10,0,5,10,11,11,11,16,21,27,28,29,29,29,30,31,55,75,86,102,105,105,105,105,105,105,105,105,110,115,137,145,152,173,173,173,173,173,173,173,173,173,180,186,197,202,205,205,205,205,205,205,206,206,206,206,206,207,207,207,207,207,207,208,208,211,212,212,212,212,212,215,215,215,220,233,246,249,277,289,290,290,290,291,291,291,291,291,291,291,291,291,291,297,297,297,297,300,300,300,300
11,0,12,31,38,39,39,39,39,39,45,48,65,73,102,118,118,118,121,126,130,135,156,166,181,188,200,206,221,228,230,231,231,231,231,231,231,233,233,233,234,236,239,240,240,240,241,241,241,241,241,241,241,241,242,242,242,242,242,242,242,242,242,245,250,250,253,255,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,261,261,264,264,264,264,264,270,275,288,303,305,307,307
12,0,2,6,8,15,22,29,37,39,41,41,41,41,41,41,41,46,66,80,111,113,118,118,118,118,118,118,118,119,119,122,125,133,138,154,163,171,172,172,179,180,180,184,188,197,208,215,220,233,246,246,246,246,246,246,246,246,246,246,246,254,256,257,257,257,257,258,259,259,259,259,259,259,259,259,261,261,263,276,287,287,287,287,287,289,290,303,305,305,305,305,306,306,306,306,309,313,314,315,316
13,0,0,0,2,2,2,2,2,5,11,21,30,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,41,41,46,50,50,50,53,55,55,60,60,60,64,68,72,96,106,106,107,107,107,107,107,107,107,107,107,109,109,109,112,125,152,195,205,213,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,223,223,223,223,223,223,223,223,224,225,225,228,231,235
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,16,21,34,43,60,60,60,60,60,63,63,63,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,69,69,69,69,69,69
15,0,0,0,0,0,2,2,2,2,5,6,7,7,7,7,7,7,7,7,12,15,15,15,15,15,15,15,17,20,23,26,33,34,34,34,34,36,36,40,40,42,42,42,42,42,42,42,42,45,47,47,47,47,48,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,53,53,57,62,65,68,81,91,100,103,104,116,124,132,133,133,133,133,133,133,133,134,134,134
16,0,2,11,18,23,23,23,23,23,23,27,27,27,27,27,27,27,27,27,29,30,35,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,47,48,48,52,56,57,57,57,57,57,57,57,57,57,57,60,63,68,81,86,90,90,90,90,93,96,99,99,102,102,102,102,102
17,0,0,0,0,0,0,0,0,5,16,39,45,67,83,105,106,106,106,106,106,106,106,106,106,106,106,106,106,108,111,112,112,112,112,112,112,112,112,112,112,112,119,119,119,122,130,130,130,130,130,130,130,130,130,130,130,130,130,130,133,135,137,137,141,147,154,158,159,163,163,163,164,165,175,181,182,182,182,182,197,199,204,208,244,244,253,256,263,268,270,277,281,291,307,333,368,370,373,393,416
18,0,0,0,3,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,31,31,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,40,43,43
19,0,0,0,0,9,19,28,38,41,41,45,50,62,68,73,81,87,90,90,90,90,90,90,90,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,102,103,105,109,111,112,113,113,113,113,113,116,117,117,123,125,127,133,138,145,146,161,168,175,188,226,228,229,229,229,229,229,230,230,230,230,232,232,232,232,232,232,232,232,232,232,232,232,235,245,247,247,247,247,247,247,248
20,0,7,18,25,36,49,52,54,64,67,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,72,72,72,72,72,72,72,72,72,73,75,86,102,114,138,169,193,213,243,263,263,263,263,263,263,263,264,264,265,269,270,273,282,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,292,300,302,302,302,304,318,323,323
21,0,0,0,4,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,15,17,18,18,18,18,20,20,20,20,24,29,29,29,29,29,29,29,29,29,30,32,32,32,33,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,45,47,47,47,48,48,50,68,96,120,142,144,146,150,153,165,172,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,177,192,202
22,0,7,11,14,14,16,17,17,17,17,17,17,17,20,24,32,42,48,49,50,50,50,50,51,56,57,59,59,59,59,59,59,59,59,61,61,61,61,61,61,61,61,61,62,62,62,62,64,64,65,65,66,86,111,129,143,159,189,202,212,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,221,226,235,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
23,0,4,6,6,6,6,7,8,9,10,10,10,10,10,10,11,11,11,13,19,25,25,26,26,26,26,26,26,26,26,26,32,37,44,71,78,83,83,83,83,83,83,83,83,83,83,83,83,83,83,86,86,86,86,86,90,90,95,96,96,96,96,96,103,104,117,122,128,129,129,129,129,129,129,129,129,129,132,132,132,132,133,139,142,146,148,148,148,148,149,156,157,157,157,157,157,157,160,163,164
24,0,1,1,1,1,1,1,1,1,1,1,1,9,15,21,29,66,69,72,72,72,73,74,74,74,74,74,74,76,77,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,82,82,82,82,83,83,84,84,84,84,84,84,84,87,106,108,110,110,110,113,116,134,143,154,165,190,209,228,240,248,256,284,304,304,304,304,304,304,304,304,304,304,304,304,304,304,308,328,333,335
25,0,0,0,0,0,0,0,0,4,6,6,6,6,9,19,31,33,33,33,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,38,47,47,47,50,52,61,63,66,66,66,66,66,66,66,67,67,67,67,68,69,73,77,78,78,78,78,79,80,80,80,81,83,84,84,84,87,88,95,95,95,95,95,95,95,95,97,97,98,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
26,0,6,7,7,7,7,7,7,7,7,7,8,8,9,10,15,19,36,51,53,54,55,56,64,65,71,97,115,126,145,157,164,184,192,210,221,224,224,224,224,224,224,224,224,228,230,230,230,230,230,230,230,230,230,230,230,230,232,237,243,243,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,255,257,259,259,260,264,264,264
27,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,28,32,37,39,40,40,47,49,51,51,51,51,51,51,51,51,51,51,51,60,62,64,64,78,88,89,89,89,90,91,105,122,143,170,177,184,188,195,199,219,220,220,220,220,225,227,233,235,236,236,237,245,254,259,263,267,267,267,267,272,274
28,0,0,0,0,0,0,1,4,4,4,4,4,4,5,10,13,13,13,13,13,13,13,13,13,18,21,22,22,22,22,22,41,42,42,42,42,43,43,53,63,73,82,101,101,110,115,115,115,115,122,122,122,122,130,130,130,130,130,130,130,130,130,130,130,137,142,146,146,150,172,178,187,187,187,187,187,187,187,189,191,195,196,197,197,197,197,197,197,197,197,197,197,197,197,198,199,199,199,199,202
29,0,0,0,0,0,0,0,1,5,9,9,9,9,9,9,9,9,10,12,46,56,58,60,60,60,60,60,63,63,63,63,63,69,71,71,71,71,71,71,71,71,71,72,72,72,72,72,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,79,85,87,87,87,87,87,87,89,91,91,91,100,105,105,105,105,105,105,108,109,114,114,114
