,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,2,7,14,16,37,52,79,108,121,125,152,179,197,225,227,233,255,266,290,323,371,375,379,386,403,415,430,446,459,465,472,481,482,484,501,503,514,556,567,619,660,663,677,684,701,702,703,716,768,784,803,816,820,839,848,859,869,889,910,910,912,914,926,931,939,962,962,964,965,969,971,991,997,999,999,999,1000,1017,1020,1045,1069,1070,1072,1082,1089,1136,1137,1150,1158,1234,1301,1374,1386,1386,1388,1400,1401,1409,1422
1,0,2,41,45,64,65,84,111,136,146,150,169,192,201,208,221,221,225,230,240,287,315,344,383,429,479,497,539,540,548,555,560,561,567,568,574,592,593,600,608,620,640,657,658,677,682,688,689,690,690,699,704,714,722,737,753,784,808,809,833,855,879,896,925,935,952,972,976,990,993,1006,1014,1022,1029,1029,1031,1034,1039,1039,1041,1043,1058,1082,1120,1138,1167,1172,1172,1174,1174,1174,1178,1178,1216,1228,1229,1229,1232,1238,1254
2,0,0,2,3,37,38,39,39,42,64,89,101,102,106,119,165,171,177,178,187,199,208,208,210,217,225,235,249,257,272,285,304,304,321,324,339,346,359,370,415,433,443,445,449,462,493,493,499,503,520,530,536,555,559,566,568,568,570,591,607,614,626,639,651,696,710,713,741,767,803,825,852,867,885,898,920,950,982,987,990,1006,1010,1013,1027,1042,1042,1045,1069,1104,1142,1176,1185,1205,1232,1250,1259,1267,1311,1345,1349
3,0,0,2,38,57,114,130,144,162,162,164,182,203,209,224,263,269,298,335,375,395,416,416,416,417,423,465,495,497,516,518,530,536,582,602,602,607,615,618,638,644,664,678,678,682,692,703,724,743,746,752,765,770,795,807,814,831,876,897,918,937,939,954,976,981,997,1014,1021,1047,1062,1087,1091,1102,1122,1152,1160,1169,1199,1218,1245,1276,1289,1301,1307,1349,1410,1450,1488,1519,1529,1530,1539,1545,1558,1558,1563,1571,1592,1593,1604
4,0,2,10,11,35,69,93,115,118,121,133,135,159,186,188,219,240,240,240,241,254,264,276,295,305,328,332,336,337,355,372,387,393,406,412,412,414,425,450,494,525,526,528,542,542,581,581,584,586,607,658,679,701,711,721,722,750,777,785,830,833,845,860,871,908,921,949,966,999,999,1003,1005,1005,1006,1012,1012,1024,1041,1067,1068,1071,1099,1103,1103,1106,1108,1135,1159,1173,1181,1181,1182,1182,1182,1182,1187,1217,1287,1310,1334
5,0,1,31,48,62,74,76,78,79,79,110,110,114,128,142,157,184,210,212,227,229,269,283,319,341,359,376,385,390,399,410,412,423,444,463,493,503,503,505,510,511,511,516,521,523,538,554,574,575,577,593,614,616,654,661,670,680,685,725,732,740,752,764,781,808,839,853,862,874,888,909,939,959,970,971,979,1001,1019,1051,1052,1077,1100,1114,1141,1178,1219,1223,1228,1228,1256,1261,1279,1282,1290,1294,1295,1312,1326,1340,1350
6,0,4,11,50,59,73,121,163,174,184,200,208,241,264,279,306,310,321,334,350,365,384,402,435,452,479,484,491,506,510,518,531,533,551,564,565,577,587,602,602,606,612,616,616,619,644,648,659,681,733,756,767,788,795,807,836,853,853,861,862,868,883,893,896,896,901,909,917,925,934,961,967,972,979,979,980,987,993,1024,1024,1057,1063,1086,1093,1093,1093,1098,1102,1103,1129,1154,1159,1161,1169,1170,1175,1184,1187,1198,1198
7,0,3,5,25,25,25,65,65,70,81,98,98,101,104,118,136,167,175,224,229,233,261,280,291,310,310,312,324,380,385,398,405,422,467,487,487,489,495,510,513,530,535,540,556,571,601,652,685,707,741,769,792,795,802,812,877,911,959,1021,1057,1074,1106,1147,1168,1168,1173,1184,1185,1192,1194,1220,1267,1267,1269,1273,1291,1295,1308,1341,1358,1375,1404,1412,1413,1425,1437,1437,1437,1437,1463,1463,1463,1463,1466,1472,1511,1524,1533,1535,1538
8,0,2,11,30,31,31,32,32,40,82,108,138,143,154,160,180,182,214,246,262,275,284,286,295,297,314,353,385,386,399,407,411,411,413,428,437,449,469,473,487,505,505,505,517,526,532,534,537,542,545,556,577,604,610,613,623,669,687,704,704,707,732,753,755,758,784,812,821,850,866,902,936,967,976,977,984,1024,1039,1050,1051,1057,1098,1137,1138,1144,1169,1204,1213,1217,1219,1233,1234,1264,1291,1303,1312,1349,1352,1378,1391
9,0,4,11,11,13,13,18,25,29,53,55,63,67,124,126,153,174,177,180,188,188,191,194,205,258,272,289,289,292,294,294,294,295,313,330,347,362,379,408,433,444,448,451,466,471,488,494,513,559,565,590,608,612,615,638,645,683,717,717,722,748,773,794,794,799,806,820,826,828,835,838,840,847,864,879,888,908,927,942,960,976,978,987,991,996,1043,1067,1077,1085,1098,1115,1136,1170,1174,1180,1180,1193,1214,1238,1238
