,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,3,7,10,14,96,166,180,180,183,198,198,201,205,216,231,240,247,259,270,270,274,274,277,277,283,285,313,315,329,361,400,443,459,461,461,461,467,513,541,554,583,590,594,600,607,660,674,698,757,787,815,822,846,874,886,912,912,919,960,963,967,986,1000,1001,1009,1045,1067,1104,1110,1117,1138,1138,1167,1168,1173,1173,1175,1179,1210,1217,1240,1259,1312,1343,1361,1380,1382,1384,1406,1469,1493,1512,1557,1572,1572,1573,1583,1595,1613
1,0,3,5,30,34,43,58,103,126,179,182,219,239,253,267,272,287,313,314,326,342,348,366,399,425,427,448,468,494,496,524,528,534,548,559,561,584,599,621,656,666,681,681,681,683,707,714,717,727,730,739,744,745,750,751,761,784,795,796,833,837,856,856,859,869,881,884,894,894,921,930,939,947,967,982,990,1006,1019,1022,1029,1035,1039,1054,1061,1093,1114,1115,1115,1118,1120,1147,1178,1191,1213,1235,1257,1258,1258,1275,1276
2,0,1,1,7,10,14,23,23,25,25,31,32,36,61,77,108,114,165,191,236,311,342,353,389,441,441,444,457,459,470,517,538,538,545,545,551,553,555,560,572,584,595,611,612,621,647,674,683,687,694,715,746,783,805,839,867,882,905,946,947,948,953,955,958,964,966,992,1010,1021,1030,1030,1077,1079,1083,1115,1118,1120,1163,1202,1268,1301,1304,1333,1336,1354,1374,1375,1392,1413,1431,1431,1437,1440,1475,1494,1498,1503,1507,1509,1531
3,0,2,2,6,16,17,17,48,49,51,53,73,83,91,91,95,112,124,142,146,150,163,169,197,248,277,280,286,292,308,327,357,384,405,435,452,485,526,532,556,562,585,592,594,603,618,647,647,650,651,658,671,685,717,719,734,747,751,753,782,782,784,786,791,808,808,808,814,831,895,930,963,972,989,1011,1040,1057,1062,1079,1101,1124,1160,1180,1215,1232,1247,1284,1290,1310,1329,1330,1331,1337,1347,1366,1388,1413,1446,1447,1455
4,0,2,12,38,64,85,85,88,107,107,111,121,125,173,215,216,227,246,247,247,252,252,253,253,255,271,297,299,324,328,356,367,395,417,429,460,481,497,516,549,549,554,565,574,583,594,594,596,600,602,605,616,666,699,720,722,753,784,802,828,828,829,864,881,881,881,884,898,909,936,946,969,972,976,999,1042,1045,1065,1069,1072,1118,1146,1179,1209,1211,1230,1253,1278,1293,1322,1335,1337,1344,1344,1347,1364,1365,1367,1368,1399
5,0,3,19,27,44,67,80,89,93,96,98,115,115,119,127,139,167,170,181,202,228,253,292,317,350,383,389,400,406,412,414,430,437,443,446,446,449,492,501,524,537,540,541,542,542,544,580,592,595,620,633,645,666,680,687,689,696,710,720,720,720,720,720,754,771,771,774,775,781,797,828,853,871,884,884,889,896,896,896,906,911,932,972,1006,1010,1010,1012,1017,1021,1029,1030,1037,1046,1046,1047,1047,1051,1054,1089,1131
6,0,2,14,43,61,104,109,134,135,175,191,211,215,218,233,272,296,334,343,358,368,393,403,419,425,430,448,449,467,475,535,612,637,678,687,697,697,699,699,738,759,780,818,847,861,865,870,873,875,883,909,933,963,1006,1015,1056,1062,1070,1120,1127,1134,1153,1192,1222,1235,1244,1276,1312,1335,1336,1337,1344,1412,1470,1471,1483,1483,1483,1485,1487,1494,1505,1511,1525,1526,1528,1561,1583,1584,1588,1616,1636,1638,1640,1660,1679,1729,1763,1773,1778
7,0,2,2,3,3,4,27,35,35,36,40,41,47,50,60,73,75,75,80,98,131,158,206,231,280,285,306,339,347,370,395,414,427,434,449,453,491,505,507,509,511,527,527,536,536,537,540,558,575,588,607,623,633,638,639,641,668,679,685,710,725,742,752,804,836,862,867,887,909,916,922,951,962,962,965,988,993,995,1027,1056,1063,1077,1099,1101,1127,1145,1171,1173,1182,1185,1198,1207,1221,1237,1258,1258,1266,1271,1285,1286
8,0,3,26,32,42,56,57,100,141,145,158,164,171,173,174,186,211,222,235,238,243,255,258,278,280,300,325,385,430,455,476,480,487,492,508,533,536,542,545,556,561,563,564,598,637,642,650,650,652,654,654,654,654,654,654,654,654,654,662,720,732,749,763,774,796,820,838,866,866,873,891,915,918,941,958,979,986,1005,1016,1018,1018,1021,1044,1060,1091,1106,1117,1129,1162,1203,1218,1220,1237,1247,1255,1273,1284,1287,1325,1335
9,0,3,9,16,31,32,56,69,87,108,131,153,171,187,241,272,282,319,357,358,372,377,381,414,436,447,459,480,491,499,516,550,585,638,697,707,709,731,761,763,766,778,779,792,811,822,830,830,831,859,921,949,970,1017,1026,1044,1046,1050,1055,1056,1064,1073,1079,1079,1079,1083,1134,1151,1158,1161,1165,1181,1190,1203,1208,1218,1219,1223,1239,1258,1277,1310,1320,1329,1350,1364,1389,1397,1410,1415,1460,1466,1490,1499,1506,1532,1573,1607,1621,1661
