,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,1,3,9,25,66,71,79,83,87,95,101,112,118,141,178,182,183,183,183,183,186,192,193,197,198,199,204,205,215,222,223,223,227,241,244,248,249,263,264,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,271,280,285,298,317,320,320,320,320,320,320,320,321,321,322,323,330,340,362,392,403,404,409,426,462,489,507,511,513,518,558,594,595,599,600
1,0,3,10,10,10,10,10,10,10,10,11,13,19,28,37,45,45,45,45,45,57,58,59,59,59,59,59,59,61,62,62,62,66,80,112,133,151,152,156,185,187,187,191,193,193,193,193,193,193,193,193,193,193,193,193,199,205,209,217,244,274,302,338,354,373,375,376,382,394,402,425,439,442,452,459,465,471,472,474,476,477,478,479,499,513,521,525,531,531,531,534,534,534,538,541,543,549,556,556,556
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,10,15,16,16,16,16,16,20,21,21,23,23,24,25,26,26,26,26,27,29,50,72,72,74,74,74,74,74,74,74,74,74,76,78,78,78,78,83,92,103,105,105,113,118,145,157,159,161,165,171,192,226,250,280,280,280,280,280,280,280,280,280,283,284,285,288,288,288,288,288,288,289,290
3,0,3,5,23,25,25,25,25,25,25,25,26,27,28,31,59,67,69,69,69,69,69,69,72,73,74,79,113,157,172,173,176,177,179,179,180,181,184,188,194,257,283,310,315,334,334,334,334,334,334,334,334,334,334,334,334,334,339,343,357,358,358,358,358,358,358,358,358,358,362,363,366,369,373,377,378,383,409,422,426,427,427,428,438,459,465,469,470,478,482,483,483,483,483,483,483,484,500,516,523
4,0,3,7,12,28,43,65,85,97,104,108,110,110,110,111,116,131,131,135,140,144,147,158,162,167,170,181,199,220,222,222,222,222,222,222,222,222,222,222,222,222,222,222,226,242,242,242,242,242,242,242,242,242,247,250,251,252,254,262,275,305,316,317,330,330,333,338,362,387,417,453,509,575,577,586,586,586,587,587,587,587,587,587,587,595,601,606,610,615,621,621,621,621,621,621,621,621,625,638,642
5,0,11,31,43,52,62,87,113,115,130,160,172,215,223,237,237,239,239,239,239,239,246,262,287,290,293,296,297,297,297,297,297,297,299,302,302,302,304,305,305,305,305,305,310,310,317,346,382,413,429,431,431,436,437,438,438,438,438,438,438,438,438,438,438,438,438,438,444,459,468,486,509,511,514,515,524,529,552,555,573,575,576,579,581,582,590,604,609,610,611,612,612,612,612,613,613,613,613,613,614
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,22,48,64,80,90,97,97,97,97,97,97,97,97,97,97,97,97,99,99,99,99,99,99,99,99,108,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,124,126,128,134,145,152,154,158,164,164,164,166,170,170,170,170,177,197,212,228,247,251,254,257,257,257,257,257,257,258,260,280,293,295,295,295
7,0,5,17,34,62,96,109,117,143,149,169,192,203,203,219,238,276,295,317,333,351,359,375,398,408,416,427,428,431,434,439,441,466,486,502,517,527,542,545,546,551,561,572,577,577,578,578,593,611,617,622,624,626,631,640,641,652,653,655,669,687,689,695,714,724,727,728,728,728,728,729,729,732,758,763,768,772,776,776,778,784,786,793,795,796,796,803,807,808,822,844,855,859,881,886,901,905,908,921,934
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,25,25,25,25,25,28,29,30,31,32,32,32,58,74,98,104,108,119,129,133,139,141,144,144,144,144,144,150,162,166,167,180,195,212,236,241,255,277,309,324,374,405,435,443,460,460,460,461,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,464,475,484,484,484,484,484,484,484,484,484,484,484,484,484,484
9,0,0,0,0,0,0,1,1,1,2,2,2,2,9,12,34,35,38,42,58,78,92,104,104,104,104,104,104,104,104,104,104,104,105,106,107,109,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,114,121,129,139,170,198,205,209,209,209,209,209,209,209,210,211,216,228,232,235,253,279,310,312,312,315,315,317,318,324,328,332,332,332,332,332,332,332,332,332,332,332,332
