,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,10,17,17,17,17,17,17,17,24,33,39,48,61,64,94,103,110,110,113,113,113,113,113,113,113,114,114,114,114,114,114,116,116,117,117,117,117,117,117,117,117,117,118,125,128,128,128,128,128,128,133,136,136,136,136,136,136,136,137,139,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,142,145,146,146,151,154,166,172,179,198,198,198,205,220,234
1,0,0,0,0,0,0,0,0,0,0,0,2,6,7,9,9,9,9,9,9,9,9,9,17,18,18,18,18,18,18,18,18,23,24,26,26,35,49,54,62,62,66,69,70,70,70,70,70,70,77,88,103,124,130,134,141,141,141,141,141,141,141,141,141,143,143,143,143,143,143,143,143,143,143,143,143,148,148,149,151,155,156,158,171,180,188,198,212,213,213,213,213,213,213,213,213,213,213,213,213
2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,5,8,8,8,8,8,8,8,8,8,8,8,16,26,28,38,42,43,44,44,44,44,44,44,50,53,55,55,56,56,56,57,57,57,58,58,59,62,62,62,62,62,62,62,62,63,63,65,72,96,96,96,96,96,96,96,96,100,102,102,102,102,102,102,102,102,102,103,110,133,141,146,147,147,147,147,150,150,150,150
3,0,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,17,17,19,19,19,19,19,19,24,26,26,26,26,26,26,26,26,26,26,26,26,26,27,37,38,38,38,38,38,38,39,39,39,40,42,45,46,46,46,46,46,46,46,46,46,46,46,46,46,47,50
4,0,0,0,0,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,13,17,20,22,22,22,29,33,39,56,95,138,142,145,146,146,146,146,146,146,146,146,149,153,155,156,156,156,156,156,157,171,177,179,185,187,190,190,191,191,191,191,191,191,191,191,191,192,192,192,192,192,192,192,202,204,211,217,219,219,223,224,224,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
5,0,0,2,3,3,3,3,3,3,6,7,11,18,34,38,41,45,50,52,53,55,55,56,61,70,74,74,74,75,75,75,75,78,87,90,91,91,102,110,116,116,116,116,116,116,116,116,117,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,131,135,135,135,135,135,141,142,143,144,144,144,146,149,149,149,149,149,149,149,149,149,149,149,149,151,151,151,173,174,174
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,9,18,27,55,79,100,103,103,106,111,111,111,111,111,113,113,113,113,117,121,124,126,126,126,126,127,138,161,166,169,171,178,200,202,204,214,221,232,249,251,257,263,272,281,284,287,289,291,291,291,295,301,301,301,301,301,301,314,338,358,401,403,403,403,403,403,403,403,403,405,405,405,405,405,405,405,405,407
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,11,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33,49,75,101,117,119,119,119,119,119,119,120,120,121,121,121,121,121,121,121,121,125,133,139,159,162,162,162,162,162,162,162,164,167,169,174,176,176,176,176,177,179,180,180,180,180,180,180,180,180,180,181,183,183,183,183,183,183
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,28,37,39,43,46,52,54,56,88,93,93,96,96,96,96,96,96,98,99,110,126,142,188,190,190,191,195,198,201,201,201,201,201,201,201,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,205,206,208,208,208,208,208,208,208,211,213,220,228,231,247,249,250,250,250,250
9,0,0,0,0,0,0,0,0,0,0,0,0,7,16,16,17,40,40,40,49,68,84,88,100,133,144,171,171,171,171,171,177,182,191,199,200,200,200,200,200,200,200,200,200,201,201,201,201,201,201,201,201,201,203,206,210,212,218,236,246,259,259,259,259,259,259,259,259,259,259,259,260,260,261,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,272,272,273,275,295,304,306
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,11,16,24,32,54,62,67,72,74,74,74,74,74,74,74,74,79,84,88,93,99,125,164,188,208,210,210,210,210,210,210,210,210,210,210,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,215,222,263,270,270,271,276,280,286,286,286,286,286,286,289,291,292,292,292,292,292,292,292,292,292
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,26,56,87,106,131,133,133,133,133,133,133,133,133,133,138,138,143,151,155,156,157,190,204,205,205,205,205,209,209,210,212,214,215,215,215,215,215,215,215,215,215,221,227,229,242,247,258,259,261,268,273,281,296,296,296,296,296,296,296,296,296,296,296,301,306,314,314,314,314,314,314,314,314,314,314
12,0,0,0,0,0,0,0,2,2,2,2,2,3,4,9,12,13,13,13,13,13,14,15,17,19,19,20,20,20,20,20,20,20,20,20,21,21,23,23,23,23,23,23,25,26,30,31,31,31,31,42,42,42,43,43,43,43,43,43,43,43,43,43,43,49,51,66,74,87,91,91,91,91,91,91,91,91,91,91,97,107,118,162,190,195,205,221,236,242,242,242,243,244,244,244,244,248,253,254,256
