,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,11,23,31,31,35,53,60,70,70,79,92,101,110,110,120,124,129,134,156,172,184,200,208,221,234,251,261,281,291,302,310,325,343,356,368,376,387,401,417,426,440,456,462,472,481,490,501,515,535,547,564,579,595,612,626,644,659,671,687,697,706,716,739,754,773,789,804,816,826,848,859,859,861,877,891,907,918,927,935,943,947,953,966,976,992,1008,1023,1038,1051,1065,1076,1093,1106,1129,1142,1154,1161,1172,1186
1,1,8,22,37,52,66,86,99,114,131,158,178,192,204,222,222,225,238,254,268,284,301,315,329,339,351,365,381,398,414,433,450,465,479,492,511,526,543,562,583,593,604,627,638,648,660,668,686,700,718,730,754,771,792,810,821,840,863,874,888,901,917,936,948,961,974,992,1011,1029,1035,1050,1068,1083,1093,1115,1135,1150,1162,1176,1190,1205,1223,1223,1229,1242,1253,1263,1273,1273,1286,1307,1327,1343,1360,1373,1384,1399,1415,1433,1441
2,1,9,13,25,41,54,68,85,99,112,130,146,157,173,183,202,215,233,244,264,276,284,298,313,330,345,345,355,369,386,400,416,425,450,464,482,498,509,519,534,548,563,586,599,614,627,643,659,676,683,693,696,700,710,720,731,740,757,775,793,810,832,849,859,876,876,888,899,911,924,938,950,963,972,981,996,1013,1028,1040,1060,1078,1091,1108,1124,1137,1158,1169,1181,1191,1200,1211,1226,1245,1261,1278,1278,1282,1286,1288,1298
3,1,10,24,32,39,46,60,72,87,102,114,129,145,159,176,199,215,232,249,261,278,292,298,313,331,346,362,385,396,414,430,440,452,467,487,503,528,537,547,560,575,596,618,637,651,666,683,695,712,738,758,772,786,801,811,825,843,865,878,891,908,919,932,950,966,989,1003,1025,1037,1047,1059,1082,1095,1109,1115,1127,1141,1156,1167,1187,1203,1222,1238,1254,1276,1299,1309,1326,1341,1351,1369,1393,1408,1421,1435,1435,1436,1438,1458,1477
4,1,10,13,13,13,24,38,51,66,81,99,99,111,116,124,132,141,148,161,172,182,193,209,225,233,249,264,277,292,307,323,332,343,359,374,386,402,415,424,438,457,476,494,514,540,562,579,590,605,619,629,645,658,670,679,689,701,711,725,742,755,771,790,808,818,834,846,864,875,889,906,917,929,944,962,970,985,1005,1014,1028,1044,1047,1055,1067,1081,1103,1114,1130,1143,1158,1172,1172,1174,1186,1195,1204,1216,1224,1235,1259
5,1,13,37,47,69,85,96,112,127,143,155,172,191,207,220,232,246,264,273,295,315,326,353,367,382,388,400,421,442,458,469,478,494,509,523,540,540,546,567,567,569,581,588,597,614,625,642,653,665,677,689,702,713,725,738,759,778,795,810,823,838,858,879,894,912,930,948,960,970,987,1002,1015,1031,1051,1063,1074,1094,1103,1115,1141,1157,1170,1192,1207,1222,1233,1245,1256,1264,1272,1284,1295,1309,1321,1334,1346,1346,1348,1356,1366
6,1,5,15,28,42,50,69,78,88,98,108,124,141,154,173,189,210,225,246,259,275,290,306,319,335,347,361,374,393,400,409,426,437,451,471,486,504,513,525,534,555,570,591,597,617,633,649,666,676,689,704,722,735,750,763,781,795,807,823,831,839,860,867,876,876,889,897,910,913,917,925,931,945,966,982,1001,1019,1026,1039,1049,1069,1085,1102,1123,1142,1152,1168,1177,1191,1204,1216,1230,1243,1255,1269,1281,1296,1314,1331,1343
7,1,8,8,14,31,38,47,56,74,87,101,101,113,118,125,141,159,170,188,206,219,232,242,242,255,262,262,262,280,291,306,318,330,348,364,375,396,406,417,432,451,462,475,489,507,519,532,542,553,570,581,600,609,625,641,658,677,694,710,724,739,756,768,783,796,815,839,856,876,893,907,918,918,922,923,934,949,961,966,969,980,997,1013,1024,1035,1049,1067,1087,1104,1119,1136,1151,1164,1175,1188,1208,1229,1242,1256,1264
8,1,12,25,36,51,63,78,93,93,105,117,133,147,159,179,194,208,215,229,240,248,257,270,283,298,313,326,326,331,335,344,353,365,380,394,409,420,432,450,461,473,490,501,516,530,552,562,584,602,618,631,647,659,681,693,708,716,739,747,764,772,790,806,825,843,861,881,895,909,932,939,946,958,971,991,1002,1018,1034,1051,1059,1071,1080,1089,1103,1118,1134,1148,1160,1180,1196,1214,1221,1234,1243,1253,1262,1262,1275,1293,1311
9,1,9,25,43,57,73,82,102,121,133,153,167,185,202,212,224,243,255,275,285,297,314,333,333,344,358,374,389,401,420,434,445,454,465,476,492,507,516,533,546,557,575,586,599,614,628,651,666,666,680,695,709,732,752,763,775,790,811,823,839,850,865,881,901,921,936,950,964,977,997,1006,1024,1044,1059,1078,1091,1106,1112,1133,1145,1157,1174,1184,1199,1213,1226,1244,1258,1276,1288,1301,1316,1334,1346,1357,1370,1378,1387,1398,1414
