,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,7,7,19,33,50,66,81,99,115,129,148,157,177,188,204,215,233,246,264,282,292,305,313,327,338,355,370,383,397,409,424,444,456,470,484,493,499,508,526,539,549,567,578,589,589,603,613,623,638,653,672,682,696,708,723,742,754,772,789,804,819,831,842,856,876,902,911,927,943,953,970,988,1006,1020,1037,1049,1072,1096,1107,1124,1135,1147,1156,1171,1182,1191,1204,1220,1239,1249,1266,1279,1299,1315,1326,1347,1360,1377,1389
1,1,11,27,42,56,72,90,108,120,130,148,166,181,197,217,236,256,267,283,298,317,334,352,363,375,394,405,419,432,447,462,476,494,508,517,533,551,568,581,594,609,619,635,647,659,671,676,685,697,710,728,746,760,777,790,807,832,843,856,871,895,917,934,948,962,972,994,1007,1027,1044,1060,1075,1082,1096,1110,1129,1148,1159,1175,1187,1195,1205,1223,1232,1242,1263,1281,1295,1306,1322,1333,1353,1367,1380,1380,1397,1410,1426,1440,1455
2,1,4,18,35,47,61,74,85,102,115,137,153,174,188,205,230,247,265,285,302,316,334,351,360,372,385,393,405,421,433,450,468,485,502,516,527,549,573,586,602,616,635,653,668,686,704,721,743,753,772,785,805,819,833,833,846,860,871,884,901,915,933,950,970,990,1003,1023,1036,1041,1061,1070,1088,1104,1120,1132,1148,1163,1181,1201,1208,1225,1236,1247,1259,1276,1289,1301,1313,1325,1343,1357,1371,1392,1406,1419,1440,1454,1471,1485,1498
3,1,10,21,31,31,43,58,76,95,109,125,138,147,162,174,194,213,224,239,256,267,279,303,321,333,350,363,377,394,410,427,446,456,471,484,506,524,539,556,570,584,597,618,630,644,659,678,687,697,717,736,749,767,782,795,807,821,835,850,865,881,902,922,932,955,967,982,990,1006,1016,1032,1043,1063,1081,1094,1106,1125,1146,1160,1176,1198,1212,1223,1239,1254,1267,1283,1300,1317,1330,1339,1346,1359,1372,1384,1399,1415,1429,1450,1450
4,1,10,18,33,33,47,61,75,88,110,126,140,151,171,184,197,205,225,241,256,263,271,286,296,302,316,330,338,345,360,372,387,403,417,428,450,457,468,480,490,504,521,533,547,547,564,573,585,592,607,623,642,653,663,683,697,707,721,735,750,750,770,793,808,818,836,848,863,875,893,913,924,935,945,967,981,992,1009,1029,1045,1059,1072,1082,1098,1111,1125,1141,1159,1169,1186,1196,1214,1228,1241,1252,1269,1287,1299,1312,1329
5,1,12,18,30,47,59,73,85,102,119,138,149,166,179,191,205,220,235,246,259,277,287,301,313,328,347,363,382,409,418,430,445,464,481,492,510,524,539,554,575,590,598,611,625,637,657,675,681,690,700,720,735,752,765,780,791,808,822,840,854,870,883,904,922,935,952,968,985,993,1010,1028,1041,1050,1063,1071,1083,1102,1112,1132,1141,1152,1169,1185,1197,1210,1226,1250,1268,1289,1311,1328,1347,1367,1379,1396,1411,1420,1436,1446,1463
6,1,16,39,51,60,76,94,117,133,154,171,188,209,219,236,250,261,280,291,305,320,334,344,360,377,392,409,427,440,454,474,483,498,512,527,540,560,577,599,613,630,644,657,675,692,700,719,737,759,772,786,808,828,843,861,878,901,917,933,946,963,983,1001,1021,1041,1060,1071,1081,1094,1106,1122,1139,1160,1168,1178,1187,1199,1220,1236,1253,1273,1289,1303,1317,1324,1340,1353,1368,1384,1398,1410,1420,1437,1449,1463,1482,1496,1507,1517,1534
7,1,13,27,39,59,75,92,109,120,131,143,154,162,176,193,203,218,233,243,255,263,279,303,317,333,351,367,385,401,417,430,449,463,476,489,503,517,528,538,549,562,577,596,612,628,640,646,661,672,687,702,720,739,758,775,793,806,816,825,842,853,864,874,889,899,915,931,945,950,964,972,989,1013,1031,1049,1067,1090,1104,1117,1131,1144,1158,1174,1188,1200,1220,1230,1248,1262,1280,1289,1297,1311,1320,1332,1346,1360,1369,1369,1391
8,1,14,25,43,52,68,81,87,107,126,139,156,177,192,206,216,234,251,266,281,281,299,315,315,336,350,371,387,408,418,431,446,460,471,484,493,508,524,538,555,572,591,599,609,620,636,649,656,656,672,692,709,732,745,753,775,783,800,813,828,847,867,883,897,918,932,949,969,985,1000,1012,1028,1048,1060,1074,1086,1101,1115,1132,1150,1163,1174,1188,1201,1201,1214,1220,1230,1241,1258,1273,1288,1300,1314,1326,1336,1353,1370,1385,1397
9,1,10,12,12,15,17,29,38,48,66,81,97,111,123,136,150,161,175,190,211,226,239,255,267,284,298,312,334,341,357,369,382,404,416,427,443,460,469,485,501,512,525,542,555,567,581,595,605,623,641,661,682,691,702,719,735,751,768,780,794,808,820,835,857,869,889,910,933,950,967,977,997,1012,1021,1030,1042,1061,1075,1087,1106,1118,1134,1148,1164,1188,1207,1221,1234,1248,1266,1285,1293,1303,1306,1321,1330,1337,1351,1366,1379
