,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,9,16,19,35,51,63,76,76,87,100,117,128,144,153,157,171,188,209,226,243,255,268,287,300,307,321,334,351,369,384,397,412,425,439,458,469,481,496,504,518,534,552,569,586,601,616,630,644,661,675,694,706,718,734,748,761,776,784,796,805,816,823,836,847,862,871,883,897,908,922,940,953,974,987,1006,1024,1031,1044,1069,1086,1104,1114,1123,1134,1143,1153,1165,1181,1198,1215,1229,1248,1260,1272,1284,1300,1310,1328,1343
1,1,13,33,48,62,72,85,85,106,124,136,150,165,177,189,207,223,240,251,263,273,287,302,326,342,354,362,372,385,411,425,436,453,465,478,488,500,511,531,548,564,584,594,606,614,630,641,661,677,691,707,720,742,760,782,794,807,826,838,850,866,886,901,908,921,926,929,937,949,959,964,973,986,996,1008,1024,1042,1056,1072,1085,1099,1112,1128,1140,1159,1182,1202,1213,1220,1232,1249,1262,1271,1283,1301,1313,1322,1345,1357,1372
2,1,11,23,34,54,66,88,107,124,144,160,180,180,194,216,231,246,257,272,282,293,301,316,329,339,352,368,380,398,417,430,440,452,463,476,493,508,518,530,542,549,562,580,597,612,630,643,658,670,681,690,700,718,732,735,751,760,768,784,799,819,839,852,865,876,888,900,916,929,940,947,960,969,980,994,1017,1031,1039,1047,1062,1078,1092,1110,1120,1134,1154,1164,1174,1188,1203,1218,1224,1235,1249,1267,1285,1298,1313,1327,1336
3,1,20,34,46,63,70,86,86,99,115,132,132,144,157,183,201,215,233,249,270,283,300,321,340,355,371,383,399,409,418,431,444,453,468,485,499,520,543,556,569,576,591,604,614,622,637,658,675,694,705,722,739,748,757,767,780,799,814,829,829,845,867,885,899,914,934,946,960,972,991,1005,1019,1035,1047,1058,1079,1095,1106,1118,1130,1140,1140,1153,1163,1175,1187,1198,1208,1222,1238,1254,1268,1283,1303,1317,1333,1344,1362,1381,1392
4,1,9,18,30,43,62,71,87,94,105,119,119,137,156,168,183,204,221,239,250,273,293,308,319,341,348,355,364,377,383,395,410,420,442,466,477,495,505,520,532,540,548,565,577,591,614,632,650,666,679,695,712,722,736,751,763,779,794,802,823,829,842,852,858,876,892,907,927,939,955,965,965,979,997,1010,1026,1057,1082,1098,1111,1126,1140,1157,1171,1190,1206,1223,1234,1252,1265,1265,1277,1291,1306,1317,1326,1334,1343,1362,1371
5,1,6,16,30,37,50,70,85,106,119,134,147,157,164,176,181,193,207,225,234,246,263,275,291,303,315,331,345,361,361,378,396,414,429,440,457,474,488,506,522,542,562,574,589,604,620,640,655,670,685,696,710,722,740,757,773,781,793,804,817,824,835,849,869,885,901,917,917,927,948,957,973,984,995,1012,1037,1060,1078,1093,1109,1122,1139,1150,1167,1182,1182,1199,1210,1222,1237,1251,1264,1279,1279,1300,1315,1330,1338,1349,1365
6,1,13,26,41,57,64,76,85,102,115,129,146,158,172,187,207,223,241,261,276,289,307,321,334,347,361,372,395,407,424,436,447,454,467,480,492,507,525,542,559,577,596,608,625,641,659,674,692,705,721,734,748,762,777,793,807,816,835,846,861,876,892,906,919,941,960,975,987,1003,1018,1038,1057,1078,1090,1110,1127,1140,1156,1173,1191,1201,1216,1225,1235,1245,1256,1271,1280,1299,1316,1329,1342,1350,1362,1362,1382,1404,1418,1435,1449
7,1,10,10,29,43,59,75,94,108,125,149,173,189,207,222,241,256,268,285,299,315,334,354,370,380,398,409,418,429,445,462,478,493,512,527,535,551,569,586,599,619,640,650,665,679,692,700,716,731,743,762,775,795,813,825,843,851,867,883,890,905,915,929,950,970,982,995,1009,1029,1049,1062,1080,1100,1110,1122,1130,1143,1164,1182,1200,1217,1230,1238,1247,1255,1267,1278,1292,1306,1324,1343,1353,1376,1397,1412,1422,1436,1446,1458,1472
8,1,8,13,22,25,40,56,70,88,99,111,129,149,165,176,194,210,223,240,259,272,283,303,318,330,348,357,379,402,421,434,451,465,481,493,510,527,543,558,566,578,588,594,602,607,623,634,649,667,690,701,721,744,760,772,785,802,809,817,831,843,855,863,880,896,916,942,957,976,998,1015,1031,1044,1062,1075,1085,1094,1104,1114,1124,1142,1156,1170,1191,1205,1222,1236,1249,1262,1277,1295,1314,1326,1345,1361,1372,1383,1400,1414,1434
9,1,12,14,40,57,74,95,95,111,134,148,161,171,190,206,224,224,241,260,278,290,307,324,335,347,360,371,386,399,406,428,451,462,478,496,508,517,517,530,548,548,563,579,598,619,639,646,657,670,682,702,727,739,757,770,784,796,808,820,829,838,853,867,882,902,915,928,946,952,965,978,990,1005,1016,1029,1050,1050,1065,1084,1102,1118,1132,1143,1155,1170,1187,1198,1204,1219,1238,1256,1274,1296,1309,1324,1336,1352,1374,1387,1411
10,1,9,28,46,53,70,79,94,105,120,132,144,159,178,195,211,224,235,248,264,275,293,309,324,337,351,364,371,387,403,411,430,440,452,459,471,489,505,517,533,550,564,585,603,615,634,649,660,676,688,698,709,721,738,755,776,797,814,831,844,844,858,869,891,908,925,942,949,973,973,987,1002,1013,1024,1042,1067,1080,1093,1114,1133,1151,1169,1169,1192,1206,1216,1231,1250,1263,1281,1295,1310,1332,1353,1373,1390,1407,1426,1445,1463
11,1,12,27,44,62,80,110,124,142,158,170,182,194,207,226,243,254,277,298,318,334,344,356,365,386,404,419,433,449,468,487,502,516,530,549,575,589,589,607,626,646,658,674,688,699,715,740,753,753,764,779,794,809,818,834,850,861,874,883,894,909,919,934,953,970,989,1008,1035,1049,1060,1071,1081,1086,1092,1104,1108,1119,1134,1145,1162,1183,1196,1210,1227,1243,1265,1273,1290,1309,1318,1336,1351,1360,1370,1380,1390,1402,1410,1423,1437
12,1,21,34,51,64,78,86,101,120,128,142,153,160,172,187,201,215,231,246,264,275,286,305,324,342,356,368,379,404,425,440,460,482,501,519,534,551,570,584,601,614,627,638,657,671,685,701,713,729,742,759,776,793,810,830,843,854,865,874,891,909,920,929,940,951,967,978,995,1011,1027,1037,1048,1065,1078,1093,1115,1123,1139,1153,1165,1179,1191,1208,1220,1236,1236,1254,1263,1280,1299,1312,1323,1334,1348,1363,1386,1399,1410,1421,1439
13,1,1,16,33,49,66,85,100,115,128,143,156,169,180,194,208,216,230,241,255,271,282,299,313,331,350,367,382,395,407,421,442,459,480,500,521,540,556,577,594,614,628,645,659,659,673,685,700,715,733,745,759,774,789,804,815,835,857,879,889,899,910,921,936,950,959,974,984,995,1001,1011,1026,1042,1055,1077,1100,1116,1128,1142,1154,1164,1179,1195,1208,1223,1240,1257,1274,1295,1306,1316,1327,1345,1356,1373,1386,1403,1418,1430,1445
14,1,11,20,32,44,50,64,77,89,97,109,119,135,154,165,181,194,212,222,238,249,266,285,296,315,331,349,365,377,390,397,411,424,441,454,471,482,490,505,514,524,539,552,569,574,585,602,615,631,653,665,685,701,718,729,740,751,770,783,797,807,815,823,835,852,871,895,910,925,937,948,961,975,985,994,1004,1012,1031,1040,1053,1056,1062,1077,1097,1113,1127,1144,1159,1181,1193,1205,1224,1240,1256,1277,1288,1288,1300,1311,1326
