,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,11,21,41,53,75,93,108,121,138,153,172,186,202,214,224,236,249,253,253,260,271,287,302,321,340,356,378,397,414,433,449,464,484,506,523,544,555,577,592,608,626,641,656,679,696,713,733,748,765,778,792,808,830,843,854,869,885,896,915,931,949,967,980,992,1006,1022,1030,1050,1060,1073,1080,1089,1095,1100,1111,1128,1141,1152,1177,1190,1213,1227,1244,1266,1284,1297,1313,1336,1354,1369,1382,1398,1413,1431,1448,1457,1475,1490,1506
1,1,15,24,37,51,68,86,86,93,101,110,129,144,157,166,183,183,191,193,206,220,231,248,263,279,295,304,315,327,340,355,373,390,406,417,436,445,453,453,462,482,488,498,509,519,531,550,576,597,613,630,649,659,671,682,697,709,721,738,748,765,784,798,816,835,852,865,878,884,890,894,902,909,914,920,932,939,951,960,970,983,1006,1025,1032,1044,1059,1069,1087,1100,1112,1119,1125,1138,1138,1141,1147,1167,1185,1203,1219
2,1,13,23,45,64,74,74,80,88,95,103,110,123,145,165,181,193,210,224,242,256,270,288,297,307,314,321,329,339,354,366,382,396,406,418,430,451,463,476,484,495,509,520,533,550,565,582,595,609,628,642,653,668,681,697,712,730,730,739,753,767,784,801,814,826,847,864,879,895,908,919,931,931,936,941,953,962,971,983,1003,1014,1031,1047,1063,1088,1104,1122,1135,1142,1151,1164,1177,1195,1211,1229,1245,1263,1276,1297,1315
3,1,7,16,35,51,62,78,91,111,123,142,162,176,194,211,211,222,229,229,233,245,254,266,286,296,311,328,340,356,369,383,399,410,422,434,440,451,467,481,498,517,530,547,566,587,600,621,643,656,670,684,698,717,734,747,766,785,792,803,815,825,833,845,854,866,884,892,916,931,951,965,982,997,1016,1031,1043,1057,1067,1077,1088,1098,1106,1121,1129,1136,1148,1154,1174,1187,1198,1215,1233,1254,1267,1278,1288,1307,1320,1335,1355
4,1,7,11,23,44,59,68,78,87,101,114,130,151,163,180,203,220,233,258,271,288,302,321,340,354,368,378,390,403,420,444,451,463,476,496,513,531,552,569,586,605,631,647,662,670,680,680,687,694,710,716,733,753,762,783,793,810,828,841,858,868,878,889,889,891,906,925,943,954,963,979,998,1012,1022,1041,1052,1068,1081,1093,1110,1135,1148,1167,1181,1194,1212,1220,1240,1252,1259,1268,1283,1298,1314,1326,1342,1361,1376,1388,1405
5,1,9,28,46,57,73,90,106,120,133,147,160,173,184,196,208,217,228,242,255,272,289,300,315,330,349,370,370,380,389,400,417,438,457,473,492,508,525,537,557,577,593,607,621,636,652,673,697,717,732,744,759,780,794,805,818,831,846,866,884,902,921,938,954,970,988,1007,1026,1046,1062,1062,1067,1075,1082,1092,1095,1105,1115,1123,1126,1134,1141,1141,1148,1165,1174,1188,1210,1228,1242,1259,1271,1283,1295,1304,1314,1325,1336,1352,1369
6,1,13,31,46,63,76,98,112,112,131,141,158,181,196,218,237,248,268,281,290,306,320,334,346,355,361,376,389,399,414,424,435,453,466,478,499,510,524,542,555,573,589,604,621,639,661,681,701,721,731,739,760,774,791,803,803,808,823,841,857,869,880,894,903,917,925,935,946,952,959,969,977,991,1001,1016,1032,1045,1055,1065,1084,1106,1121,1126,1133,1147,1161,1168,1176,1187,1204,1221,1234,1256,1274,1296,1315,1331,1351,1370,1383
7,1,7,17,26,39,58,67,84,103,110,126,140,153,169,186,193,208,222,245,254,269,291,306,329,339,350,366,380,396,418,430,444,458,472,486,497,507,523,534,549,568,587,611,627,638,649,669,683,699,709,730,746,746,754,759,774,784,796,813,825,840,859,878,900,912,930,948,968,981,992,1003,1012,1026,1042,1054,1072,1085,1101,1116,1131,1144,1158,1170,1186,1196,1216,1227,1236,1255,1275,1275,1275,1287,1296,1310,1326,1340,1349,1360,1376
8,1,6,17,34,42,50,64,82,106,118,128,151,162,176,188,208,231,244,260,283,299,314,314,321,332,348,367,381,402,416,428,438,445,449,468,479,491,497,508,522,533,542,557,571,584,601,618,630,645,658,672,687,703,718,739,755,770,787,797,812,823,833,849,862,871,887,902,921,934,947,961,976,991,1000,1014,1033,1049,1062,1083,1101,1115,1127,1142,1157,1173,1189,1205,1229,1242,1259,1270,1282,1303,1317,1334,1353,1362,1376,1396,1412
9,1,11,18,25,37,53,64,80,95,112,130,140,148,161,177,184,197,208,224,243,258,274,293,308,329,345,361,372,391,409,427,444,458,473,488,503,518,536,544,544,546,554,568,583,596,615,639,654,665,680,690,706,724,732,753,768,781,802,823,835,851,865,886,896,909,926,935,955,966,980,1001,1015,1043,1056,1072,1088,1098,1113,1127,1136,1153,1168,1182,1199,1215,1231,1240,1253,1276,1291,1305,1317,1330,1345,1361,1381,1400,1413,1426,1443
10,1,3,16,28,46,60,67,82,102,118,134,158,177,193,206,214,233,246,259,274,290,306,319,335,349,349,357,370,387,403,420,438,449,467,482,492,514,523,527,541,551,560,577,586,595,602,619,631,645,658,670,686,703,715,730,747,747,749,757,764,774,782,795,808,821,845,861,871,883,898,907,919,934,947,961,981,998,1004,1020,1037,1049,1065,1078,1086,1103,1116,1132,1150,1168,1182,1199,1207,1218,1233,1245,1253,1272,1288,1300,1319
