,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,13,28,52,70,90,90,96,111,125,134,148,163,178,196,211,220,229,243,256,279,294,304,314,338,359,359,362,375,397,413,428,443,461,473,487,497,507,516,528,544,564,583,592,608,620,632,645,665,687,702,712,725,741,755,765,780,795,815,827,848,863,876,890,904,921,934,949,960,978,999,1015,1030,1049,1062,1075,1088,1104,1117,1138,1146,1166,1184,1200,1214,1234,1245,1271,1282,1295,1312,1328,1340,1359,1378,1393,1418,1436,1447,1467
1,1,10,24,37,48,57,67,80,100,112,123,139,147,166,179,188,198,204,217,231,240,249,265,282,296,320,335,351,367,391,405,420,442,459,465,478,494,511,527,546,563,581,602,615,630,642,654,668,681,703,722,742,765,782,795,811,832,846,869,886,898,912,929,947,963,984,996,1012,1026,1047,1047,1054,1068,1077,1085,1096,1105,1120,1133,1147,1157,1176,1190,1204,1226,1242,1257,1276,1284,1307,1318,1342,1362,1373,1395,1407,1420,1432,1450,1459
2,1,15,26,33,50,66,77,94,109,119,138,151,163,172,172,179,197,213,225,242,260,278,292,308,320,329,346,358,378,378,382,386,391,399,413,428,436,453,467,480,495,512,524,543,561,570,581,594,614,631,643,661,678,699,720,732,747,762,772,780,780,787,802,817,841,863,874,887,894,906,919,928,939,947,965,983,998,1012,1028,1035,1045,1068,1082,1099,1113,1136,1151,1170,1186,1204,1213,1228,1251,1264,1280,1301,1325,1348,1365,1378
3,1,8,17,27,27,42,57,69,75,91,108,120,133,146,160,180,194,209,228,247,259,276,291,311,322,337,351,368,385,403,427,434,450,467,480,497,508,519,532,547,563,579,596,613,639,651,669,688,699,710,724,738,752,767,784,797,810,823,823,829,839,846,858,876,886,902,917,932,948,969,980,998,1008,1025,1042,1057,1079,1097,1104,1111,1121,1132,1144,1159,1178,1195,1213,1229,1247,1258,1266,1275,1287,1287,1289,1289,1300,1317,1333,1348
4,1,14,24,37,54,74,90,110,130,148,163,178,195,209,223,244,251,260,273,283,296,308,320,332,332,340,342,345,345,345,353,369,385,402,402,405,405,405,411,418,432,449,463,488,503,516,535,550,561,583,602,612,630,648,667,680,693,712,729,743,758,774,791,808,825,840,851,869,881,901,909,909,923,937,954,974,989,1005,1023,1039,1050,1064,1080,1093,1115,1126,1142,1152,1165,1165,1171,1182,1193,1212,1229,1243,1263,1280,1290,1314
5,1,13,19,27,38,53,63,79,92,107,121,140,160,174,182,195,208,225,243,261,276,291,305,319,334,347,361,383,394,407,426,440,452,469,488,502,514,538,548,567,577,589,609,624,634,649,665,685,705,723,742,759,780,790,800,809,825,838,843,853,863,869,888,898,906,920,936,947,962,978,983,996,1013,1028,1043,1053,1067,1079,1101,1116,1128,1142,1160,1167,1182,1192,1202,1213,1227,1235,1238,1250,1260,1272,1295,1310,1321,1337,1348,1362
6,1,15,32,42,61,61,65,78,90,103,121,142,158,174,188,205,215,229,248,248,259,273,280,289,309,323,325,342,355,363,382,391,401,412,430,444,461,480,499,515,526,543,557,574,592,606,625,639,650,662,675,683,697,697,712,729,735,758,767,785,788,806,819,838,847,869,869,873,882,897,908,919,934,945,960,977,995,1014,1025,1033,1046,1057,1068,1076,1082,1091,1100,1107,1115,1128,1134,1144,1151,1169,1177,1194,1214,1233,1245,1259
7,1,12,19,20,28,43,60,84,102,123,141,160,175,195,214,232,245,265,278,298,312,331,343,343,345,350,352,362,373,383,397,414,427,437,445,462,487,508,515,535,552,567,578,585,596,611,622,634,647,661,670,683,703,718,737,748,766,780,803,820,833,844,858,874,886,902,923,932,942,953,969,980,990,1004,1015,1025,1040,1059,1075,1086,1106,1118,1135,1151,1166,1178,1193,1206,1219,1234,1252,1266,1275,1287,1297,1309,1326,1347,1361,1370
8,1,9,10,21,34,48,66,77,85,105,120,131,144,159,177,193,211,220,235,251,267,281,293,304,329,340,351,365,376,383,405,422,434,444,451,464,483,496,496,502,512,528,539,546,561,576,594,610,623,640,651,662,675,686,705,717,731,735,741,746,763,782,798,805,816,833,846,867,884,901,920,937,945,956,970,982,993,1007,1022,1034,1046,1059,1075,1089,1108,1120,1131,1145,1159,1179,1193,1205,1217,1227,1247,1258,1271,1288,1311,1329
9,1,15,35,51,66,84,100,113,130,130,145,151,158,170,170,181,195,207,220,239,252,266,285,307,320,338,359,372,384,400,416,434,453,472,492,507,516,524,524,528,534,543,547,551,566,581,598,614,620,627,640,659,674,691,701,715,730,737,752,763,773,793,815,831,847,864,879,889,902,919,938,947,959,973,983,993,1000,1017,1029,1040,1061,1081,1100,1110,1121,1128,1141,1155,1167,1175,1190,1202,1219,1229,1243,1256,1266,1283,1303,1319
10,1,11,17,28,48,61,73,88,103,118,129,141,153,168,183,199,211,231,247,259,277,289,301,314,326,336,336,338,340,345,358,371,384,404,421,434,452,468,485,500,522,536,536,542,549,554,569,590,602,616,632,644,664,682,693,709,727,741,760,774,787,801,820,834,842,858,871,886,910,926,944,968,976,985,989,996,1007,1028,1043,1059,1070,1085,1099,1113,1121,1136,1150,1166,1178,1192,1208,1220,1234,1258,1276,1292,1297,1305,1319,1337
11,1,7,12,28,44,57,67,82,98,105,120,137,154,171,185,192,210,226,245,266,282,294,307,328,328,337,340,340,351,365,372,386,396,409,425,439,452,467,480,504,519,538,556,573,590,606,626,638,654,665,683,700,721,736,757,768,791,802,817,830,838,846,864,871,871,877,885,895,908,917,933,950,964,982,1000,1021,1033,1051,1067,1082,1101,1113,1123,1123,1126,1127,1145,1157,1164,1180,1195,1206,1224,1242,1253,1267,1281,1297,1311,1318
12,1,8,19,35,46,56,70,79,88,96,113,125,148,159,175,189,199,211,223,236,251,263,283,298,317,333,349,349,355,357,359,375,389,407,424,435,452,473,490,500,524,544,562,577,589,599,616,636,636,637,652,667,667,683,703,720,733,741,757,776,798,814,835,849,858,879,899,919,932,947,960,969,974,983,998,1010,1028,1049,1060,1072,1086,1095,1107,1115,1132,1148,1155,1155,1158,1169,1176,1186,1204,1218,1238,1258,1268,1284,1284,1294
13,1,6,10,26,43,60,80,96,105,117,127,138,154,169,192,206,220,233,243,243,248,262,279,293,306,311,333,346,359,380,394,409,418,433,452,465,480,499,513,529,548,564,573,588,599,617,635,648,664,679,701,713,724,740,750,766,778,792,811,825,840,855,865,884,895,909,920,940,955,967,981,993,1005,1012,1023,1035,1046,1063,1074,1086,1100,1116,1124,1137,1146,1169,1180,1192,1207,1224,1241,1251,1263,1276,1287,1299,1318,1333,1353,1370
14,1,10,26,45,61,76,85,95,109,124,138,155,168,178,191,207,223,240,257,276,294,311,324,336,345,353,361,377,389,406,425,438,460,479,491,504,518,536,552,562,574,591,608,623,637,654,671,685,698,712,726,737,748,762,783,800,815,834,846,870,881,890,904,916,933,950,951,961,976,988,998,1010,1022,1033,1043,1052,1070,1081,1087,1093,1104,1120,1133,1144,1153,1170,1188,1200,1218,1231,1247,1259,1280,1288,1302,1315,1333,1351,1366,1386
15,1,12,27,39,56,66,78,88,98,103,116,135,150,158,168,168,179,194,211,230,245,258,276,291,312,327,340,360,382,403,416,430,444,459,478,499,510,529,544,560,572,586,586,597,613,631,647,669,682,697,719,728,747,763,772,779,789,803,812,827,842,861,868,881,899,913,926,940,956,967,988,1003,1016,1028,1041,1050,1063,1073,1080,1089,1111,1122,1132,1136,1149,1163,1177,1188,1200,1214,1217,1231,1248,1266,1277,1289,1301,1319,1339,1352
16,1,7,24,40,56,73,90,102,102,118,133,133,142,151,160,178,190,205,222,236,256,267,282,293,311,328,347,361,373,384,399,411,429,440,462,485,492,508,524,539,563,578,587,605,615,629,646,656,670,686,703,719,742,757,775,789,812,824,846,862,876,894,894,899,912,920,939,959,975,990,1008,1024,1035,1053,1068,1083,1097,1113,1130,1145,1161,1179,1194,1202,1220,1239,1250,1250,1255,1261,1275,1288,1298,1311,1316,1323,1338,1357,1373,1390
17,1,2,6,11,21,38,58,77,94,111,118,129,144,154,169,192,212,226,240,262,276,279,290,291,300,307,323,333,343,356,378,394,407,422,429,445,459,475,486,504,521,534,551,564,584,592,609,619,633,645,650,657,666,676,689,707,707,709,710,722,733,739,747,758,772,788,799,809,819,834,848,866,885,897,911,932,947,959,973,985,1002,1018,1041,1054,1069,1077,1089,1100,1120,1140,1153,1169,1186,1200,1213,1231,1246,1261,1272,1286
18,1,13,19,32,43,48,56,67,82,97,103,109,120,132,140,153,160,168,179,194,205,212,216,222,238,250,262,278,297,310,331,348,360,382,397,408,429,446,457,474,490,501,513,526,538,557,557,576,585,590,601,609,624,629,647,657,667,682,691,702,719,733,748,753,763,773,786,791,801,813,820,839,853,866,887,898,917,936,954,967,986,1007,1019,1035,1044,1057,1071,1095,1105,1124,1130,1151,1160,1171,1183,1205,1219,1239,1253,1264
19,1,9,25,32,39,51,65,70,87,101,122,135,146,162,176,192,198,211,224,237,249,262,275,285,298,316,332,345,355,372,387,411,431,445,462,474,493,504,520,534,553,572,593,602,625,638,651,666,684,695,707,714,731,741,760,776,792,808,830,844,857,877,889,889,891,908,925,944,959,971,983,993,1010,1026,1037,1047,1065,1082,1102,1113,1127,1147,1168,1191,1207,1214,1224,1242,1257,1280,1296,1315,1326,1339,1357,1369,1383,1399,1417,1432
20,1,9,17,31,43,57,71,90,107,125,142,154,172,188,199,214,233,246,259,275,295,307,323,341,355,368,375,396,407,414,418,425,439,454,469,480,495,503,512,530,552,567,580,596,611,624,635,653,671,684,696,703,717,729,736,745,759,774,793,810,824,839,850,861,876,894,902,920,938,953,970,982,998,1010,1035,1050,1067,1085,1098,1111,1111,1120,1131,1148,1163,1181,1195,1203,1217,1228,1239,1260,1269,1286,1296,1313,1331,1347,1363,1379
21,1,5,17,31,42,57,74,90,102,115,121,141,155,173,190,206,217,233,245,265,283,297,310,322,332,342,356,367,387,400,415,429,440,454,464,482,493,503,503,515,532,550,550,558,573,585,599,619,631,647,662,676,692,713,724,737,751,770,781,792,805,819,827,841,849,849,856,856,863,874,894,894,899,911,926,946,962,977,997,1012,1022,1045,1061,1070,1084,1097,1115,1134,1147,1162,1173,1190,1200,1215,1230,1248,1266,1282,1303,1314
22,1,4,17,25,35,46,59,82,94,108,121,133,145,156,169,169,173,173,184,211,223,238,253,266,281,293,313,327,349,363,377,395,412,429,443,455,471,485,498,516,525,537,550,569,585,599,619,636,656,669,686,704,716,730,746,762,775,789,808,824,842,856,873,888,903,923,941,950,971,979,995,1005,1018,1039,1047,1063,1073,1087,1103,1117,1127,1138,1158,1169,1186,1197,1212,1230,1237,1247,1258,1266,1280,1292,1313,1330,1346,1366,1382,1394
23,1,7,10,11,11,24,26,29,43,55,69,85,99,117,132,143,159,172,187,200,213,229,240,252,266,286,299,309,309,317,325,341,353,372,383,398,413,430,444,455,470,481,502,517,535,552,568,573,586,604,617,625,647,663,685,701,719,738,753,768,778,796,813,832,846,863,876,891,911,924,936,952,952,956,963,972,989,1009,1020,1034,1042,1056,1076,1089,1108,1124,1135,1151,1167,1180,1199,1219,1233,1247,1254,1272,1279,1298,1318,1326
24,1,10,20,25,33,41,53,53,72,89,101,115,133,154,172,192,212,228,245,255,270,284,294,306,313,319,330,346,365,386,402,424,439,456,472,477,492,514,531,543,556,569,586,602,616,631,642,660,674,695,711,730,749,764,778,793,811,825,842,861,879,899,917,936,944,962,977,990,1008,1029,1043,1060,1069,1083,1087,1102,1120,1131,1146,1158,1171,1181,1193,1209,1230,1242,1242,1253,1266,1280,1299,1311,1323,1344,1358,1377,1396,1410,1422,1440
25,1,12,26,37,56,67,76,95,113,128,143,150,156,168,181,193,210,228,242,257,271,284,284,289,298,300,301,302,310,321,334,348,363,375,388,404,414,431,446,455,473,482,496,511,523,530,551,566,582,596,608,622,641,660,675,695,714,736,753,765,788,794,801,815,827,842,858,871,887,901,921,935,948,973,982,996,1005,1020,1025,1037,1057,1070,1089,1099,1109,1124,1142,1155,1161,1166,1178,1178,1183,1192,1207,1217,1228,1236,1254,1267
26,1,1,13,26,40,51,61,76,94,106,122,138,149,161,172,182,198,218,237,256,256,273,284,295,304,313,320,336,348,358,366,377,385,394,399,407,412,418,432,446,457,475,493,510,524,524,533,537,558,575,595,611,635,651,671,684,703,716,730,754,767,780,789,802,822,840,852,864,878,896,921,939,955,968,985,1002,1018,1038,1044,1062,1080,1094,1111,1127,1139,1151,1165,1175,1188,1201,1222,1237,1244,1259,1273,1293,1311,1326,1342,1363
27,1,1,14,30,46,67,79,99,118,136,147,162,178,190,203,214,223,231,236,247,261,274,289,301,309,327,345,360,378,401,416,430,443,452,465,479,492,510,523,544,563,584,602,619,640,651,664,681,699,716,724,741,764,775,801,816,832,848,873,888,903,925,942,949,961,979,998,1020,1041,1057,1071,1086,1099,1118,1128,1138,1151,1161,1174,1183,1193,1203,1215,1227,1241,1254,1264,1281,1300,1322,1338,1348,1365,1377,1399,1414,1433,1452,1462,1484
28,1,11,11,22,28,43,59,59,73,87,104,113,130,145,157,177,197,211,227,241,256,267,284,301,313,329,349,360,374,374,383,389,398,406,423,436,454,471,488,499,508,526,543,559,575,600,617,633,650,668,684,695,695,700,705,712,723,742,753,767,783,791,807,819,835,852,867,867,870,879,890,906,930,943,951,961,971,975,983,994,1002,1013,1030,1042,1050,1067,1082,1096,1111,1124,1131,1151,1166,1182,1193,1204,1215,1227,1237,1255
29,1,5,21,35,52,67,86,97,113,126,140,155,165,183,198,210,228,242,259,275,288,303,315,332,343,358,373,389,397,408,432,447,461,469,484,499,510,518,535,555,562,562,571,585,595,608,621,631,635,647,660,670,687,699,713,724,724,726,728,739,754,769,774,784,793,807,821,837,854,869,886,907,926,948,965,981,1000,1017,1034,1057,1077,1095,1105,1122,1136,1151,1159,1170,1178,1190,1203,1213,1228,1245,1258,1272,1278,1290,1310,1322
