,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,17,55,60,67,74,74,74,74,74,74,74,74,76,76,76,92,104,140,162,234,279,318,386,463,490,495,517,576,652,685,722,739,769,810,866,938,984,1028,1052,1060,1061,1083,1131,1185,1247,1317,1405,1481,1565,1595,1649,1704,1761,1835,1885,1939,1990,2050,2072,2080,2081,2090,2091,2143,2207,2299,2339,2373,2407,2474,2490,2501,2512,2529,2538,2566,2611,2647,2650,2659,2659,2659,2693,2779,2876,2910,2947,2970,3009,3072,3140,3144,3154,3171
1,0,0,0,0,0,25,40,57,107,123,157,163,172,217,228,278,331,350,437,469,500,537,550,595,619,648,658,670,687,694,705,749,766,796,801,812,824,850,878,926,977,1068,1129,1135,1148,1186,1240,1251,1256,1275,1343,1417,1453,1483,1503,1511,1530,1545,1563,1588,1607,1637,1665,1703,1734,1737,1741,1757,1763,1786,1813,1857,1871,1873,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1884,1928,1976,2036,2069,2136,2150,2152,2153
2,0,0,0,0,0,0,0,0,0,0,0,0,11,25,35,42,45,50,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,106,131,155,216,247,262,278,295,329,397,408,439,463,479,493,559,575,600,608,617,645,658,662,664,665,674,697,733,766,800,819,847,869,920,926,927,927,939,945,958,980,1015,1020,1027,1046,1055,1065,1096,1105,1119,1124,1129,1129,1129,1129,1150,1154,1154,1165,1173,1197,1207,1223,1224,1249,1280
3,0,0,0,2,3,4,5,11,15,16,16,29,62,83,92,94,113,128,183,222,223,247,310,346,389,424,484,487,500,540,593,647,730,822,881,885,896,909,945,998,1019,1034,1054,1083,1145,1183,1251,1308,1382,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1407,1410,1417,1429,1447,1463,1493,1510,1520,1523,1525,1557,1588,1650,1694,1701,1717,1745,1756,1797,1812,1834,1863,1905,1979,2067,2160,2194,2252,2272,2291,2329,2348,2359,2375,2385,2406,2458
4,0,0,0,0,0,22,40,130,184,268,366,419,511,599,670,729,734,740,747,754,792,829,876,889,896,926,944,987,1032,1038,1041,1053,1064,1064,1064,1064,1064,1089,1136,1190,1250,1322,1335,1348,1360,1370,1388,1417,1478,1574,1648,1685,1736,1746,1758,1763,1786,1829,1838,1854,1902,1905,1910,1933,1935,1935,1935,1935,1935,1935,1935,1935,1935,1951,1957,1973,1974,1974,1984,1998,2028,2057,2078,2109,2137,2138,2138,2170,2219,2261,2269,2289,2318,2353,2411,2464,2536,2553,2569,2606
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,26,36,39,66,106,154,219,270,324,335,343,352,353,353,353,358,382,417,483,504,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,516,529,530,530,530,530,530,530,530,530,530,530,530,539,555,560,570,584,603,608,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,638,668,696,705,706,719,720
6,0,0,0,0,0,0,0,0,1,2,5,10,20,32,59,79,114,146,165,179,251,304,334,351,365,386,389,392,470,552,624,649,664,664,668,676,678,703,732,761,772,800,810,810,810,810,810,810,810,810,813,813,813,813,822,830,833,854,872,917,990,1053,1142,1160,1178,1201,1248,1257,1297,1349,1444,1453,1535,1572,1614,1642,1653,1672,1713,1747,1773,1844,1902,1953,2012,2052,2065,2086,2113,2162,2213,2294,2366,2448,2468,2518,2604,2629,2636,2663
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14,28,29,30,33,33,33,33,33,33,33,33,33,33,33,33,58,67,85,110,119,126,131,140,154,166,171,179,188,237,268,293,322,377,457,517,601,682,720,724,724,733,739,750,781,787,787,791,793,804,831,892,989,1070,1165,1196,1200,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201
8,0,0,1,2,2,2,10,18,19,49,72,85,93,109,158,170,208,252,296,369,467,558,600,600,601,610,635,652,687,773,792,813,866,940,956,980,1007,1018,1024,1038,1052,1076,1101,1134,1175,1259,1312,1348,1398,1472,1557,1644,1712,1735,1745,1772,1807,1860,1930,2014,2093,2104,2163,2233,2267,2328,2350,2400,2472,2495,2561,2611,2659,2712,2731,2748,2767,2798,2832,2859,2879,2893,2938,3006,3065,3133,3217,3249,3293,3323,3368,3413,3443,3449,3457,3503,3531,3557,3577,3621
9,0,0,0,0,0,0,0,19,26,36,42,61,93,116,186,190,190,190,190,190,190,190,190,201,231,235,265,270,308,355,416,487,579,671,731,773,798,829,915,999,1095,1130,1159,1159,1159,1159,1159,1159,1160,1160,1160,1160,1160,1196,1212,1223,1246,1274,1284,1301,1304,1307,1314,1317,1335,1338,1341,1346,1356,1369,1382,1410,1462,1518,1578,1665,1689,1712,1713,1721,1734,1775,1824,1894,1979,2069,2086,2102,2125,2155,2164,2179,2208,2279,2279,2279,2279,2279,2279,2279
10,0,0,0,0,0,2,6,10,10,10,10,10,10,35,114,209,299,310,342,353,388,463,562,636,721,790,882,967,1054,1085,1146,1167,1182,1187,1213,1274,1368,1462,1488,1509,1537,1579,1637,1695,1770,1798,1863,1922,1954,1982,1996,1996,1996,1996,1996,1997,1999,2010,2013,2024,2028,2031,2037,2046,2052,2077,2094,2105,2119,2135,2167,2230,2300,2377,2437,2535,2605,2681,2713,2723,2726,2728,2735,2743,2750,2776,2826,2893,2970,2970,2970,2970,2970,2970,2970,2970,2970,2970,2970,2970
11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,48,72,124,187,280,344,400,477,558,566,585,615,691,716,737,779,811,850,929,961,987,1025,1073,1121,1201,1264,1350,1364,1387,1390,1393,1393,1410,1452,1461,1472,1486,1530,1608,1652,1683,1761,1846,1914,1982,2023,2028,2039,2041,2060,2077,2087,2101,2132,2144
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,38,53,82,94,114,130,172,235,314,377,434,521,608,689,760,803,821,851,860,883,931,981,1048,1073,1087,1111,1164,1164,1164,1164,1180,1193,1238,1316,1400,1497,1596,1602,1607,1625,1665,1695,1747,1801,1826,1844,1866,1875,1875,1879,1887,1894,1914,1934,1959,1993,2051,2125,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2209,2243,2244,2244,2244,2244,2244,2251,2256,2286
13,0,0,0,1,11,15,84,150,156,184,204,264,285,336,339,345,352,364,387,439,509,602,610,610,610,610,610,639,686,785,885,898,926,958,1026,1091,1144,1180,1247,1332,1355,1361,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1369,1371,1371,1383,1402,1426,1470,1491,1510,1523,1529,1529,1529,1580,1632,1668,1714,1741,1744,1753,1802,1805,1817,1854,1867,1869,1872,1874,1877,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
14,0,0,0,0,5,9,17,23,45,47,96,132,150,188,198,263,268,276,282,297,310,329,350,392,451,509,585,589,610,639,680,708,776,857,954,974,1025,1031,1031,1031,1031,1031,1031,1031,1103,1187,1274,1373,1453,1532,1606,1652,1655,1665,1676,1685,1711,1743,1767,1808,1846,1920,1974,2025,2116,2194,2265,2355,2363,2367,2367,2367,2451,2544,2621,2701,2775,2818,2868,2913,2974,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2978,2984,3000
