,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,14,92,175,251,331,361,447,449,535,620,637,690,706,805,904,929,1006,1042,1108,1181,1257,1348,1408,1491,1585,1676,1763,1851,1880,1961,2041,2113,2171,2177,2249,2313,2352,2429,2499,2575,2635,2688,2744,2797,2836,2872,2878,2901,2928,2940,2957,2981,3014,3063,3116,3181,3240,3310,3399,3489,3580,3676,3719,3809,3843,3914,3967,3991,4036,4038,4077,4133,4195,4259,4284,4304,4339,4343,4354,4368,4369,4390,4421,4437,4452,4523,4561,4600,4626,4633,4684,4744,4805,4823,4876,4914,4936,4955,5006
1,0,15,39,116,170,242,260,333,416,469,545,625,663,750,833,915,987,1006,1045,1130,1212,1234,1256,1289,1362,1461,1559,1651,1715,1774,1798,1831,1886,1900,1961,2029,2031,2044,2066,2105,2147,2232,2314,2371,2441,2520,2541,2597,2607,2649,2654,2720,2795,2831,2907,2979,3052,3087,3104,3105,3128,3170,3229,3310,3400,3487,3564,3584,3636,3683,3712,3738,3754,3791,3833,3878,3924,3955,3989,4029,4080,4135,4158,4200,4211,4270,4307,4340,4346,4383,4416,4472,4526,4579,4662,4745,4829,4903,4917,4928
2,0,26,99,105,160,220,245,313,358,359,378,399,409,471,501,589,636,712,798,893,928,1022,1112,1195,1220,1295,1301,1316,1325,1357,1401,1454,1525,1580,1621,1630,1669,1749,1814,1843,1920,1998,2039,2096,2127,2142,2214,2290,2369,2427,2507,2541,2549,2554,2557,2564,2614,2653,2702,2775,2826,2887,2916,2959,2996,3030,3066,3114,3131,3177,3185,3237,3254,3274,3319,3369,3375,3441,3520,3595,3657,3690,3750,3796,3867,3885,3958,4011,4039,4111,4178,4248,4321,4381,4451,4507,4569,4588,4604,4663
3,0,8,73,133,145,181,258,337,429,439,473,484,566,618,673,692,699,772,869,969,980,1080,1180,1203,1303,1403,1502,1526,1626,1722,1743,1833,1913,1923,1999,2055,2108,2109,2134,2163,2168,2216,2234,2271,2307,2375,2442,2499,2559,2623,2679,2721,2749,2800,2855,2887,2936,2981,3021,3067,3077,3101,3166,3198,3255,3261,3261,3271,3282,3343,3356,3412,3446,3455,3478,3488,3536,3541,3553,3605,3620,3647,3719,3805,3817,3847,3941,3980,4072,4163,4240,4316,4400,4400,4405,4437,4440,4468,4528,4558
4,0,11,90,146,222,227,278,339,414,431,511,580,626,701,770,774,832,833,880,967,1065,1087,1185,1274,1297,1391,1426,1451,1479,1497,1555,1593,1621,1637,1681,1762,1827,1849,1883,1918,1978,2052,2129,2208,2292,2329,2421,2511,2598,2613,2659,2695,2738,2755,2779,2811,2822,2827,2842,2917,2998,3082,3170,3255,3338,3345,3384,3470,3510,3560,3629,3704,3739,3807,3812,3828,3867,3876,3898,3949,3994,4019,4023,4047,4107,4186,4243,4297,4362,4430,4497,4564,4616,4622,4648,4677,4720,4753,4805,4832
5,0,15,47,138,228,245,323,338,424,492,527,546,599,649,671,733,788,837,907,969,993,1008,1041,1121,1145,1200,1207,1239,1333,1429,1477,1516,1570,1621,1676,1731,1766,1787,1801,1858,1931,2011,2059,2128,2177,2243,2324,2373,2437,2455,2507,2548,2611,2680,2763,2833,2880,2892,2956,2969,3015,3026,3038,3102,3112,3179,3260,3292,3381,3386,3450,3499,3542,3604,3630,3658,3678,3692,3747,3813,3881,3898,3927,3969,4023,4062,4094,4148,4209,4275,4355,4417,4473,4499,4558,4609,4680,4742,4759,4805
6,0,14,101,186,265,354,356,456,547,639,649,737,761,783,866,943,1024,1043,1106,1170,1240,1316,1371,1411,1510,1541,1608,1707,1713,1713,1722,1780,1781,1794,1796,1826,1900,1927,1940,2013,2019,2086,2169,2174,2245,2276,2342,2421,2476,2543,2596,2655,2668,2710,2719,2731,2826,2922,2951,3037,3111,3186,3256,3262,3347,3423,3500,3572,3649,3704,3766,3811,3837,3862,3875,3914,3956,3959,4005,4049,4123,4187,4263,4303,4341,4344,4386,4412,4472,4549,4632,4717,4768,4854,4869,4947,5039,5121,5212,5299
7,0,15,65,117,174,188,202,234,237,248,334,396,476,563,639,706,712,712,728,741,760,767,806,899,933,1006,1039,1124,1202,1273,1330,1362,1429,1495,1560,1630,1697,1712,1781,1864,1905,1948,1958,1997,2015,2076,2151,2220,2302,2384,2465,2504,2581,2659,2736,2819,2875,2938,3000,3065,3083,3096,3158,3185,3220,3222,3264,3306,3345,3379,3395,3399,3408,3461,3513,3561,3584,3655,3708,3716,3762,3766,3772,3818,3836,3843,3877,3938,4001,4056,4127,4205,4283,4332,4388,4459,4517,4569,4645,4692
8,0,7,61,141,217,299,345,429,457,478,543,631,653,745,765,846,911,927,1003,1023,1086,1157,1243,1270,1339,1416,1446,1463,1525,1530,1619,1628,1710,1799,1892,1973,2063,2095,2193,2273,2352,2440,2527,2608,2689,2743,2781,2794,2838,2877,2886,2905,2916,2928,2943,2956,3017,3091,3125,3183,3204,3272,3345,3384,3468,3554,3586,3637,3667,3758,3841,3909,3984,4014,4016,4035,4050,4065,4103,4121,4154,4179,4213,4240,4279,4299,4333,4368,4398,4398,4406,4463,4495,4514,4585,4652,4725,4796,4858,4931
9,0,8,90,173,184,268,353,436,500,500,514,594,677,758,783,855,919,970,1044,1112,1144,1210,1262,1298,1336,1349,1394,1418,1442,1476,1540,1615,1669,1720,1764,1837,1847,1932,2022,2067,2137,2210,2257,2316,2360,2361,2375,2378,2385,2445,2486,2516,2559,2575,2616,2644,2724,2751,2757,2789,2817,2834,2863,2866,2883,2891,2921,3003,3096,3184,3273,3304,3395,3427,3517,3612,3666,3714,3809,3890,3920,3998,4000,4039,4102,4188,4277,4367,4460,4520,4539,4553,4577,4646,4742,4831,4903,4973,5041,5113
