,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,3,56,74,151,215,296,378,461,502,586,683,778,792,870,939,1029,1029,1037,1067,1113,1131,1151,1192,1268,1329,1392,1472,1544,1550,1587,1638,1710,1762,1767,1830,1848,1923,1982,2028,2078,2105,2155,2224,2270,2287,2373,2466,2539,2595,2624,2698,2735,2743,2766,2846,2935,3025,3025,3025,3025,3025,3025,3025,3082,3133,3197,3212,3303,3385,3423,3468,3530,3617,3694,3701,3782,3869,3926,4012,4091,4091,4098,4108,4137,4150,4174,4180,4184,4188,4189,4189,4210,4216,4228,4235,4317,4390,4430,4440
1,0,14,91,188,224,302,365,437,445,479,484,521,575,585,672,687,785,800,899,991,1084,1178,1207,1242,1315,1348,1447,1447,1456,1517,1577,1648,1725,1808,1891,1917,1982,2064,2129,2135,2183,2248,2321,2365,2379,2442,2466,2554,2627,2664,2684,2709,2788,2880,2945,2988,3076,3100,3190,3261,3312,3368,3447,3514,3602,3667,3693,3774,3858,3919,4009,4108,4204,4261,4307,4400,4480,4565,4583,4676,4689,4706,4738,4782,4835,4911,4980,4999,5080,5117,5202,5280,5373,5443,5465,5494,5533,5555,5581,5582
2,0,12,86,175,266,325,403,482,533,595,691,745,767,862,890,982,1052,1116,1173,1258,1297,1324,1408,1500,1591,1630,1669,1752,1775,1822,1897,1979,2047,2143,2232,2306,2383,2472,2555,2568,2617,2693,2740,2785,2806,2888,2888,2891,2908,2950,2957,3007,3059,3092,3120,3145,3159,3162,3162,3183,3188,3189,3213,3217,3232,3235,3235,3306,3343,3349,3356,3382,3426,3441,3514,3515,3541,3561,3562,3566,3639,3641,3665,3728,3763,3806,3819,3869,3936,4026,4069,4073,4156,4199,4248,4302,4382,4421,4465,4480
3,0,12,30,88,161,252,252,262,262,277,340,413,474,474,480,502,511,520,525,547,554,557,582,591,621,628,650,736,824,873,879,932,991,1051,1115,1127,1185,1269,1286,1368,1396,1435,1528,1555,1633,1716,1757,1831,1844,1866,1942,1968,1969,1986,1998,2040,2087,2140,2172,2249,2314,2326,2415,2507,2601,2631,2643,2680,2712,2716,2734,2790,2818,2881,2891,2912,2969,3048,3141,3236,3331,3423,3474,3509,3532,3551,3560,3570,3639,3665,3678,3762,3786,3883,3982,4081,4081,4084,4133,4173
4,0,15,89,101,164,200,255,309,388,479,482,569,619,692,714,792,823,899,994,1090,1188,1239,1315,1404,1493,1550,1631,1674,1747,1822,1902,1982,2050,2143,2147,2208,2295,2369,2434,2466,2488,2497,2561,2626,2711,2797,2886,2985,2988,3077,3098,3182,3196,3258,3353,3449,3466,3534,3610,3629,3694,3725,3809,3891,3964,4045,4119,4177,4182,4277,4359,4437,4524,4538,4624,4688,4779,4879,4903,4993,5088,5180,5222,5291,5379,5470,5482,5503,5542,5561,5582,5592,5601,5624,5657,5722,5746,5808,5891,5899
5,0,14,36,107,167,194,239,305,360,450,450,457,492,561,598,653,689,705,706,708,754,808,842,869,931,1019,1108,1134,1205,1251,1262,1332,1366,1391,1432,1443,1443,1444,1444,1444,1494,1546,1601,1658,1681,1760,1849,1852,1916,2004,2092,2129,2212,2229,2289,2312,2323,2347,2435,2521,2610,2675,2700,2738,2810,2813,2859,2872,2882,2916,2927,2941,3021,3060,3080,3095,3144,3188,3197,3214,3220,3222,3236,3261,3272,3355,3395,3488,3583,3593,3692,3692,3702,3773,3841,3854,3908,3974,4025,4084
6,0,11,102,133,162,223,318,416,515,530,618,678,770,791,884,978,1034,1129,1145,1207,1268,1349,1365,1370,1422,1476,1525,1583,1610,1652,1724,1792,1869,1948,2038,2114,2117,2173,2204,2297,2356,2376,2435,2507,2565,2613,2678,2700,2735,2762,2809,2840,2842,2862,2934,2986,3036,3098,3177,3267,3360,3450,3502,3568,3642,3701,3794,3838,3898,3994,4039,4065,4149,4183,4226,4285,4360,4444,4485,4550,4572,4595,4606,4664,4668,4697,4720,4776,4846,4919,4929,4958,5013,5056,5104,5141,5201,5215,5307,5399
7,0,15,89,158,251,308,321,338,362,462,562,662,751,838,907,998,1060,1077,1078,1087,1102,1156,1230,1303,1318,1339,1396,1472,1562,1587,1667,1764,1791,1884,1975,2056,2127,2214,2227,2269,2329,2423,2520,2615,2705,2757,2847,2847,2850,2875,2883,2885,2885,2888,2894,2894,2894,2894,2924,2931,2988,3023,3048,3074,3106,3184,3265,3319,3347,3388,3405,3421,3423,3497,3567,3630,3701,3758,3807,3858,3880,3927,3980,4032,4084,4130,4219,4247,4329,4329,4331,4357,4366,4455,4487,4569,4607,4695,4756,4815
8,0,14,18,104,178,236,248,304,344,360,392,398,474,525,582,582,594,638,701,778,845,882,892,956,979,1037,1073,1082,1131,1199,1256,1310,1363,1434,1514,1594,1624,1708,1805,1809,1892,1983,2060,2111,2189,2196,2223,2320,2415,2480,2578,2612,2646,2743,2754,2849,2930,2998,3070,3115,3138,3222,3291,3300,3329,3335,3335,3345,3413,3491,3574,3640,3719,3738,3813,3907,3996,4040,4054,4124,4132,4176,4266,4359,4445,4527,4556,4639,4677,4713,4774,4852,4895,4956,5022,5043,5058,5112,5180,5241
9,0,4,94,150,231,263,327,327,338,353,355,372,430,484,575,617,680,762,839,852,876,930,982,988,1027,1041,1112,1156,1167,1170,1202,1223,1243,1248,1280,1336,1393,1467,1556,1638,1680,1680,1687,1714,1722,1725,1728,1744,1766,1783,1808,1822,1865,1929,2002,2024,2092,2111,2172,2219,2283,2345,2392,2475,2514,2580,2661,2726,2812,2886,2928,2935,2936,2938,2947,2947,2983,3005,3068,3122,3161,3163,3173,3206,3209,3221,3275,3322,3379,3440,3498,3514,3520,3539,3552,3571,3574,3583,3587,3602
