,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,32,57,120,210,300,341,411,474,569,659,733,820,916,1000,1017,1056,1118,1166,1186,1270,1362,1443,1532,1579,1598,1651,1669,1678,1706,1773,1811,1888,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1979,1980,1994,2061,2118,2145,2185,2257,2333,2401,2406,2435,2483,2494,2516,2530,2559,2580,2582,2586,2612,2633,2645,2681,2708,2729,2809,2894,2967,3056
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,29,56,73,129,147,157,194,280,282,286,286,292,307,324,351,365,385,441,489,537,560,606,638,727,772,861,954,995,1037,1122,1213,1282,1316,1392,1407,1421,1436,1513,1517,1537,1583,1622,1642,1671,1696,1697,1697,1697,1697,1697,1697,1697,1697,1703,1707,1718,1723,1743,1769,1798
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,72,72,72,72,72,72,72,76,76,98,181,250,298,326,418,491,576,667,695,752,758,783,850,947,1046,1138,1149,1176,1247,1268,1306,1388,1473,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511,1537,1552,1609,1658,1700
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,77,114,161,242,332,415,420,444,520,615,683,767,858,920,926,956,975,1042,1090,1160,1230,1265,1296,1337,1402,1469,1475,1488,1490,1494,1515,1545,1566,1591,1637,1663,1729,1785,1795,1820,1876,1953,1955,1964,1985,2002,2010,2012,2018,2025,2035,2048,2051,2071,2108,2115,2146,2204,2285,2364,2452,2512,2566,2597,2610,2653,2731,2810,2861,2930,3009,3059,3120,3151,3201,3210,3213,3225,3267,3320,3342
4,0,0,0,0,0,0,15,75,113,198,257,336,412,496,526,543,598,674,762,790,852,879,929,998,1058,1093,1127,1152,1214,1296,1384,1476,1568,1626,1715,1727,1758,1768,1799,1847,1916,1976,1989,2029,2084,2147,2221,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2324,2361,2395,2429,2452,2479,2487,2511,2546,2612,2684,2770,2770,2785,2816,2851,2882,2946,2997,3074,3162,3248,3341,3396,3441,3478,3518,3556,3597,3634,3669,3751,3799,3891,3945
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,77,105,110,112,133,166,206,235,272,323,336,348,392,400,431,513,537,604,647,673,717,779,864,936,986,995,1026,1063,1104,1149,1211,1258,1337,1361,1411,1416,1470,1505,1547,1601,1672,1677,1682,1689,1697,1717,1720,1733,1743,1758,1768,1783,1797,1836,1839,1849,1875,1935,1973,2062,2129,2222,2292,2352,2375,2427,2496,2507,2539,2569,2622
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,73,75,77,90,103,124,173,186,192,209,247,273,282,318,394,442,481,515,556,594,625,637,685,774,789,795,827,901,950,1042,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1113,1116,1127,1132,1141,1146,1150,1160,1160,1160,1162,1163,1165,1166,1169,1181,1184,1187,1199,1206,1231,1253,1312,1371,1452,1487,1513,1556
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,48,108,169,269,350,443,506,596,678,696,749,845,932,1027,1106,1204,1300,1396,1490,1585,1667,1748,1828,1839,1876,1948,2002,2065,2072,2091,2139,2206,2273,2350,2395,2422,2470,2540,2557,2594,2641,2658,2734,2821,2827,2848,2905,2948,2979,3009,3039,3094,3134,3192,3212,3223,3273,3298,3317,3386,3465,3527,3601,3609,3627,3665,3722,3787,3849,3873,3876,3888,3927,3938
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,35,41,65,120,213,303,383,463,485,543,557,605,668,741,791,831,891,925,1007,1014,1041,1109,1138,1205,1224,1242,1286,1342,1343,1366,1388,1428,1481,1496,1526,1556,1602,1654,1680,1729,1778,1804,1830,1863,1890,1949,1969,2020,2077,2115,2185,2253,2296,2318,2342,2422,2461,2476,2529,2601,2674,2709,2726,2777,2850,2851,2853,2918,2941,2990,3023,3032,3062,3118,3156,3174,3220,3271,3309
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,23,60,145,242,319,412,507,517,547,579,664,733,805,897,978,1067,1154,1188,1246,1258,1266,1268,1279,1298,1307,1350,1430,1492,1547,1586,1655,1722,1797,1840,1917,1962,2005,2025,2050,2073,2108,2130,2183,2206,2260,2342,2414,2494,2552,2563,2616,2690,2742,2809,2858,2928
10,0,0,0,0,0,0,0,0,14,22,47,64,104,190,226,301,396,474,557,588,611,677,734,815,897,958,1029,1060,1086,1147,1168,1212,1283,1352,1413,1484,1500,1506,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1527,1543,1572,1587,1618,1626,1672,1726,1773,1855,1931,2003,2039,2100,2160,2238,2295,2352,2379,2417,2498,2569,2648,2730,2740,2768,2800,2879,2938,3026,3043,3080,3093,3104,3133,3135,3142,3167,3176,3208,3214,3237,3287,3336,3390,3470,3499,3522,3528,3543,3558
11,0,0,0,0,0,0,0,0,0,0,4,13,40,100,144,231,324,419,515,609,704,711,727,763,856,955,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1052,1058,1067,1075,1088,1124,1157,1213,1308,1312,1324,1343,1345,1374,1386,1400,1439,1507,1607,1703,1786,1875,1945,2028,2114,2196,2226,2297,2328,2362,2430,2508,2562,2635,2714,2750,2832,2893,2988,3083,3083,3083,3083,3083,3083,3083,3083,3083,3083,3083
12,0,0,0,0,0,0,0,0,0,0,23,27,37,109,133,160,163,166,166,189,230,266,273,301,305,332,406,423,484,567,650,680,760,839,889,949,992,1054,1091,1115,1182,1257,1342,1414,1476,1551,1626,1715,1735,1785,1841,1876,1951,2030,2111,2113,2119,2127,2130,2136,2152,2190,2252,2334,2416,2505,2585,2622,2696,2776,2855,2889,2949,3033,3109,3175,3175,3195,3225,3273,3305,3368,3426,3452,3507,3579,3654,3699,3763,3836,3894,3959,4028,4104,4145,4145,4145,4145,4145,4145
13,0,0,0,0,0,0,0,0,0,0,0,0,20,65,145,214,260,276,310,337,347,373,383,397,440,488,550,557,571,588,593,602,616,622,639,642,655,661,667,677,683,687,778,823,861,901,989,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1094,1128,1200,1282,1373,1450,1523,1608,1652,1737,1776,1786,1813,1834,1858,1860,1875,1914,1937,1944,1974,2041,2052,2066,2093,2100,2115,2133,2155,2189,2201,2233,2245,2282
14,0,0,0,0,0,0,0,0,0,20,37,51,61,76,89,119,162,193,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,264,340,431,514,528,565,638,719,786,867,882,922,972,1034,1087,1113,1171,1216,1277,1344,1376,1379,1391,1419,1472,1529,1576,1600,1640,1673,1716,1729,1776,1822,1875,1919,1986,2053,2125,2215,2281,2359,2417,2468,2492,2530,2578,2650,2666,2714,2782,2822,2872,2903,2940,2972,3011,3042,3112,3195,3269
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,125,222,243,283,361,450,523,602,679,721,788,876,958,994,1084,1166,1228,1318,1411,1501,1590,1675,1753,1796,1868,1944,1980,2058,2141,2226,2304,2381,2455,2526,2589,2650,2727,2804,2804,2804,2842,2910,2994,3076,3125,3140,3175,3180,3193,3224,3283,3343,3374,3450,3489,3554,3651,3749,3794,3891,3990,4075,4161,4212,4255,4280,4343,4371,4388
16,0,0,0,0,0,0,0,0,0,0,0,0,0,18,71,142,226,300,378,428,519,519,519,519,519,519,521,531,567,656,696,729,813,912,964,1011,1100,1198,1215,1255,1271,1309,1338,1390,1442,1489,1556,1637,1694,1750,1837,1907,1941,1995,2042,2098,2164,2190,2282,2304,2314,2334,2392,2420,2485,2579,2657,2661,2672,2696,2723,2732,2771,2781,2796,2825,2848,2873,2941,3020,3045,3093,3134,3153,3170,3190,3256,3296,3340,3403,3427,3491,3530,3557,3605,3639,3675,3734,3805,3824
17,0,0,0,0,0,0,10,30,61,80,147,220,283,326,378,413,425,429,450,493,558,558,558,558,558,558,558,558,558,583,612,680,727,740,788,864,950,1015,1070,1138,1193,1257,1268,1320,1405,1476,1508,1524,1577,1602,1666,1732,1765,1806,1843,1906,1945,2012,2089,2154,2167,2219,2293,2368,2390,2440,2473,2502,2564,2657,2752,2754,2763,2792,2854,2938,2941,2955,2978,2995,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058,3058
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,119,147,197,227,287,358,386,451,549,621,679,716,757,833,840,867,904,970,985,1009,1051,1061,1130,1170,1191,1231,1254,1313,1365,1434,1456,1533,1565,1582,1588,1597,1640,1689,1752,1805,1855,1869,1898,1934,1950,2021,2117,2211,2280,2313,2370,2448,2482,2554,2624,2658,2723,2815,2882,2884,2886,2891,2897,2908,2935,3009,3036,3065,3134,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,49,63,73,113,169,215,248,248,248,248,248,248,248,248,248,248,248,248,248,249,249,249,249,249,249,249,276,313,355,423,425,435,452,473,498,524,536,590,599,633,691,762,820,885,936,1001,1073,1151,1238,1261,1299,1386,1439,1470,1550,1641,1685,1716
20,0,0,0,0,0,0,0,0,17,57,150,247,337,353,370,432,531,576,582,601,652,715,754,833,888,924,973,994,1047,1111,1189,1264,1332,1407,1412,1416,1429,1459,1521,1528,1543,1586,1655,1683,1702,1734,1799,1874,1939,2005,2081,2116,2170,2213,2271,2325,2379,2387,2421,2457,2473,2493,2549,2629,2719,2781,2853,2889,2890,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2904,2928,2993,3040,3104
21,0,0,0,0,0,14,45,140,223,298,379,418,473,505,555,632,713,752,778,808,840,858,899,939,958,994,1065,1126,1200,1249,1263,1294,1358,1457,1555,1647,1740,1808,1888,1974,1982,2000,2040,2114,2177,2208,2251,2270,2282,2349,2393,2472,2550,2596,2642,2658,2682,2716,2760,2785,2815,2847,2848,2848,2848,2848,2862,2885,2910,2916,2923,2934,2964,3003,3061,3125,3196,3219,3281,3312,3379,3414,3467,3480,3520,3577,3648,3717,3735,3773,3850,3932,3961,4021,4110,4193,4282,4361,4415,4465
22,0,0,0,0,0,0,0,0,0,34,107,188,284,308,376,453,521,540,584,644,685,732,742,762,792,809,809,817,842,910,925,965,985,1037,1105,1177,1185,1205,1231,1253,1265,1284,1304,1333,1406,1492,1531,1621,1710,1746,1768,1838,1856,1876,1964,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052,2061,2082,2150,2241,2332,2428,2476,2564,2623,2687,2751,2831,2893,2945,2991,3051,3087,3159,3238,3301,3332,3393,3452,3525,3591,3616,3621,3643,3672,3723,3798,3823,3843
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,54,56,64,74,94,134,207,307,344,437,530,566,612,645,674,729,817,818,819,825,835,876,952,998,1061,1133,1197,1215,1244,1245,1271,1293,1356,1426,1486,1498,1550,1618,1687,1779,1870,1950,1958,1968,1971,1976,1990,2015,2079,2150,2175,2237,2302,2395,2490,2494,2506,2524,2565,2598,2630,2691,2781,2871,2963,3058,3146,3233,3291,3367,3411,3486,3544,3550,3575,3614,3685,3740,3779,3844,3906,3955,4016
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,24,45,104,169,203,248,259,289,318,319,320,323,326,350,382,452,489,493,516,568,581,633,636,643,659,681,721,754,787,827,861,875,921,955,1013,1069,1116,1139,1196,1204,1211,1236,1267,1320,1383,1394,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1436,1447,1486,1510,1544,1604,1661,1736,1815,1904,1943,1959,1995,2008,2056,2127,2165,2260,2345,2389,2457,2541,2596,2624
25,0,0,0,0,0,0,0,0,0,0,0,3,19,46,95,183,271,278,313,382,476,512,577,666,757,776,834,923,955,977,1050,1100,1165,1225,1267,1336,1415,1424,1450,1479,1534,1546,1571,1634,1732,1803,1883,1958,2025,2087,2165,2237,2303,2313,2342,2408,2460,2549,2644,2742,2839,2881,2963,3007,3094,3182,3237,3328,3402,3469,3545,3571,3588,3601,3614,3665,3684,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3707,3728,3752
26,0,0,0,0,0,0,0,0,0,0,0,0,11,34,63,119,119,119,119,119,119,119,119,128,130,131,135,142,166,194,249,338,419,487,495,522,557,631,706,729,791,848,914,965,1027,1090,1125,1180,1251,1274,1282,1316,1368,1384,1420,1494,1536,1537,1557,1578,1627,1657,1692,1764,1847,1882,1950,2016,2094,2099,2108,2132,2133,2138,2167,2232,2263,2309,2320,2366,2448,2523,2568,2586,2638,2683,2756,2847,2910,2939,3020,3055,3102,3174,3249,3308,3378,3460,3530,3614
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,54,67,93,104,118,161,179,266,319,379,417,513,589,664,722,750,789,820,853,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,951,1024,1040,1122,1208,1268,1321,1372,1413,1430,1470,1504,1529,1564,1601,1614,1634,1661,1753,1809,1871,1874,1893,1926,1984,2056,2099
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,123,223,317,331,351,380,399,446,532,608,617,622,627,638,660,680,736,833,918,1004,1089,1157,1227,1265,1337,1404,1466,1506,1523,1574,1589,1605,1651,1701,1734,1785,1861,1939,1970,2030,2115,2133,2175,2238,2308,2319,2353,2407,2410,2420,2457,2523,2601,2680,2699,2732,2771,2850,2890,2963,3041,3119,3204,3255,3268,3306,3339,3390,3402,3443,3524,3538,3581,3605,3643,3707,3777,3854,3918
29,0,0,0,0,0,0,2,10,11,26,26,44,59,70,80,82,134,159,214,243,325,403,429,429,429,429,429,429,434,445,457,459,463,474,483,517,588,621,669,684,700,716,729,785,785,808,831,848,879,932,1009,1084,1164,1223,1320,1410,1503,1597,1687,1758,1844,1846,1854,1882,1934,1986,1999,2044,2126,2197,2197,2197,2197,2197,2197,2198,2198,2198,2198,2249,2348,2441,2510,2571,2650,2738,2763,2843,2906,2972,3011,3032,3043,3052,3086,3121,3132,3144,3204,3280
